job_id,mode,allowed_start_offset_limit
1,1,11
1,2,14
1,3,15
2,1,9
2,2,13
2,3,14
3,1,12
3,2,15
3,3,16
4,1,13
4,2,15
4,3,16
5,1,10
5,2,14
5,3,15
6,1,8
6,2,12
6,3,14
7,1,12
7,2,15
7,3,16
8,1,10
8,2,14
8,3,15
9,1,12
9,2,15
9,3,16
10,1,15
10,2,17
11,1,9
11,2,13
11,3,14
12,1,13
12,2,15
12,3,16
13,1,10
13,2,14
13,3,15
14,1,8
14,2,12
14,3,14
15,1,13
15,2,15
15,3,16
16,1,15
16,2,17
17,1,13
17,2,15
17,3,16
18,1,12
18,2,15
18,3,16
19,1,8
19,2,12
19,3,14
20,1,8
20,2,12
20,3,14
21,1,10
21,2,14
21,3,15
22,1,15
22,2,17
23,1,10
23,2,14
23,3,15
24,1,9
24,2,13
24,3,14
25,1,14
25,2,16
25,3,17
26,1,11
26,2,14
26,3,15
27,1,11
27,2,14
27,3,15
28,1,8
28,2,12
28,3,14
29,1,15
29,2,17
30,1,12
30,2,15
30,3,16
