id1,id2,d
1,4,111
1,5,25
1,6,13
2,4,10
2,5,87
2,6,100
3,4,82
3,5,48
3,6,60
7,10,28
7,11,38
7,12,16
8,10,32
8,11,73
8,12,47
9,10,39
9,11,57
9,12,72
13,14,41
13,15,90
13,16,60
13,17,79
14,15,58
14,16,71
14,17,61
15,16,77
15,17,30
16,17,50
18,19,95
18,20,12
18,21,96
18,22,10
19,20,86
19,21,24
19,22,93
20,21,85
20,22,17
21,22,96
1,19,34
6,7,24
12,14,69
13,20,92
18,23,25
23,27,76
7,24,50
24,41,90
19,25,95
25,32,73
7,26,67
26,48,24
16,27,71
27,34,90
8,28,46
28,32,60
20,29,64
29,41,114
4,30,27
30,43,49
7,31,27
31,47,53
5,32,25
32,42,15
19,33,73
33,47,14
10,34,59
34,49,47
5,35,32
35,47,82
10,36,19
36,43,41
2,37,75
37,39,41
7,38,93
38,46,101
14,39,69
39,50,92
18,40,22
40,50,85
21,41,100
41,47,56
18,42,59
42,47,49
15,43,48
43,50,42
12,44,31
44,49,75
2,45,100
45,47,73
17,46,69
46,49,79
14,47,46
47,48,28
20,48,25
48,50,71
14,49,34
49,50,18
18,50,68
22,50,76
14,38,68
15,27,87
24,48,15
1,33,84
12,35,22
33,50,39
39,46,66
1,34,84
11,18,108
2,42,74
28,33,14
29,43,59
4,43,42
5,34,64
3,25,76
24,37,24
16,25,99
28,34,38
20,27,87
13,39,79
11,12,53
6,39,25
27,37,94
38,47,22
31,36,19
4,6,100
17,34,39
26,31,58
37,41,87
15,20,13
14,31,36
3,10,59
10,11,42
29,30,85
15,32,32
35,44,47
24,36,41
2,44,81
6,47,78
7,9,65
22,25,59
17,33,44
28,45,84
1,32,43
10,27,48
4,21,81
38,45,81
20,42,51
8,39,28
7,8,52
32,39,15
2,12,94
6,35,30
8,48,13
12,34,78
1,17,45
13,23,82
25,49,3
14,46,46
5,24,28
30,35,97
23,39,64
27,40,107
31,39,39
29,42,21
6,34,79
27,28,60
8,38,42
2,40,82
12,26,56
16,49,96
8,37,23
15,23,25
11,40,110
13,27,16
6,14,75
18,36,83
28,50,26
6,30,97
40,43,67
44,46,63
37,46,88
13,42,66
18,47,23
8,34,32
