rule_id,target,sense,channel_id,start_period,step,length,rhs
1,B,LE,1,1,1,3,2
2,B,LE,1,2,1,3,2
3,B,LE,1,3,1,3,2
4,B,LE,1,4,1,3,2
5,B,LE,1,5,1,3,2
6,B,LE,1,6,1,3,2
7,B,LE,1,7,1,3,2
8,B,LE,1,8,1,3,2
9,B,LE,1,9,1,3,2
10,B,LE,1,10,1,3,2
11,B,LE,1,11,1,3,2
12,B,LE,1,12,1,3,2
13,B,LE,1,13,1,3,2
14,B,LE,1,14,1,3,2
15,B,LE,1,15,1,3,2
16,B,LE,1,16,1,3,2
17,B,LE,2,1,1,3,2
18,B,LE,2,2,1,3,2
19,B,LE,2,3,1,3,2
20,B,LE,2,4,1,3,2
21,B,LE,2,5,1,3,2
22,B,LE,2,6,1,3,2
23,B,LE,2,7,1,3,2
24,B,LE,2,8,1,3,2
25,B,LE,2,9,1,3,2
26,B,LE,2,10,1,3,2
27,B,LE,2,11,1,3,2
28,B,LE,2,12,1,3,2
29,B,LE,2,13,1,3,2
30,B,LE,2,14,1,3,2
31,B,LE,2,15,1,3,2
32,B,LE,2,16,1,3,2
33,B,LE,3,1,1,3,2
34,B,LE,3,2,1,3,2
35,B,LE,3,3,1,3,2
36,B,LE,3,4,1,3,2
37,B,LE,3,5,1,3,2
38,B,LE,3,6,1,3,2
39,B,LE,3,7,1,3,2
40,B,LE,3,8,1,3,2
41,B,LE,3,9,1,3,2
42,B,LE,3,10,1,3,2
43,B,LE,3,11,1,3,2
44,B,LE,3,12,1,3,2
45,B,LE,3,13,1,3,2
46,B,LE,3,14,1,3,2
47,B,LE,3,15,1,3,2
48,B,LE,3,16,1,3,2
49,B,LE,4,1,1,3,2
50,B,LE,4,2,1,3,2
51,B,LE,4,3,1,3,2
52,B,LE,4,4,1,3,2
53,B,LE,4,5,1,3,2
54,B,LE,4,6,1,3,2
55,B,LE,4,7,1,3,2
56,B,LE,4,8,1,3,2
57,B,LE,4,9,1,3,2
58,B,LE,4,10,1,3,2
59,B,LE,4,11,1,3,2
60,B,LE,4,12,1,3,2
61,B,LE,4,13,1,3,2
62,B,LE,4,14,1,3,2
63,B,LE,4,15,1,3,2
64,B,LE,4,16,1,3,2
65,B,LE,5,1,1,3,2
66,B,LE,5,2,1,3,2
67,B,LE,5,3,1,3,2
68,B,LE,5,4,1,3,2
69,B,LE,5,5,1,3,2
70,B,LE,5,6,1,3,2
71,B,LE,5,7,1,3,2
72,B,LE,5,8,1,3,2
73,B,LE,5,9,1,3,2
74,B,LE,5,10,1,3,2
75,B,LE,5,11,1,3,2
76,B,LE,5,12,1,3,2
77,B,LE,5,13,1,3,2
78,B,LE,5,14,1,3,2
79,B,LE,5,15,1,3,2
80,B,LE,5,16,1,3,2
81,B,LE,6,1,1,3,2
82,B,LE,6,2,1,3,2
83,B,LE,6,3,1,3,2
84,B,LE,6,4,1,3,2
85,B,LE,6,5,1,3,2
86,B,LE,6,6,1,3,2
87,B,LE,6,7,1,3,2
88,B,LE,6,8,1,3,2
89,B,LE,6,9,1,3,2
90,B,LE,6,10,1,3,2
91,B,LE,6,11,1,3,2
92,B,LE,6,12,1,3,2
93,B,LE,6,13,1,3,2
94,B,LE,6,14,1,3,2
95,B,LE,6,15,1,3,2
96,B,LE,6,16,1,3,2
97,B,LE,7,1,1,3,2
98,B,LE,7,2,1,3,2
99,B,LE,7,3,1,3,2
100,B,LE,7,4,1,3,2
101,B,LE,7,5,1,3,2
102,B,LE,7,6,1,3,2
103,B,LE,7,7,1,3,2
104,B,LE,7,8,1,3,2
105,B,LE,7,9,1,3,2
106,B,LE,7,10,1,3,2
107,B,LE,7,11,1,3,2
108,B,LE,7,12,1,3,2
109,B,LE,7,13,1,3,2
110,B,LE,7,14,1,3,2
111,B,LE,7,15,1,3,2
112,B,LE,7,16,1,3,2
113,B,LE,8,1,1,3,2
114,B,LE,8,2,1,3,2
115,B,LE,8,3,1,3,2
116,B,LE,8,4,1,3,2
117,B,LE,8,5,1,3,2
118,B,LE,8,6,1,3,2
119,B,LE,8,7,1,3,2
120,B,LE,8,8,1,3,2
121,B,LE,8,9,1,3,2
122,B,LE,8,10,1,3,2
123,B,LE,8,11,1,3,2
124,B,LE,8,12,1,3,2
125,B,LE,8,13,1,3,2
126,B,LE,8,14,1,3,2
127,B,LE,8,15,1,3,2
128,B,LE,8,16,1,3,2
129,B,LE,9,1,1,3,2
130,B,LE,9,2,1,3,2
131,B,LE,9,3,1,3,2
132,B,LE,9,4,1,3,2
133,B,LE,9,5,1,3,2
134,B,LE,9,6,1,3,2
135,B,LE,9,7,1,3,2
136,B,LE,9,8,1,3,2
137,B,LE,9,9,1,3,2
138,B,LE,9,10,1,3,2
139,B,LE,9,11,1,3,2
140,B,LE,9,12,1,3,2
141,B,LE,9,13,1,3,2
142,B,LE,9,14,1,3,2
143,B,LE,9,15,1,3,2
144,B,LE,9,16,1,3,2
145,B,LE,1,2,2,3,2
146,B,LE,1,4,2,3,2
147,B,LE,1,6,2,3,2
148,B,LE,1,8,2,3,2
149,B,LE,1,10,2,3,2
150,B,LE,1,12,2,3,2
151,B,LE,1,14,2,3,2
152,B,LE,2,2,2,3,2
153,B,LE,2,4,2,3,2
154,B,LE,2,6,2,3,2
155,B,LE,2,8,2,3,2
156,B,LE,2,10,2,3,2
157,B,LE,2,12,2,3,2
158,B,LE,2,14,2,3,2
159,B,LE,3,2,2,3,2
160,B,LE,3,4,2,3,2
161,B,LE,3,6,2,3,2
162,B,LE,3,8,2,3,2
