cap_group_id,option_id
1,1053
1,159
1,586
1,752
1,889
2,1061
2,1219
2,166
2,272
2,428
2,594
2,759
2,897
3,1071
3,1228
3,174
3,282
3,438
3,604
3,768
3,907
4,1081
4,1237
4,182
4,292
4,448
4,614
4,777
4,917
5,1091
5,1246
5,190
5,302
5,458
5,624
5,786
5,927
6,1101
6,1255
6,198
6,312
6,468
6,634
6,795
6,937
7,1111
7,1264
7,322
7,478
7,644
7,804
7,947
8,1119
8,206
8,330
8,486
8,652
8,812
8,955
9,1127
9,1272
9,213
9,338
9,494
9,660
9,819
9,963
10,1137
10,222
10,348
10,504
10,670
10,828
10,973
11,1147
11,1281
11,358
11,514
11,680
11,983
12,1154
12,1288
12,230
12,364
12,521
12,687
12,837
12,989
13,1164
13,1297
13,238
13,374
13,531
13,697
13,846
13,999
14,1009
14,1174
14,1306
14,247
14,384
14,541
14,707
14,855
15,1019
15,1184
15,1315
15,255
15,394
15,551
15,717
15,864
16,1029
16,1194
16,1324
16,404
16,561
16,727
16,873
17,1037
17,1202
17,1332
17,264
17,412
17,569
17,735
17,881
18,1046
18,1211
18,421
18,578
18,744
19,1054
19,587
19,890
20,1062
20,2
20,1220
20,273
20,429
20,595
20,898
21,12
21,1072
21,1229
21,283
21,439
21,605
21,908
22,22
22,1082
22,1238
22,293
22,449
22,615
22,918
23,32
23,1092
23,1247
23,303
23,459
23,625
23,928
24,42
24,1102
24,1256
24,313
24,469
24,635
24,938
25,60
25,1120
25,331
25,487
25,653
25,956
26,68
26,1128
26,1273
26,339
26,495
26,661
26,964
27,78
27,1138
27,349
27,505
27,671
27,974
28,95
28,1155
28,1289
28,365
28,522
28,688
28,990
29,1000
29,1165
29,1298
29,105
29,375
29,532
29,698
30,1010
30,1175
30,1307
30,115
30,385
30,542
30,708
31,1020
31,1185
31,1316
31,125
31,395
31,552
31,718
32,1038
32,1203
32,1333
32,143
32,413
32,570
32,736
33,1055
33,161
33,588
33,753
33,891
34,1063
34,3
34,1221
34,168
34,430
34,596
34,760
34,899
35,13
35,1073
35,1230
35,176
35,440
35,606
35,769
35,909
36,23
36,1083
36,1239
36,184
36,450
36,616
36,778
36,919
37,33
37,1093
37,1248
37,192
37,460
37,626
37,787
37,929
38,43
38,1103
38,1257
38,200
38,470
38,636
38,796
38,939
39,52
39,1112
39,1265
39,479
39,645
39,805
39,948
40,61
40,1121
40,208
40,488
40,654
40,813
40,957
41,69
41,1129
41,1274
41,215
41,496
41,662
41,820
41,965
42,79
42,1139
42,224
42,506
42,672
42,829
42,975
43,88
43,1148
43,1282
43,515
43,681
43,984
44,96
44,1156
44,1290
44,232
44,523
44,689
44,838
44,991
45,1001
45,1166
45,1299
45,106
45,240
45,533
45,699
45,847
46,1011
46,1176
46,1308
46,116
46,249
46,543
46,709
46,856
47,1021
47,1186
47,1317
47,126
47,257
47,553
47,719
47,865
48,1030
48,1195
48,1325
48,135
48,562
48,728
48,874
49,1039
49,1204
49,1334
49,144
49,266
49,571
49,737
49,882
50,1047
50,1212
50,152
50,579
50,745
51,1056
51,162
51,589
51,754
51,892
52,1064
52,4
52,1222
52,169
52,275
52,597
52,761
52,900
53,14
53,1074
53,1231
53,177
53,285
53,607
53,770
53,910
54,24
54,1084
54,1240
54,185
54,295
54,617
54,779
54,920
55,34
55,1094
55,1249
55,193
55,305
55,627
55,788
55,930
56,44
56,1104
56,1258
56,201
56,315
56,637
56,797
56,940
57,53
57,1113
57,1266
57,324
57,646
57,806
57,949
58,62
58,1122
58,209
58,333
58,655
58,814
58,958
59,70
59,1130
59,1275
59,216
59,341
59,663
59,821
59,966
60,80
60,1140
60,225
60,351
60,673
60,830
60,976
61,89
61,1149
61,1283
61,360
61,682
61,985
62,97
62,1157
62,1291
62,233
62,367
62,690
62,839
62,992
63,1002
63,1167
63,1300
63,107
63,241
63,377
63,700
63,848
64,1012
64,1177
64,1309
64,117
64,250
64,387
64,710
64,857
65,1022
65,1187
65,1318
65,127
65,258
65,397
65,720
65,866
66,1031
66,1196
66,1326
66,136
66,406
66,729
66,875
67,1040
67,1205
67,1335
67,145
67,267
67,415
67,738
67,883
68,1048
68,1213
68,153
68,423
68,746
69,1057
69,163
69,755
69,893
70,1065
70,5
70,1223
70,170
70,276
70,432
70,762
70,901
71,15
71,1075
71,1232
71,178
71,286
71,442
71,771
71,911
72,25
72,1085
72,1241
72,186
72,296
72,452
72,780
72,921
73,35
73,1095
73,1250
73,194
73,306
73,462
73,789
73,931
74,45
74,1105
74,1259
74,202
74,316
74,472
74,798
74,941
75,54
75,1114
75,1267
75,325
75,481
75,807
75,950
76,63
76,1123
76,210
76,334
76,490
76,815
76,959
77,71
77,1131
77,1276
77,217
77,342
77,498
77,822
77,967
78,81
78,1141
78,226
78,352
78,508
78,831
78,977
79,90
79,1150
79,1284
79,361
79,517
79,986
80,98
80,1158
80,1292
80,234
80,368
80,525
80,840
80,993
81,1003
81,1168
81,1301
81,108
81,242
81,378
81,535
81,849
82,1013
82,1178
82,1310
82,118
82,251
82,388
82,545
82,858
83,1023
83,1188
83,1319
83,128
83,259
83,398
83,555
83,867
84,1032
84,1197
84,1327
84,137
84,407
84,564
84,876
85,1041
85,1206
85,1336
85,146
85,268
85,416
85,573
85,884
86,1049
86,1214
86,154
86,424
86,581
87,1058
87,591
87,894
88,1066
88,6
88,1224
88,277
88,433
88,599
88,902
89,16
89,1076
89,1233
89,287
89,443
89,609
89,912
90,26
90,1086
90,1242
90,297
90,453
90,619
90,922
91,36
91,1096
91,1251
91,307
91,463
91,629
91,932
92,46
92,1106
92,1260
92,317
92,473
92,639
92,942
93,55
93,1115
93,1268
93,326
93,482
93,648
93,951
94,64
94,1124
94,335
94,491
94,657
94,960
95,72
95,1132
95,1277
95,343
95,499
95,665
95,968
96,82
96,1142
96,353
96,509
96,675
96,978
97,99
97,1159
97,1293
97,369
97,526
97,692
97,994
98,1004
98,1169
98,1302
98,109
98,379
98,536
98,702
99,1014
99,1179
99,1311
99,119
99,389
99,546
99,712
100,1024
100,1189
100,1320
100,129
100,399
100,556
100,722
101,1033
101,1198
101,1328
101,138
101,408
101,565
101,731
102,1042
102,1207
102,1337
102,147
102,417
102,574
102,740
103,1059
103,164
103,592
103,757
104,1067
104,7
104,1225
104,171
104,278
104,434
104,600
104,764
105,17
105,1077
105,1234
105,179
105,288
105,444
105,610
105,773
106,27
106,1087
106,1243
106,187
106,298
106,454
106,620
106,782
107,37
107,1097
107,1252
107,195
107,308
107,464
107,630
107,791
108,47
108,1107
108,1261
108,203
108,318
108,474
108,640
108,800
109,56
109,1116
109,1269
109,327
109,483
109,649
109,809
110,65
110,1125
110,211
110,336
110,492
110,658
110,817
111,73
111,1133
111,1278
111,218
111,344
111,500
111,666
111,824
112,83
112,1143
112,227
112,354
112,510
112,676
112,833
113,91
113,1151
113,1285
113,362
113,518
113,684
114,1160
114,1294
114,100
114,235
114,370
114,527
114,693
114,842
115,1170
115,1303
115,110
115,243
115,380
115,537
115,703
115,851
116,1180
116,1312
116,120
116,252
116,390
116,547
116,713
116,860
117,1190
117,1321
117,130
117,260
117,400
117,557
117,723
117,869
118,1199
118,1329
118,139
118,409
118,566
118,732
