cap_group_id,sense,rhs
1,LE,1.0
2,LE,1.0
3,LE,1.0
4,LE,1.0
5,LE,1.0
6,LE,1.0
7,LE,1.0
8,LE,1.0
9,LE,1.0
10,LE,1.0
11,LE,1.0
12,LE,1.0
13,LE,1.0
14,LE,1.0
15,LE,1.0
16,LE,1.0
17,LE,1.0
18,LE,1.0
19,LE,1.0
20,LE,1.0
21,LE,1.0
22,LE,1.0
23,LE,1.0
24,LE,1.0
25,LE,1.0
26,LE,1.0
27,LE,1.0
28,LE,1.0
29,LE,1.0
30,LE,1.0
31,LE,1.0
32,LE,1.0
33,LE,1.0
34,LE,1.0
35,LE,1.0
36,LE,1.0
37,LE,1.0
38,LE,1.0
39,LE,1.0
40,LE,1.0
41,LE,1.0
42,LE,1.0
43,LE,1.0
44,LE,1.0
45,LE,1.0
46,LE,1.0
47,LE,1.0
48,LE,1.0
49,LE,1.0
50,LE,1.0
51,LE,1.0
52,LE,1.0
53,LE,1.0
54,LE,1.0
55,LE,1.0
56,LE,1.0
57,LE,1.0
58,LE,1.0
59,LE,1.0
60,LE,1.0
61,LE,1.0
62,LE,1.0
63,LE,1.0
64,LE,1.0
65,LE,1.0
66,LE,1.0
67,LE,1.0
68,LE,1.0
69,LE,1.0
70,LE,1.0
71,LE,1.0
72,LE,1.0
73,LE,1.0
74,LE,1.0
75,LE,1.0
76,LE,1.0
77,LE,1.0
78,LE,1.0
79,LE,1.0
80,LE,1.0
81,LE,1.0
82,LE,1.0
83,LE,1.0
84,LE,1.0
85,LE,1.0
86,LE,1.0
87,LE,1.0
88,LE,1.0
89,LE,1.0
90,LE,1.0
91,LE,1.0
92,LE,1.0
93,LE,1.0
94,LE,1.0
95,LE,1.0
96,LE,1.0
97,LE,1.0
98,LE,1.0
99,LE,1.0
100,LE,1.0
101,LE,1.0
102,LE,1.0
103,LE,1.0
104,LE,1.0
105,LE,1.0
106,LE,1.0
107,LE,1.0
108,LE,1.0
109,LE,1.0
110,LE,1.0
111,LE,1.0
112,LE,1.0
113,LE,1.0
114,LE,1.0
115,LE,1.0
116,LE,1.0
117,LE,1.0
118,LE,1.0
119,LE,1.0
120,LE,1.0
121,LE,1.0
122,LE,1.0
123,LE,1.0
124,LE,1.0
125,LE,1.0
126,LE,1.0
127,LE,1.0
128,LE,1.0
129,LE,1.0
130,LE,1.0
131,LE,1.0
132,LE,1.0
133,LE,1.0
134,LE,1.0
135,LE,1.0
136,LE,1.0
137,LE,1.0
138,LE,1.0
139,LE,1.0
140,LE,1.0
141,LE,1.0
142,LE,1.0
143,LE,1.0
144,LE,1.0
145,LE,1.0
146,LE,1.0
147,LE,1.0
148,LE,1.0
149,LE,1.0
150,LE,1.0
151,LE,1.0
152,LE,1.0
153,EQ,2.0
154,LE,0.0
155,EQ,2.0
156,EQ,2.0
157,EQ,2.0
158,EQ,2.0
159,EQ,2.0
160,EQ,2.0
161,EQ,4.0
162,EQ,4.0
163,EQ,4.0
164,EQ,4.0
165,EQ,4.0
166,EQ,4.0
167,EQ,4.0
168,EQ,4.0
169,EQ,3.0
170,EQ,3.0
171,EQ,4.0
172,EQ,4.0
173,EQ,4.0
174,EQ,4.0
175,EQ,4.0
176,EQ,4.0
177,EQ,2.0
178,GE,1.0
179,GE,1.0
180,GE,1.0
181,GE,1.0
182,GE,1.0
183,GE,1.0
184,GE,1.0
185,LE,2.0
186,LE,2.0
187,LE,2.0
188,LE,2.0
189,LE,2.0
190,LE,2.0
191,LE,2.0
192,LE,2.0
193,LE,2.0
194,LE,2.0
195,LE,2.0
196,LE,2.0
197,LE,2.0
198,LE,2.0
199,LE,2.0
200,LE,2.0
201,LE,2.0
202,LE,2.0
203,LE,2.0
204,LE,2.0
205,LE,2.0
206,LE,2.0
207,LE,2.0
208,LE,2.0
209,LE,1.0
210,LE,1.0
211,LE,1.0
212,LE,2.0
213,LE,2.0
214,LE,2.0
215,LE,2.0
216,LE,2.0
217,LE,2.0
218,LE,2.0
219,LE,2.0
220,LE,2.0
221,LE,2.0
222,LE,2.0
223,LE,2.0
224,LE,2.0
225,LE,2.0
226,LE,2.0
227,LE,2.0
228,LE,2.0
229,LE,2.0
230,LE,2.0
231,LE,2.0
232,LE,2.0
233,LE,2.0
234,LE,2.0
235,LE,2.0
236,LE,2.0
237,LE,2.0
238,LE,2.0
239,LE,2.0
240,LE,2.0
241,LE,2.0
242,LE,2.0
243,LE,2.0
244,LE,2.0
245,LE,2.0
246,LE,2.0
247,LE,2.0
248,LE,2.0
249,LE,2.0
250,LE,2.0
251,LE,2.0
252,LE,2.0
253,LE,2.0
254,LE,2.0
255,LE,2.0
256,LE,2.0
257,LE,2.0
258,LE,2.0
259,LE,2.0
260,LE,2.0
261,LE,2.0
262,LE,2.0
263,LE,2.0
264,LE,2.0
265,LE,2.0
266,LE,2.0
267,LE,2.0
268,LE,2.0
269,LE,2.0
270,LE,2.0
271,LE,2.0
272,LE,2.0
273,LE,2.0
274,LE,2.0
275,LE,2.0
276,LE,2.0
277,LE,2.0
278,LE,2.0
279,LE,2.0
280,LE,1.0
281,LE,2.0
282,LE,2.0
283,LE,2.0
284,LE,2.0
285,LE,2.0
286,LE,2.0
287,LE,2.0
288,LE,2.0
289,LE,2.0
290,LE,2.0
291,LE,2.0
292,LE,2.0
293,LE,2.0
294,LE,2.0
295,LE,2.0
296,LE,2.0
297,LE,2.0
298,LE,2.0
299,LE,2.0
300,LE,2.0
301,LE,2.0
302,LE,2.0
303,LE,2.0
304,LE,2.0
305,LE,2.0
306,LE,2.0
307,LE,2.0
308,LE,2.0
309,LE,2.0
310,LE,2.0
311,LE,2.0
312,LE,2.0
313,LE,2.0
314,LE,2.0
315,LE,2.0
316,LE,2.0
317,LE,2.0
318,LE,2.0
319,LE,2.0
320,LE,2.0
321,LE,2.0
322,LE,2.0
323,LE,2.0
324,LE,2.0
325,LE,2.0
326,LE,2.0
327,LE,2.0
328,LE,2.0
329,LE,2.0
330,LE,2.0
331,LE,2.0
332,LE,2.0
333,LE,2.0
334,LE,2.0
335,LE,2.0
336,LE,2.0
337,LE,2.0
338,LE,2.0
339,LE,2.0
340,LE,2.0
