balance_group_id,decision_id,side
B000,d00000,pos
B000,d00014,pos
B000,d00028,pos
B000,d00042,pos
B000,d00056,pos
B000,d00070,pos
B000,d00084,pos
B000,d00098,pos
B000,d00112,pos
B000,d00126,pos
B000,d00140,pos
B000,d00154,pos
B000,d00168,pos
B000,d00182,pos
B000,d00196,pos
B000,d00210,pos
B000,d00224,pos
B000,d00238,pos
B000,d00252,pos
B000,d00266,pos
B000,d00280,pos
B000,d00294,pos
B000,d00308,pos
B000,d00322,pos
B000,d00336,pos
B000,d00350,pos
B000,d00364,pos
B000,d00378,pos
B000,d00392,pos
B000,d00406,pos
B000,d00420,pos
B000,d00434,pos
B000,d00448,pos
B000,d00462,pos
B000,d00476,pos
B000,d00490,pos
B000,d00504,pos
B000,d00518,pos
B000,d00532,pos
B000,d00546,pos
B000,d00560,pos
B000,d00574,pos
B000,d00588,pos
B000,d00602,pos
B000,d00616,pos
B000,d00630,pos
B000,d00644,pos
B000,d00658,pos
B000,d00672,pos
B000,d00686,pos
B000,d00700,pos
B000,d00714,pos
B000,d00001,neg
B000,d00015,neg
B000,d00029,neg
B000,d00043,neg
B000,d00057,neg
B000,d00071,neg
B000,d00085,neg
B000,d00099,neg
B000,d00113,neg
B000,d00127,neg
B000,d00141,neg
B000,d00155,neg
B000,d00169,neg
B000,d00183,neg
B000,d00197,neg
B000,d00211,neg
B000,d00225,neg
B000,d00239,neg
B000,d00253,neg
B000,d00267,neg
B000,d00281,neg
B000,d00295,neg
B000,d00309,neg
B000,d00323,neg
B000,d00337,neg
B000,d00351,neg
B000,d00365,neg
B000,d00379,neg
B000,d00393,neg
B000,d00407,neg
B000,d00421,neg
B000,d00435,neg
B000,d00449,neg
B000,d00463,neg
B000,d00477,neg
B000,d00491,neg
B000,d00505,neg
B000,d00519,neg
B000,d00533,neg
B000,d00547,neg
B000,d00561,neg
B000,d00575,neg
B000,d00589,neg
B000,d00603,neg
B000,d00617,neg
B000,d00631,neg
B000,d00645,neg
B000,d00659,neg
B000,d00673,neg
B000,d00687,neg
B000,d00701,neg
B000,d00715,neg
B001,d00002,pos
B001,d00016,pos
B001,d00030,pos
B001,d00044,pos
B001,d00058,pos
B001,d00072,pos
B001,d00086,pos
B001,d00100,pos
B001,d00114,pos
B001,d00128,pos
B001,d00142,pos
B001,d00156,pos
B001,d00170,pos
B001,d00184,pos
B001,d00198,pos
B001,d00212,pos
B001,d00226,pos
B001,d00240,pos
B001,d00254,pos
B001,d00268,pos
B001,d00282,pos
B001,d00296,pos
B001,d00310,pos
B001,d00324,pos
B001,d00338,pos
B001,d00352,pos
B001,d00366,pos
B001,d00380,pos
B001,d00394,pos
B001,d00408,pos
B001,d00422,pos
B001,d00436,pos
B001,d00450,pos
B001,d00464,pos
B001,d00478,pos
B001,d00492,pos
B001,d00506,pos
B001,d00520,pos
B001,d00534,pos
B001,d00548,pos
B001,d00562,pos
B001,d00576,pos
B001,d00590,pos
B001,d00604,pos
B001,d00618,pos
B001,d00632,pos
B001,d00646,pos
B001,d00660,pos
B001,d00674,pos
B001,d00688,pos
B001,d00702,pos
B001,d00716,pos
B001,d00003,neg
B001,d00017,neg
B001,d00031,neg
B001,d00045,neg
B001,d00059,neg
B001,d00073,neg
B001,d00087,neg
B001,d00101,neg
B001,d00115,neg
B001,d00129,neg
B001,d00143,neg
B001,d00157,neg
B001,d00171,neg
B001,d00185,neg
B001,d00199,neg
B001,d00213,neg
B001,d00227,neg
B001,d00241,neg
B001,d00255,neg
B001,d00269,neg
B001,d00283,neg
B001,d00297,neg
B001,d00311,neg
B001,d00325,neg
B001,d00339,neg
B001,d00353,neg
B001,d00367,neg
B001,d00381,neg
B001,d00395,neg
B001,d00409,neg
B001,d00423,neg
B001,d00437,neg
B001,d00451,neg
B001,d00465,neg
B001,d00479,neg
B001,d00493,neg
B001,d00507,neg
B001,d00521,neg
B001,d00535,neg
B001,d00549,neg
B001,d00563,neg
B001,d00577,neg
B001,d00591,neg
B001,d00605,neg
B001,d00619,neg
B001,d00633,neg
B001,d00647,neg
B001,d00661,neg
B001,d00675,neg
B001,d00689,neg
B001,d00703,neg
B001,d00717,neg
B002,d00004,pos
B002,d00018,pos
B002,d00032,pos
B002,d00046,pos
B002,d00060,pos
B002,d00074,pos
B002,d00088,pos
B002,d00102,pos
B002,d00116,pos
B002,d00130,pos
