coverage_group_id,min_selected
G0000,1.0
G0001,1.0
G0002,1.0
G0003,1.0
G0004,1.0
G0005,1.0
G0006,1.0
G0007,1.0
G0008,1.0
G0009,1.0
G0010,1.0
G0011,1.0
G0012,1.0
G0013,1.0
G0014,1.0
G0015,1.0
G0016,1.0
G0017,1.0
G0018,1.0
G0019,1.0
G0020,1.0
G0021,1.0
G0022,1.0
G0023,1.0
G0024,1.0
G0025,1.0
G0026,1.0
G0027,1.0
G0028,1.0
G0029,1.0
G0030,1.0
G0031,1.0
G0032,1.0
G0033,1.0
G0034,1.0
G0035,1.0
G0036,1.0
G0037,1.0
G0038,1.0
G0039,1.0
G0040,1.0
G0041,1.0
G0042,1.0
G0043,1.0
G0044,1.0
G0045,1.0
G0046,1.0
G0047,1.0
G0048,1.0
G0049,1.0
G0050,1.0
G0051,1.0
