coverage_group_id,decision_id
G0000,d00000
G0000,d00001
G0000,d00002
G0000,d00003
G0000,d00004
G0000,d00005
G0000,d00006
G0000,d00007
G0000,d00008
G0000,d00009
G0000,d00010
G0000,d00011
G0000,d00012
G0000,d00013
G0000,d00728
G0000,d00729
G0000,d00730
G0000,d00731
G0000,d00732
G0000,d00733
G0000,d00734
G0000,d00735
G0000,d00736
G0000,d00737
G0000,d00738
G0000,d00739
G0000,d00740
G0000,d00741
G0000,d01456
G0000,d01457
G0000,d01458
G0000,d01459
G0000,d01460
G0000,d01461
G0000,d01462
G0000,d01463
G0000,d01464
G0000,d01465
G0000,d01466
G0000,d01467
G0000,d01468
G0000,d01469
G0000,d02184
G0000,d02185
G0000,d02186
G0000,d02187
G0000,d02188
G0000,d02189
G0000,d02190
G0000,d02191
G0000,d02192
G0000,d02193
G0000,d02194
G0000,d02195
G0000,d02196
G0000,d02197
G0000,d02912
G0000,d02913
G0000,d02914
G0000,d02915
G0000,d02916
G0000,d02917
G0000,d02918
G0000,d02919
G0000,d02920
G0000,d02921
G0000,d02922
G0000,d02923
G0000,d02924
G0000,d02925
G0000,d03640
G0000,d03641
G0000,d03642
G0000,d03643
G0000,d03644
G0000,d03645
G0000,d03646
G0000,d03647
G0000,d03648
G0000,d03649
G0000,d03650
G0000,d03651
G0000,d03652
G0000,d03653
G0000,d04368
G0000,d04369
G0000,d04370
G0000,d04371
G0000,d04372
G0000,d04373
G0000,d04374
G0000,d04375
G0000,d04376
G0000,d04377
G0000,d04378
G0000,d04379
G0000,d04380
G0000,d04381
G0000,d05096
G0000,d05097
G0000,d05098
G0000,d05099
G0000,d05100
G0000,d05101
G0000,d05102
G0000,d05103
G0000,d05104
G0000,d05105
G0000,d05106
G0000,d05107
G0000,d05108
G0000,d05109
G0000,d05824
G0000,d05825
G0000,d05826
G0000,d05827
G0000,d05828
G0000,d05829
G0000,d05830
G0000,d05831
G0000,d05832
G0000,d05833
G0000,d05834
G0000,d05835
G0000,d05836
G0000,d05837
G0000,d06552
G0000,d06553
G0000,d06554
G0000,d06555
G0000,d06556
G0000,d06557
G0000,d06558
G0000,d06559
G0000,d06560
G0000,d06561
G0000,d06562
G0000,d06563
G0000,d06564
G0000,d06565
G0000,d07280
G0000,d07281
G0000,d07282
G0000,d07283
G0000,d07284
G0000,d07285
G0000,d07286
G0000,d07287
G0000,d07288
G0000,d07289
G0000,d07290
G0000,d07291
G0000,d07292
G0000,d07293
G0000,d08008
G0000,d08009
G0000,d08010
G0000,d08011
G0000,d08012
G0000,d08013
G0000,d08014
G0000,d08015
G0000,d08016
G0000,d08017
G0000,d08018
G0000,d08019
G0000,d08020
G0000,d08021
G0000,d08736
G0000,d08737
G0000,d08738
G0000,d08739
G0000,d08740
G0000,d08741
G0000,d08742
G0000,d08743
G0000,d08744
G0000,d08745
G0000,d08746
G0000,d08747
G0000,d08748
G0000,d08749
G0000,d09464
G0000,d09465
G0000,d09466
G0000,d09467
G0000,d09468
G0000,d09469
G0000,d09470
G0000,d09471
G0000,d09472
G0000,d09473
G0000,d09474
G0000,d09475
G0000,d09476
G0000,d09477
G0000,d10192
G0000,d10193
G0000,d10194
G0000,d10195
G0000,d10196
G0000,d10197
G0000,d10198
G0000,d10199
G0000,d10200
G0000,d10201
G0000,d10202
G0000,d10203
G0000,d10204
G0000,d10205
G0000,d10920
G0000,d10921
G0000,d10922
G0000,d10923
G0000,d10924
G0000,d10925
G0000,d10926
G0000,d10927
G0000,d10928
G0000,d10929
G0000,d10930
G0000,d10931
G0000,d10932
G0000,d10933
G0000,d11648
G0000,d11649
G0000,d11650
G0000,d11651
G0000,d11652
G0000,d11653
G0000,d11654
G0000,d11655
G0000,d11656
G0000,d11657
G0000,d11658
G0000,d11659
G0000,d11660
G0000,d11661
G0000,d12376
G0000,d12377
G0000,d12378
G0000,d12379
G0000,d12380
G0000,d12381
G0000,d12382
G0000,d12383
G0000,d12384
G0000,d12385
G0000,d12386
G0000,d12387
G0000,d12388
G0000,d12389
G0000,d13104
G0000,d13105
G0000,d13106
G0000,d13107
G0000,d13108
G0000,d13109
G0000,d13110
G0000,d13111
G0000,d13112
G0000,d13113
G0000,d13114
G0000,d13115
G0000,d13116
G0000,d13117
G0000,d13832
G0000,d13833
G0000,d13834
G0000,d13835
G0000,d13836
G0000,d13837
G0000,d13838
G0000,d13839
G0000,d13840
G0000,d13841
G0000,d13842
G0000,d13843
G0000,d13844
G0000,d13845
G0000,d14560
G0000,d14561
G0000,d14562
G0000,d14563
G0000,d14564
G0000,d14565
G0000,d14566
G0000,d14567
G0000,d14568
G0000,d14569
G0000,d14570
G0000,d14571
G0000,d14572
G0000,d14573
G0000,d15288
G0000,d15289
G0000,d15290
G0000,d15291
G0000,d15292
G0000,d15293
G0000,d15294
G0000,d15295
G0000,d15296
G0000,d15297
G0000,d15298
G0000,d15299
G0000,d15300
G0000,d15301
G0000,d16016
G0000,d16017
G0000,d16018
G0000,d16019
G0000,d16020
G0000,d16021
G0000,d16022
G0000,d16023
G0000,d16024
G0000,d16025
G0000,d16026
G0000,d16027
G0000,d16028
G0000,d16029
G0000,d16744
G0000,d16745
G0000,d16746
G0000,d16747
G0000,d16748
G0000,d16749
G0000,d16750
G0000,d16751
G0000,d16752
G0000,d16753
G0000,d16754
G0000,d16755
G0000,d16756
G0000,d16757
G0000,d17472
G0000,d17473
G0000,d17474
G0000,d17475
G0000,d17476
G0000,d17477
G0000,d17478
G0000,d17479
G0000,d17480
G0000,d17481
G0000,d17482
G0000,d17483
G0000,d17484
G0000,d17485
G0000,d18200
