constraint_id,sense,rhs
c59791,>=,19.8
c59792,>=,36.9
c59793,>=,35.1
c59794,>=,35.1
c59795,>=,31.5
c59796,>=,31.5
c59797,>=,36.9
c59798,>=,36.9
c59799,>=,27.0
c59800,>=,31.5
c59801,>=,31.5
c59802,>=,27.0
c59803,>=,36.0
c59804,>=,36.0
c59805,>=,36.0
c59806,>=,36.0
c59807,>=,27.0
c59808,>=,35.1
c59809,>=,35.1
c59810,>=,34.2
c59811,>=,13.5
c59812,<=,24.2
c59813,<=,45.1
c59814,<=,42.9
c59815,<=,42.9
c59816,<=,38.5
c59817,<=,38.5
c59818,<=,45.1
c59819,<=,45.1
c59820,<=,33.0
c59821,<=,38.5
c59822,<=,38.5
c59823,<=,33.0
c59824,<=,44.0
c59825,<=,44.0
c59826,<=,44.0
c59827,<=,44.0
c59828,<=,33.0
c59829,<=,42.9
c59830,<=,42.9
c59831,<=,41.8
c59832,<=,16.5
c59837,>=,0.0
c59838,>=,0.0
c59839,>=,0.0
c59840,>=,0.0
