a_decision_id,b_decision_id
d00000,d02912
d00001,d02913
d00002,d02914
d00003,d02915
d00004,d02916
d00005,d02917
d00014,d02926
d00015,d02927
d00016,d02928
d00017,d02929
d00018,d02930
d00019,d02931
d00028,d02940
d00029,d02941
d00030,d02942
d00031,d02943
d00032,d02944
d00033,d02945
d00042,d02954
d00043,d02955
d00044,d02956
d00045,d02957
d00046,d02958
d00047,d02959
d00056,d02968
d00057,d02969
d00058,d02970
d00059,d02971
d00060,d02972
d00061,d02973
d00070,d02982
d00071,d02983
d00072,d02984
d00073,d02985
d00074,d02986
d00075,d02987
d00084,d02996
d00085,d02997
d00086,d02998
d00087,d02999
d00088,d03000
d00089,d03001
d00098,d03010
d00099,d03011
d00100,d03012
d00101,d03013
d00102,d03014
d00103,d03015
d00112,d03024
d00113,d03025
d00114,d03026
d00115,d03027
d00116,d03028
d00117,d03029
d00126,d03038
d00127,d03039
d00128,d03040
d00129,d03041
d00130,d03042
d00131,d03043
d00140,d03052
d00141,d03053
d00142,d03054
d00143,d03055
d00144,d03056
d00145,d03057
d00154,d03066
d00155,d03067
d00156,d03068
d00157,d03069
d00158,d03070
d00159,d03071
d00168,d03080
d00169,d03081
d00170,d03082
d00171,d03083
d00172,d03084
d00173,d03085
d00182,d03094
d00183,d03095
d00184,d03096
d00185,d03097
d00186,d03098
d00187,d03099
d00196,d03108
d00197,d03109
d00198,d03110
d00199,d03111
d00200,d03112
d00201,d03113
d00210,d03122
d00211,d03123
d00212,d03124
d00213,d03125
d00214,d03126
d00215,d03127
d00224,d03136
d00225,d03137
d00226,d03138
d00227,d03139
d00228,d03140
d00229,d03141
d00238,d03150
d00239,d03151
d00240,d03152
d00241,d03153
d00242,d03154
d00243,d03155
d00252,d03164
d00253,d03165
d00254,d03166
d00255,d03167
d00256,d03168
d00257,d03169
d00266,d03178
d00267,d03179
d00268,d03180
d00269,d03181
d00270,d03182
d00271,d03183
d00280,d03192
d00281,d03193
d00282,d03194
d00283,d03195
d00284,d03196
d00285,d03197
d00294,d03206
d00295,d03207
d00296,d03208
d00297,d03209
d00298,d03210
d00299,d03211
d00308,d03220
d00309,d03221
d00310,d03222
d00311,d03223
d00312,d03224
d00313,d03225
d00322,d03234
d00323,d03235
d00324,d03236
d00325,d03237
d00326,d03238
d00327,d03239
d00336,d03248
d00337,d03249
d00338,d03250
d00339,d03251
d00340,d03252
d00341,d03253
d00350,d03262
d00351,d03263
d00352,d03264
d00353,d03265
d00354,d03266
d00355,d03267
d00364,d03276
d00365,d03277
d00366,d03278
d00367,d03279
d00368,d03280
d00369,d03281
d00378,d03290
d00379,d03291
d00380,d03292
d00381,d03293
d00382,d03294
d00383,d03295
d00392,d03304
d00393,d03305
d00394,d03306
d00395,d03307
d00396,d03308
d00397,d03309
d00406,d03318
d00407,d03319
d00408,d03320
d00409,d03321
d00410,d03322
d00411,d03323
d00420,d03332
d00421,d03333
d00422,d03334
d00423,d03335
d00424,d03336
d00425,d03337
d00434,d03346
d00435,d03347
d00436,d03348
d00437,d03349
d00438,d03350
d00439,d03351
d00448,d03360
d00449,d03361
d00450,d03362
d00451,d03363
d00452,d03364
d00453,d03365
d00462,d03374
d00463,d03375
d00464,d03376
d00465,d03377
d00466,d03378
d00467,d03379
d00476,d03388
d00477,d03389
d00478,d03390
d00479,d03391
d00480,d03392
d00481,d03393
d00490,d03402
d00491,d03403
d00492,d03404
d00493,d03405
d00494,d03406
d00495,d03407
d00504,d03416
d00505,d03417
d00506,d03418
d00507,d03419
d00508,d03420
d00509,d03421
d00518,d03430
d00519,d03431
d00520,d03432
d00521,d03433
d00522,d03434
d00523,d03435
d00532,d03444
d00533,d03445
d00534,d03446
d00535,d03447
d00536,d03448
d00537,d03449
d00546,d03458
d00547,d03459
d00548,d03460
d00549,d03461
d00550,d03462
d00551,d03463
d00560,d03472
d00561,d03473
d00562,d03474
d00563,d03475
d00564,d03476
d00565,d03477
d00574,d03486
d00575,d03487
d00576,d03488
d00577,d03489
d00578,d03490
d00579,d03491
