mix_dimension_id,decision_id,flag
D0,d00000,1
D0,d00002,1
D0,d00004,1
D0,d00006,1
D0,d00008,1
D0,d00010,1
D0,d00012,1
D0,d00014,1
D0,d00016,1
D0,d00018,1
D0,d00020,1
D0,d00022,1
D0,d00024,1
D0,d00026,1
D0,d00028,1
D0,d00030,1
D0,d00032,1
D0,d00034,1
D0,d00036,1
D0,d00038,1
D0,d00040,1
D0,d00042,1
D0,d00044,1
D0,d00046,1
D0,d00048,1
D0,d00050,1
D0,d00052,1
D0,d00054,1
D0,d00056,1
D0,d00058,1
D0,d00060,1
D0,d00062,1
D0,d00064,1
D0,d00066,1
D0,d00068,1
D0,d00070,1
D0,d00072,1
D0,d00074,1
D0,d00076,1
D0,d00078,1
D0,d00080,1
D0,d00082,1
D0,d00084,1
D0,d00086,1
D0,d00088,1
D0,d00090,1
D0,d00092,1
D0,d00094,1
D0,d00096,1
D0,d00098,1
D0,d00100,1
D0,d00102,1
D0,d00104,1
D0,d00106,1
D0,d00108,1
D0,d00110,1
D0,d00112,1
D0,d00114,1
D0,d00116,1
D0,d00118,1
D0,d00120,1
D0,d00122,1
D0,d00124,1
D0,d00126,1
D0,d00128,1
D0,d00130,1
D0,d00132,1
D0,d00134,1
D0,d00136,1
D0,d00138,1
D0,d00140,1
D0,d00142,1
D0,d00144,1
D0,d00146,1
D0,d00148,1
D0,d00150,1
D0,d00152,1
D0,d00154,1
D0,d00156,1
D0,d00158,1
D0,d00160,1
D0,d00162,1
D0,d00164,1
D0,d00166,1
D0,d00168,1
D0,d00170,1
D0,d00172,1
D0,d00174,1
D0,d00176,1
D0,d00178,1
D0,d00180,1
D0,d00182,1
D0,d00184,1
D0,d00186,1
D0,d00188,1
D0,d00190,1
D0,d00192,1
D0,d00194,1
D0,d00196,1
D0,d00198,1
D0,d00200,1
D0,d00202,1
D0,d00204,1
D0,d00206,1
D0,d00208,1
D0,d00210,1
D0,d00212,1
D0,d00214,1
D0,d00216,1
D0,d00218,1
D0,d00220,1
D0,d00222,1
D0,d00224,1
D0,d00226,1
D0,d00228,1
D0,d00230,1
D0,d00232,1
D0,d00234,1
D0,d00236,1
D0,d00238,1
D0,d00240,1
D0,d00242,1
D0,d00244,1
D0,d00246,1
D0,d00248,1
D0,d00250,1
D0,d00252,1
D0,d00254,1
D0,d00256,1
D0,d00258,1
D0,d00260,1
D0,d00262,1
D0,d00264,1
D0,d00266,1
D0,d00268,1
D0,d00270,1
D0,d00272,1
D0,d00274,1
D0,d00276,1
D0,d00278,1
D0,d00280,1
D0,d00282,1
D0,d00284,1
D0,d00286,1
D0,d00288,1
D0,d00290,1
D0,d00292,1
D0,d00294,1
D0,d00296,1
D0,d00298,1
D0,d00300,1
D0,d00302,1
D0,d00304,1
D0,d00306,1
D0,d00308,1
D0,d00310,1
D0,d00312,1
D0,d00314,1
D0,d00316,1
D0,d00318,1
D0,d00320,1
D0,d00322,1
D0,d00324,1
D0,d00326,1
D0,d00328,1
D0,d00330,1
D0,d00332,1
D0,d00334,1
D0,d00336,1
D0,d00338,1
D0,d00340,1
D0,d00342,1
D0,d00344,1
D0,d00346,1
D0,d00348,1
D0,d00350,1
D0,d00352,1
D0,d00354,1
D0,d00356,1
D0,d00358,1
