decision_id,from_node,to_node
d011656,c3214,c3642
d011667,c3215,c3653
d011678,c3216,c3664
d011689,c3217,c3675
d011700,c3218,c3686
d011711,c3219,c3697
d011722,c3220,c3708
d011733,c3221,c3719
d011744,c3222,c3730
d011755,c3223,c3741
d011766,c3224,c3752
d011777,c3225,c3763
d011788,c3226,c3774
d011799,c3227,c3785
d011810,c3228,c3796
d011821,c3229,c3807
d011832,c3230,c3818
d011843,c3231,c3829
d011854,c3232,c3840
d011865,c3233,c3851
d011876,c3234,c3862
d011887,c3235,c3873
d011898,c3236,c3884
d011909,c3237,c3895
d011920,c3238,c3906
d011931,c3239,c3917
d011942,c3240,c3928
d011953,c3241,c3939
d011964,c3242,c3950
d011975,c3243,c3961
d011986,c3244,c3972
d011997,c3245,c3983
d012008,c3246,c3994
d012019,c3247,c4005
d012030,c3248,c4016
d012041,c3249,c4027
d012052,c3250,c4038
d012063,c3251,c4049
d012074,c3252,c4060
d012085,c3253,c4071
d012096,c3254,c4082
d012107,c3255,c4093
d012118,c3256,c4104
d012129,c3257,c4115
d012140,c3258,c4126
d012151,c3259,c4137
d012162,c3260,c4148
d012173,c3261,c4159
d012184,c3262,c4170
d012195,c3263,c4181
d012206,c3264,c4192
d012217,c3265,c4203
d012228,c3266,c4214
d012239,c3267,c4225
d012250,c3268,c4236
d012261,c3269,c4247
d012272,c3270,c4258
d012283,c3271,c4269
d012294,c3272,c4280
d012305,c3273,c4291
d012316,c3274,c4302
d012327,c3275,c4313
d012338,c3276,c4324
d012349,c3277,c4335
d012360,c3278,c4346
d012371,c3279,c4357
d012382,c3280,c4368
d012393,c3281,c4379
d012404,c3282,c4390
d012415,c3283,c4401
d012426,c3284,c4412
d012437,c3285,c4423
d012448,c3286,c4434
d012459,c3287,c4445
d012470,c3288,c4456
d012481,c3289,c4467
d012492,c3290,c4478
d012503,c3291,c4489
d012514,c3292,c4500
d012525,c3293,c4511
d012536,c3294,c4522
d012547,c3295,c4533
d012558,c3296,c4544
d012569,c3297,c4555
d012580,c3298,c4566
d012591,c3299,c4577
d012602,c3300,c4588
d012613,c3301,c4599
d012624,c3302,c4610
d012635,c3303,c4621
d012646,c3304,c4632
d012657,c3305,c4643
d012668,c3306,c4654
d012679,c3307,c4665
d012690,c3308,c4676
d012701,c3309,c4687
d012712,c3310,c4698
d012723,c3311,c4709
d012734,c3312,c4720
d012745,c3313,c4731
d012756,c3314,c4742
d012767,c3315,c4753
d012778,c3316,c4764
d012789,c3317,c4775
d012800,c3318,c4786
d012811,c3319,c4797
d012822,c3320,c4808
d012833,c3321,c4819
d012844,c3322,c4830
d012855,c3323,c4841
d012866,c3324,c4852
d012877,c3325,c4863
d012880,c22,c41
d012881,c23,c42
d012882,c24,c43
d012883,c25,c44
d012884,c26,c45
d012885,c27,c46
d012886,c28,c47
d012887,c29,c48
d012888,c30,c49
d012889,c31,c50
d012890,c32,c51
d012891,c33,c52
d012892,c34,c53
d012893,c35,c54
d012894,c36,c55
d012896,c38,c57
d012897,c39,c58
d012898,c40,c59
d012899,c22,c559
d012900,c23,c560
d012901,c24,c561
d012902,c25,c562
d012903,c26,c563
d012904,c27,c564
d012905,c28,c565
d012906,c29,c566
d012907,c30,c567
d012908,c31,c568
d012909,c32,c569
d012910,c33,c570
d012911,c34,c571
d012912,c35,c572
d012913,c36,c573
d012915,c38,c575
d012916,c39,c576
d012917,c40,c577
d012918,c22,c1077
d012919,c23,c1078
d012920,c24,c1079
d012921,c25,c1080
d012922,c26,c1081
d012923,c27,c1082
d012924,c28,c1083
d012925,c29,c1084
d012926,c30,c1085
d012927,c31,c1086
d012928,c32,c1087
d012929,c33,c1088
d012930,c34,c1089
d012931,c35,c1090
d012932,c36,c1091
d012934,c38,c1093
d012935,c39,c1094
d012936,c40,c1095
d012937,c22,c1595
d012938,c23,c1596
d012939,c24,c1597
d012940,c25,c1598
d012941,c26,c1599
d012942,c27,c1600
d012943,c28,c1601
d012944,c29,c1602
d012945,c30,c1603
d012946,c31,c1604
d012947,c32,c1605
d012948,c33,c1606
d012949,c34,c1607
d012950,c35,c1608
d012951,c36,c1609
d012953,c38,c1611
d012954,c39,c1612
d012955,c40,c1613
d012956,c22,c60
d012957,c23,c61
d012958,c24,c62
d012959,c25,c63
d012960,c26,c64
d012961,c27,c65
d012962,c28,c66
d012963,c29,c67
d012964,c30,c68
d012965,c31,c69
d012966,c32,c70
d012967,c33,c71
d012968,c34,c72
d012969,c35,c73
d012970,c36,c74
d012972,c38,c76
d012973,c39,c77
d012974,c40,c78
d012975,c22,c578
d012976,c23,c579
d012977,c24,c580
d012978,c25,c581
d012979,c26,c582
d012980,c27,c583
d012981,c28,c584
d012982,c29,c585
d012983,c30,c586
d012984,c31,c587
d012985,c32,c588
d012986,c33,c589
d012987,c34,c590
d012988,c35,c591
d012989,c36,c592
d012991,c38,c594
d012992,c39,c595
d012993,c40,c596
d012994,c22,c1096
d012995,c23,c1097
d012996,c24,c1098
d012997,c25,c1099
d012998,c26,c1100
d012999,c27,c1101
d013000,c28,c1102
d013001,c29,c1103
d013002,c30,c1104
d013003,c31,c1105
d013004,c32,c1106
d013005,c33,c1107
d013006,c34,c1108
d013007,c35,c1109
d013008,c36,c1110
d013010,c38,c1112
d013011,c39,c1113
d013012,c40,c1114
d013013,c22,c1614
d013014,c23,c1615
d013015,c24,c1616
d013016,c25,c1617
d013017,c26,c1618
d013018,c27,c1619
d013019,c28,c1620
d013020,c29,c1621
d013021,c30,c1622
d013022,c31,c1623
d013023,c32,c1624
d013024,c33,c1625
d013025,c34,c1626
d013026,c35,c1627
d013027,c36,c1628
d013029,c38,c1630
d013030,c39,c1631
d013031,c40,c1632
d013032,c22,c286
d013033,c23,c287
d013034,c24,c288
d013035,c26,c289
d013036,c27,c290
d013037,c29,c291
d013038,c30,c292
d013039,c31,c293
d013040,c32,c294
d013041,c33,c296
d013042,c34,c297
d013043,c35,c298
d013044,c36,c299
d013046,c38,c301
d013047,c39,c302
d013048,c40,c303
d013049,c22,c804
d013050,c23,c805
d013051,c24,c806
d013052,c26,c807
d013053,c27,c808
d013054,c29,c809
d013055,c30,c810
d013056,c31,c811
d013057,c32,c812
d013058,c33,c814
d013059,c34,c815
d013060,c35,c816
d013061,c36,c817
d013063,c38,c819
d013064,c39,c820
d013065,c40,c821
d013066,c22,c1322
d013067,c23,c1323
d013068,c24,c1324
d013069,c26,c1325
d013070,c27,c1326
d013071,c29,c1327
d013072,c30,c1328
d013073,c31,c1329
d013074,c32,c1330
d013075,c33,c1332
d013076,c34,c1333
d013077,c35,c1334
d013078,c36,c1335
d013080,c38,c1337
d013081,c39,c1338
d013082,c40,c1339
d013083,c22,c1840
d013084,c23,c1841
d013085,c24,c1842
d013086,c26,c1843
d013087,c27,c1844
d013088,c29,c1845
d013089,c30,c1846
d013090,c31,c1847
d013091,c32,c1848
d013092,c33,c1850
d013093,c34,c1851
d013094,c35,c1852
d013095,c36,c1853
d013097,c38,c1855
d013098,c39,c1856
d013099,c40,c1857
d013100,c22,c305
d013101,c23,c306
d013102,c24,c307
d013103,c26,c308
d013104,c27,c309
d013105,c29,c310
d013106,c30,c311
d013107,c31,c312
d013108,c32,c313
d013109,c33,c315
d013110,c34,c316
d013111,c35,c317
d013112,c36,c318
d013114,c38,c320
d013115,c39,c321
d013116,c40,c322
d013117,c22,c823
d013118,c23,c824
d013119,c24,c825
d013120,c26,c826
d013121,c27,c827
d013122,c29,c828
d013123,c30,c829
d013124,c31,c830
d013125,c32,c831
d013126,c33,c833
d013127,c34,c834
d013128,c35,c835
d013129,c36,c836
d013131,c38,c838
d013132,c39,c839
d013133,c40,c840
d013134,c22,c1341
d013135,c23,c1342
d013136,c24,c1343
d013137,c26,c1344
d013138,c27,c1345
d013139,c29,c1346
d013140,c30,c1347
d013141,c31,c1348
d013142,c32,c1349
d013143,c33,c1351
d013144,c34,c1352
d013145,c35,c1353
d013146,c36,c1354
d013148,c38,c1356
d013149,c39,c1357
d013150,c40,c1358
d013151,c22,c1859
d013152,c23,c1860
d013153,c24,c1861
d013154,c26,c1862
d013155,c27,c1863
d013156,c29,c1864
d013157,c30,c1865
d013158,c31,c1866
d013159,c32,c1867
d013160,c33,c1869
d013161,c34,c1870
d013162,c35,c1871
d013163,c36,c1872
d013165,c38,c1874
d013166,c39,c1875
d013167,c40,c1876
d013168,c22,c324
d013169,c23,c325
d013170,c24,c326
d013171,c26,c327
d013172,c27,c328
d013173,c30,c329
d013174,c31,c330
d013175,c32,c331
d013176,c33,c333
d013177,c34,c334
d013178,c35,c335
d013179,c36,c336
d013181,c38,c338
d013182,c39,c339
d013183,c40,c340
d013184,c22,c842
d013185,c23,c843
d013186,c24,c844
d013187,c26,c845
d013188,c27,c846
d013189,c30,c847
d013190,c31,c848
d013191,c32,c849
d013192,c33,c851
d013193,c34,c852
d013194,c35,c853
d013195,c36,c854
d013197,c38,c856
d013198,c39,c857
d013199,c40,c858
d013200,c22,c1360
d013201,c23,c1361
d013202,c24,c1362
d013203,c26,c1363
d013204,c27,c1364
d013205,c30,c1365
d013206,c31,c1366
d013207,c32,c1367
d013208,c33,c1369
d013209,c34,c1370
d013210,c35,c1371
d013211,c36,c1372
d013213,c38,c1374
d013214,c39,c1375
d013215,c40,c1376
d013216,c22,c1878
d013217,c23,c1879
d013218,c24,c1880
d013219,c26,c1881
d013220,c27,c1882
d013221,c30,c1883
d013222,c31,c1884
d013223,c32,c1885
d013224,c33,c1887
d013225,c34,c1888
d013226,c35,c1889
d013227,c36,c1890
d013229,c38,c1892
d013230,c39,c1893
d013231,c40,c1894
d013232,c22,c342
d013233,c23,c343
d013234,c24,c344
d013235,c26,c345
d013236,c27,c346
d013237,c30,c347
d013238,c31,c348
d013239,c32,c349
d013240,c33,c351
d013241,c34,c352
d013242,c35,c353
d013243,c36,c354
d013245,c38,c356
d013246,c39,c357
d013247,c40,c358
d013248,c22,c860
d013249,c23,c861
d013250,c24,c862
d013251,c26,c863
d013252,c27,c864
d013253,c30,c865
d013254,c31,c866
d013255,c32,c867
d013256,c33,c869
d013257,c34,c870
d013258,c35,c871
d013259,c36,c872
d013261,c38,c874
d013262,c39,c875
d013263,c40,c876
d013264,c22,c1378
d013265,c23,c1379
d013266,c24,c1380
d013267,c26,c1381
d013268,c27,c1382
d013269,c30,c1383
d013270,c31,c1384
d013271,c32,c1385
d013272,c33,c1387
d013273,c34,c1388
d013274,c35,c1389
d013275,c36,c1390
d013277,c38,c1392
d013278,c39,c1393
d013279,c40,c1394
d013280,c22,c1896
d013281,c23,c1897
d013282,c24,c1898
d013283,c26,c1899
d013284,c27,c1900
d013285,c30,c1901
d013286,c31,c1902
d013287,c32,c1903
d013288,c33,c1905
d013289,c34,c1906
d013290,c35,c1907
d013291,c36,c1908
d013293,c38,c1910
d013294,c39,c1911
d013295,c40,c1912
d013296,c22,c360
d013297,c23,c361
d013298,c24,c362
d013299,c26,c363
d013300,c27,c364
d013301,c30,c365
d013302,c31,c366
d013303,c32,c367
d013304,c33,c369
d013305,c34,c370
d013306,c35,c371
d013307,c36,c372
d013309,c38,c374
d013310,c39,c375
