window_id,decision_id
W024,d012880
W067,d012881
W068,d012882
W043,d012883
W066,d012884
W069,d012885
W048,d012886
W045,d012887
W053,d012888
W065,d012889
W070,d012890
W071,d012891
W072,d012892
W073,d012893
W074,d012894
W075,d012895
W076,d012896
W077,d012897
W049,d012898
W024,d012899
W067,d012900
W068,d012901
W043,d012902
W066,d012903
W069,d012904
W048,d012905
W045,d012906
W053,d012907
W065,d012908
W070,d012909
W071,d012910
W072,d012911
W073,d012912
W074,d012913
W075,d012914
W076,d012915
W077,d012916
W049,d012917
W024,d012918
W067,d012919
W068,d012920
W043,d012921
W066,d012922
W069,d012923
W048,d012924
W045,d012925
W053,d012926
W065,d012927
W070,d012928
W071,d012929
W072,d012930
W073,d012931
W074,d012932
W075,d012933
W076,d012934
W077,d012935
W049,d012936
W024,d012937
W067,d012938
W068,d012939
W043,d012940
W066,d012941
W069,d012942
W048,d012943
W045,d012944
W053,d012945
W065,d012946
W070,d012947
W071,d012948
W072,d012949
W073,d012950
W074,d012951
W075,d012952
W076,d012953
W077,d012954
W049,d012955
W024,d012956
W067,d012957
W068,d012958
W043,d012959
W066,d012960
W069,d012961
W048,d012962
W045,d012963
W053,d012964
W065,d012965
W070,d012966
W071,d012967
W072,d012968
W073,d012969
W074,d012970
W075,d012971
W076,d012972
W077,d012973
W049,d012974
W024,d012975
W067,d012976
W068,d012977
W043,d012978
W066,d012979
W069,d012980
W048,d012981
W045,d012982
W053,d012983
W065,d012984
W070,d012985
W071,d012986
W072,d012987
W073,d012988
W074,d012989
W075,d012990
W076,d012991
W077,d012992
W049,d012993
W024,d012994
W067,d012995
W068,d012996
W043,d012997
W066,d012998
W069,d012999
W048,d013000
W045,d013001
W053,d013002
W065,d013003
W070,d013004
W071,d013005
W072,d013006
W073,d013007
W074,d013008
W075,d013009
W076,d013010
W077,d013011
W049,d013012
W024,d013013
W067,d013014
W068,d013015
W043,d013016
W066,d013017
W069,d013018
W048,d013019
W045,d013020
W053,d013021
W065,d013022
W070,d013023
W071,d013024
W072,d013025
W073,d013026
W074,d013027
W075,d013028
W076,d013029
W077,d013030
W049,d013031
W024,d013032
W067,d013033
W068,d013034
W066,d013035
W069,d013036
W045,d013037
W053,d013038
W065,d013039
W070,d013040
W071,d013041
W072,d013042
W073,d013043
W074,d013044
W075,d013045
W076,d013046
W077,d013047
W049,d013048
W024,d013049
W067,d013050
W068,d013051
W066,d013052
W069,d013053
W045,d013054
W053,d013055
W065,d013056
W070,d013057
W071,d013058
W072,d013059
W073,d013060
W074,d013061
W075,d013062
W076,d013063
W077,d013064
W049,d013065
W024,d013066
W067,d013067
W068,d013068
W066,d013069
W069,d013070
W045,d013071
W053,d013072
W065,d013073
W070,d013074
W071,d013075
W072,d013076
W073,d013077
W074,d013078
W075,d013079
W076,d013080
W077,d013081
W049,d013082
W024,d013083
W067,d013084
W068,d013085
W066,d013086
W069,d013087
W045,d013088
W053,d013089
W065,d013090
W070,d013091
W071,d013092
W072,d013093
W073,d013094
W074,d013095
W075,d013096
W076,d013097
W077,d013098
W049,d013099
W024,d013100
W067,d013101
W068,d013102
W066,d013103
W069,d013104
W045,d013105
W053,d013106
W065,d013107
W070,d013108
W071,d013109
W072,d013110
W073,d013111
W074,d013112
W075,d013113
W076,d013114
W077,d013115
W049,d013116
W024,d013117
W067,d013118
W068,d013119
W066,d013120
W069,d013121
W045,d013122
W053,d013123
W065,d013124
W070,d013125
W071,d013126
W072,d013127
W073,d013128
W074,d013129
W075,d013130
W076,d013131
W077,d013132
W049,d013133
W024,d013134
W067,d013135
W068,d013136
W066,d013137
W069,d013138
W045,d013139
W053,d013140
W065,d013141
W070,d013142
W071,d013143
W072,d013144
W073,d013145
W074,d013146
W075,d013147
W076,d013148
W077,d013149
W049,d013150
W024,d013151
W067,d013152
W068,d013153
W066,d013154
W069,d013155
W045,d013156
W053,d013157
W065,d013158
W070,d013159
W071,d013160
W072,d013161
W073,d013162
W074,d013163
W075,d013164
W076,d013165
W077,d013166
W049,d013167
W024,d013168
W067,d013169
W068,d013170
W066,d013171
W069,d013172
W053,d013173
W065,d013174
W070,d013175
W071,d013176
W072,d013177
W073,d013178
W074,d013179
W075,d013180
W076,d013181
W077,d013182
W049,d013183
W024,d013184
W067,d013185
W068,d013186
W066,d013187
W069,d013188
