window_id,min_count,max_count,hard_cap
W000,1.8,2.2,6.0
W001,2.5875,3.1625,6.0
W002,2.7,3.3,6.0
W003,4.61388375,5.63919125,6.0
W004,4.61388375,5.63919125,6.0
W005,4.38881625,5.36410875,6.0
W006,4.38881625,5.36410875,6.0
W007,3.93868125,4.81394375,6.0
W008,3.93868125,4.81394375,6.0
W009,3.375,4.125,6.0
W010,3.93868125,4.81394375,6.0
W011,3.93868125,4.81394375,6.0
W012,4.50135,5.50165,6.0
W013,4.50135,5.50165,6.0
W014,4.50135,5.50165,6.0
W015,4.50135,5.50165,6.0
W016,3.3760125,4.1262375,6.0
W017,4.38881625,5.36410875,6.0
W018,4.38881625,5.36410875,6.0
W019,4.2762825,5.2265675,6.0
W020,4.2762825,5.2265675,6.0
W021,4.6125,5.6375,6.0
W022,3.9375,4.8125,6.0
W023,1.8,2.2,6.0
W024,2.7,3.3,6.0
W025,4.6125,5.6375,6.0
W026,4.6125,5.6375,6.0
W027,4.6125,5.6375,6.0
W028,4.3875,5.3625,6.0
W029,3.9375,4.8125,6.0
W030,3.9375,4.8125,6.0
W031,3.375,4.125,6.0
W032,3.9375,4.8125,6.0
W033,3.9375,4.8125,6.0
W034,4.5,5.5,6.0
W035,4.5,5.5,6.0
W036,4.5,5.5,6.0
W037,4.5,5.5,6.0
W038,3.375,4.125,6.0
W039,4.3875,5.3625,6.0
W040,4.3875,5.3625,6.0
W041,4.275,5.225,6.0
W042,4.275,5.225,6.0
W043,4.3875,5.3625,6.0
W044,2.475,3.025,6.0
W045,4.6125,5.6375,6.0
W046,2.8125,3.4375,6.0
W047,3.9375,4.8125,6.0
W048,4.6125,5.6375,6.0
W049,4.275,5.225,6.0
W050,4.6125,5.6375,6.0
W051,4.3875,5.3625,6.0
W052,3.9375,4.8125,6.0
W053,3.375,4.125,6.0
W054,3.9375,4.8125,6.0
W055,3.9375,4.8125,6.0
W056,4.5,5.5,6.0
W057,4.5,5.5,6.0
W058,4.5,5.5,6.0
W059,4.5,5.5,6.0
W060,3.375,4.125,6.0
W061,4.3875,5.3625,6.0
W062,4.3875,5.3625,6.0
W063,4.275,5.225,6.0
W064,4.275,5.225,6.0
W065,3.9375,4.8125,6.0
W066,3.9375,4.8125,6.0
W067,4.6125,5.6375,6.0
W068,4.3875,5.3625,6.0
W069,3.9375,4.8125,6.0
W070,3.9375,4.8125,6.0
W071,4.5,5.5,6.0
W072,4.5,5.5,6.0
W073,4.5,5.5,6.0
W074,4.5,5.5,6.0
W075,3.375,4.125,6.0
W076,4.3875,5.3625,6.0
W077,4.3875,5.3625,6.0
