conflict_group_id,decision_id
C000,d03328
C000,d03416
C000,d03504
C000,d03592
C001,d03339
C001,d03427
C001,d03515
C001,d03603
C002,d03350
C002,d03438
C002,d03526
C002,d03614
C003,d03361
C003,d03449
C003,d03537
C003,d03625
C004,d03372
C004,d03460
C004,d03548
C004,d03636
C005,d03383
C005,d03471
C005,d03559
C005,d03647
C006,d03394
C006,d03482
C006,d03570
C006,d03658
C007,d03405
C007,d03493
C007,d03581
C007,d03669
C008,d03329
C008,d03417
C008,d03505
C008,d03593
C009,d03340
C009,d03428
C009,d03516
C009,d03604
C010,d03351
C010,d03439
C010,d03527
C010,d03615
C011,d03362
C011,d03450
C011,d03538
C011,d03626
C012,d03373
C012,d03461
C012,d03549
C012,d03637
C013,d03384
C013,d03472
C013,d03560
C013,d03648
C014,d03395
C014,d03483
C014,d03571
C014,d03659
C015,d03406
C015,d03494
C015,d03582
C015,d03670
C016,d03330
C016,d03418
C016,d03506
C016,d03594
C017,d03341
C017,d03429
C017,d03517
C017,d03605
C018,d03352
C018,d03440
C018,d03528
C018,d03616
C019,d03363
C019,d03451
C019,d03539
C019,d03627
C020,d03374
C020,d03462
C020,d03550
C020,d03638
C021,d03385
C021,d03473
C021,d03561
C021,d03649
C022,d03396
C022,d03484
C022,d03572
C022,d03660
C023,d03407
C023,d03495
C023,d03583
C023,d03671
C024,d03331
C024,d03419
C024,d03507
C024,d03595
C025,d03342
C025,d03430
C025,d03518
C025,d03606
C026,d03353
C026,d03441
C026,d03529
C026,d03617
C027,d03364
C027,d03452
C027,d03540
C027,d03628
C028,d03375
C028,d03463
C028,d03551
C028,d03639
C029,d03386
C029,d03474
C029,d03562
C029,d03650
C030,d03397
C030,d03485
C030,d03573
C030,d03661
C031,d03408
C031,d03496
C031,d03584
C031,d03672
C032,d03332
C032,d03420
C032,d03508
C032,d03596
C033,d03343
C033,d03431
C033,d03519
C033,d03607
C034,d03354
C034,d03442
C034,d03530
C034,d03618
C035,d03365
C035,d03453
C035,d03541
C035,d03629
C036,d03376
C036,d03464
C036,d03552
C036,d03640
C037,d03387
C037,d03475
C037,d03563
C037,d03651
C038,d03398
C038,d03486
C038,d03574
C038,d03662
C039,d03409
C039,d03497
C039,d03585
C039,d03673
C040,d03333
C040,d03421
C040,d03509
C040,d03597
C041,d03344
C041,d03432
C041,d03520
C041,d03608
C042,d03355
C042,d03443
C042,d03531
C042,d03619
C043,d03366
C043,d03454
C043,d03542
C043,d03630
C044,d03377
C044,d03465
C044,d03553
C044,d03641
C045,d03388
C045,d03476
C045,d03564
C045,d03652
C046,d03399
C046,d03487
C046,d03575
C046,d03663
C047,d03410
C047,d03498
C047,d03586
C047,d03674
C048,d03334
C048,d03422
C048,d03510
C048,d03598
C049,d03345
C049,d03433
C049,d03521
C049,d03609
C050,d03356
C050,d03444
C050,d03532
C050,d03620
C051,d03367
C051,d03455
C051,d03543
C051,d03631
C052,d03378
C052,d03466
C052,d03554
C052,d03642
C053,d03389
C053,d03477
C053,d03565
C053,d03653
C054,d03400
C054,d03488
C054,d03576
C054,d03664
C055,d03411
C055,d03499
C055,d03587
C055,d03675
C056,d03335
C056,d03423
C056,d03511
C056,d03599
C057,d03346
C057,d03434
C057,d03522
C057,d03610
C058,d03357
C058,d03445
C058,d03533
C058,d03621
C059,d03368
C059,d03456
C059,d03544
C059,d03632
C060,d03379
C060,d03467
C060,d03555
C060,d03643
C061,d03390
C061,d03478
C061,d03566
C061,d03654
C062,d03401
C062,d03489
C062,d03577
C062,d03665
C063,d03412
C063,d03500
C063,d03588
C063,d03676
C064,d03336
C064,d03424
C064,d03512
C064,d03600
C065,d03347
C065,d03435
C065,d03523
C065,d03611
C066,d03358
C066,d03446
C066,d03534
C066,d03622
C067,d03369
C067,d03457
C067,d03545
C067,d03633
C068,d03380
C068,d03468
C068,d03556
C068,d03644
C069,d03391
C069,d03479
C069,d03567
C069,d03655
C070,d03402
C070,d03490
C070,d03578
C070,d03666
C071,d03413
C071,d03501
C071,d03589
C071,d03677
C072,d03337
C072,d03425
C072,d03513
C072,d03601
C073,d03348
C073,d03436
C073,d03524
C073,d03612
C074,d03359
C074,d03447
C074,d03535
C074,d03623
C075,d03370
C075,d03458
C075,d03546
C075,d03634
C076,d03381
C076,d03469
C076,d03557
C076,d03645
C077,d03392
C077,d03480
C077,d03568
C077,d03656
C078,d03403
C078,d03491
C078,d03579
C078,d03667
C079,d03414
C079,d03502
C079,d03590
C079,d03678
C080,d03338
C080,d03426
C080,d03514
C080,d03602
C081,d03349
C081,d03437
C081,d03525
C081,d03613
C082,d03360
C082,d03448
C082,d03536
C082,d03624
C083,d03371
C083,d03459
C083,d03547
C083,d03635
C084,d03382
C084,d03470
C084,d03558
C084,d03646
C085,d03393
C085,d03481
C085,d03569
C085,d03657
C086,d03404
C086,d03492
C086,d03580
C086,d03668
C087,d03415
C087,d03503
C087,d03591
C087,d03679
