parent_id,child_id
d00001,d12533
d00001,d12550
d00003,d14851
d00003,d14868
d00005,d17169
d00005,d17186
d00007,d19487
d00007,d19504
d00009,d12825
d00009,d12842
d00011,d15143
d00011,d15160
d00013,d17461
d00013,d17478
d00015,d19779
d00015,d19796
d00017,d13117
d00017,d13134
d00019,d15435
d00019,d15452
d00021,d17753
d00021,d17770
d00023,d20071
d00023,d20088
d00025,d13412
d00025,d13429
d00027,d15730
d00027,d15747
d00029,d18048
d00029,d18065
d00031,d20366
d00031,d20383
d00033,d13707
d00033,d13724
d00035,d16025
d00035,d16042
d00037,d18343
d00037,d18360
d00039,d20661
d00039,d20678
d00041,d14002
d00041,d14019
d00043,d16320
d00043,d16337
d00045,d18638
d00045,d18655
d00047,d20956
d00047,d20973
d00049,d14290
d00049,d14307
d00051,d16608
d00051,d16625
d00053,d18926
d00053,d18943
d00055,d21244
d00055,d21261
d00057,d14582
d00057,d14599
d00059,d16900
d00059,d16917
d00061,d19218
d00061,d19235
d00063,d21536
d00063,d21553
d00065,d12437
d00065,d12440
d00065,d12534
d00065,d12547
d00065,d12551
d00067,d14755
d00067,d14758
d00067,d14852
d00067,d14865
d00067,d14869
d00069,d17073
d00069,d17076
d00069,d17170
d00069,d17183
d00069,d17187
d00071,d19391
d00071,d19394
d00071,d19488
d00071,d19501
d00071,d19505
d00073,d12729
d00073,d12732
d00073,d12826
d00073,d12839
d00073,d12843
d00075,d15047
d00075,d15050
d00075,d15144
d00075,d15157
d00075,d15161
d00077,d17365
d00077,d17368
d00077,d17462
d00077,d17475
d00077,d17479
d00079,d19683
d00079,d19686
d00079,d19780
d00079,d19793
d00079,d19797
d00081,d13021
d00081,d13024
d00081,d13118
d00081,d13131
d00081,d13135
d00083,d15339
d00083,d15342
d00083,d15436
d00083,d15449
d00083,d15453
d00085,d17657
d00085,d17660
d00085,d17754
d00085,d17767
d00085,d17771
d00087,d19975
d00087,d19978
d00087,d20072
d00087,d20085
d00087,d20089
d00089,d13316
d00089,d13319
d00089,d13413
d00089,d13426
d00089,d13430
d00091,d15634
d00091,d15637
d00091,d15731
d00091,d15744
d00091,d15748
d00093,d17952
d00093,d17955
d00093,d18049
d00093,d18062
d00093,d18066
d00095,d20270
d00095,d20273
d00095,d20367
d00095,d20380
d00095,d20384
d00097,d13611
d00097,d13614
d00097,d13708
d00097,d13721
d00097,d13725
d00099,d15929
d00099,d15932
d00099,d16026
d00099,d16039
d00099,d16043
d00101,d18247
d00101,d18250
d00101,d18344
d00101,d18357
d00101,d18361
d00103,d20565
d00103,d20568
d00103,d20662
d00103,d20675
d00103,d20679
d00105,d13906
d00105,d13909
d00105,d14003
d00105,d14016
d00105,d14020
d00107,d16224
d00107,d16227
d00107,d16321
d00107,d16334
d00107,d16338
d00109,d18542
d00109,d18545
d00109,d18639
d00109,d18652
d00109,d18656
d00111,d20860
d00111,d20863
d00111,d20957
d00111,d20970
d00111,d20974
d00113,d14194
d00113,d14197
d00113,d14291
d00113,d14304
d00113,d14308
d00115,d16512
d00115,d16515
d00115,d16609
d00115,d16622
d00115,d16626
d00117,d18830
d00117,d18833
d00117,d18927
d00117,d18940
d00117,d18944
d00119,d21148
d00119,d21151
d00119,d21245
d00119,d21258
d00119,d21262
d00121,d14486
d00121,d14489
d00121,d14583
d00121,d14596
d00121,d14600
d00123,d16804
d00123,d16807
d00123,d16901
d00123,d16914
d00123,d16918
d00125,d19122
d00125,d19125
d00125,d19219
d00125,d19232
d00125,d19236
d00127,d21440
d00127,d21443
d00127,d21537
d00127,d21550
d00127,d21554
d00129,d12423
d00129,d12438
d00129,d12441
d00129,d12535
d00129,d12548
d00129,d12552
d00131,d14741
d00131,d14756
d00131,d14759
d00131,d14853
d00131,d14866
d00131,d14870
d00133,d17059
d00133,d17074
d00133,d17077
d00133,d17171
d00133,d17184
d00133,d17188
d00135,d19377
d00135,d19392
d00135,d19395
d00135,d19489
d00135,d19502
d00135,d19506
d00137,d12715
d00137,d12730
d00137,d12733
d00137,d12827
d00137,d12840
d00137,d12844
d00139,d15033
d00139,d15048
d00139,d15051
d00139,d15145
d00139,d15158
d00139,d15162
d00141,d17351
d00141,d17366
d00141,d17369
d00141,d17463
d00141,d17476
d00141,d17480
d00143,d19669
d00143,d19684
d00143,d19687
d00143,d19781
d00143,d19794
d00143,d19798
d00145,d13007
d00145,d13022
d00145,d13025
d00145,d13119
d00145,d13132
d00145,d13136
d00147,d15325
d00147,d15340
d00147,d15343
d00147,d15437
d00147,d15450
d00147,d15454
d00149,d17643
d00149,d17658
d00149,d17661
d00149,d17755
d00149,d17768
d00149,d17772
d00151,d19961
d00151,d19976
d00151,d19979
d00151,d20073
d00151,d20086
d00151,d20090
d00153,d13302
d00153,d13317
d00153,d13320
d00153,d13414
d00153,d13427
d00153,d13431
d00155,d15620
d00155,d15635
d00155,d15638
d00155,d15732
d00155,d15745
d00155,d15749
d00157,d17938
d00157,d17953
d00157,d17956
d00157,d18050
d00157,d18063
d00157,d18067
d00159,d20256
d00159,d20271
d00159,d20274
d00159,d20368
d00159,d20381
d00159,d20385
d00161,d13597
d00161,d13612
d00161,d13615
d00161,d13709
d00161,d13722
d00161,d13726
d00163,d15915
d00163,d15930
d00163,d15933
d00163,d16027
d00163,d16040
d00163,d16044
d00165,d18233
d00165,d18248
d00165,d18251
d00165,d18345
d00165,d18358
d00165,d18362
d00167,d20551
d00167,d20566
d00167,d20569
d00167,d20663
d00167,d20676
d00167,d20680
d00169,d13892
d00169,d13907
d00169,d13910
d00169,d14004
d00169,d14017
d00169,d14021
d00171,d16210
d00171,d16225
d00171,d16228
d00171,d16322
d00171,d16335
d00171,d16339
d00173,d18528
d00173,d18543
d00173,d18546
d00173,d18640
d00173,d18653
d00173,d18657
d00175,d20846
d00175,d20861
d00175,d20864
d00175,d20958
d00175,d20971
d00175,d20975
d00177,d14180
d00177,d14195
d00177,d14198
d00177,d14292
d00177,d14305
d00177,d14309
d00179,d16498
d00179,d16513
d00179,d16516
d00179,d16610
d00179,d16623
d00179,d16627
d00181,d18816
d00181,d18831
d00181,d18834
d00181,d18928
d00181,d18941
d00181,d18945
d00183,d21134
d00183,d21149
d00183,d21152
d00183,d21246
d00183,d21259
d00183,d21263
d00185,d14472
d00185,d14487
d00185,d14490
d00185,d14584
d00185,d14597
d00185,d14601
d00187,d16790
d00187,d16805
d00187,d16808
d00187,d16902
d00187,d16915
d00187,d16919
d00189,d19108
d00189,d19123
d00189,d19126
d00189,d19220
d00189,d19233
d00189,d19237
d00191,d21426
d00191,d21441
d00191,d21444
d00191,d21538
d00191,d21551
d00191,d21555
d00193,d12411
d00193,d12430
d00193,d12436
d00193,d12454
d00193,d12541
d00193,d12546
d00193,d12557
d00195,d14729
d00195,d14748
d00195,d14754
d00195,d14772
d00195,d14859
d00195,d14864
d00195,d14875
d00197,d17047
d00197,d17066
d00197,d17072
d00197,d17090
d00197,d17177
d00197,d17182
d00197,d17193
d00199,d19365
d00199,d19384
d00199,d19390
d00199,d19408
d00199,d19495
d00199,d19500
d00199,d19511
d00201,d12703
d00201,d12722
d00201,d12728
d00201,d12746
d00201,d12833
d00201,d12838
d00201,d12849
d00203,d15021
d00203,d15040
d00203,d15046
d00203,d15064
d00203,d15151
d00203,d15156
d00203,d15167
d00205,d17339
d00205,d17358
d00205,d17364
d00205,d17382
d00205,d17469
d00205,d17474
d00205,d17485
d00207,d19657
d00207,d19676
d00207,d19682
d00207,d19700
d00207,d19787
d00207,d19792
d00207,d19803
d00209,d12995
d00209,d13014
d00209,d13020
d00209,d13038
d00209,d13125
d00209,d13130
d00209,d13141
d00211,d15313
d00211,d15332
d00211,d15338
d00211,d15356
d00211,d15443
d00211,d15448
d00211,d15459
d00213,d17631
d00213,d17650
d00213,d17656
d00213,d17674
d00213,d17761
d00213,d17766
d00213,d17777
d00215,d19949
d00215,d19968
d00215,d19974
d00215,d19992
d00215,d20079
d00215,d20084
d00215,d20095
d00217,d13290
d00217,d13309
d00217,d13315
d00217,d13333
d00217,d13420
d00217,d13425
d00217,d13436
d00219,d15608
d00219,d15627
d00219,d15633
d00219,d15651
d00219,d15738
d00219,d15743
d00219,d15754
d00221,d17926
d00221,d17945
d00221,d17951
d00221,d17969
d00221,d18056
d00221,d18061
d00221,d18072
d00223,d20244
d00223,d20263
d00223,d20269
d00223,d20287
d00223,d20374
d00223,d20379
d00223,d20390
d00225,d13585
d00225,d13604
d00225,d13610
d00225,d13628
d00225,d13715
d00225,d13720
d00225,d13731
d00227,d15903
d00227,d15922
d00227,d15928
d00227,d15946
d00227,d16033
d00227,d16038
d00227,d16049
d00229,d18221
d00229,d18240
d00229,d18246
d00229,d18264
d00229,d18351
d00229,d18356
d00229,d18367
d00231,d20539
d00231,d20558
d00231,d20564
d00231,d20582
d00231,d20669
d00231,d20674
d00231,d20685
d00233,d13880
d00233,d13899
d00233,d13905
d00233,d13923
d00233,d14010
d00233,d14015
d00233,d14026
d00235,d16198
d00235,d16217
d00235,d16223
d00235,d16241
d00235,d16328
d00235,d16333
d00235,d16344
d00237,d18516
d00237,d18535
d00237,d18541
d00237,d18559
d00237,d18646
d00237,d18651
d00237,d18662
d00239,d20834
d00239,d20853
d00239,d20859
d00239,d20877
d00239,d20964
d00239,d20969
d00239,d20980
d00241,d14168
d00241,d14187
d00241,d14193
d00241,d14211
d00241,d14298
d00241,d14303
d00241,d14314
d00243,d16486
d00243,d16505
d00243,d16511
d00243,d16529
d00243,d16616
d00243,d16621
d00243,d16632
d00245,d18804
d00245,d18823
d00245,d18829
d00245,d18847
d00245,d18934
d00245,d18939
d00245,d18950
d00247,d21122
d00247,d21141
d00247,d21147
d00247,d21165
d00247,d21252
d00247,d21257
d00247,d21268
d00249,d14460
d00249,d14479
d00249,d14485
d00249,d14503
d00249,d14590
d00249,d14595
d00249,d14606
d00251,d16778
d00251,d16797
d00251,d16803
d00251,d16821
d00251,d16908
d00251,d16913
d00251,d16924
d00253,d19096
d00253,d19115
d00253,d19121
d00253,d19139
d00253,d19226
d00253,d19231
d00253,d19242
d00255,d21414
d00255,d21433
d00255,d21439
d00255,d21457
d00255,d21544
d00255,d21549
d00255,d21560
d00257,d12433
d00257,d12435
d00257,d12453
d00257,d12543
d00257,d12545
d00257,d12556
d00259,d14751
d00259,d14753
d00259,d14771
d00259,d14861
d00259,d14863
d00259,d14874
d00261,d17069
d00261,d17071
d00261,d17089
d00261,d17179
d00261,d17181
d00261,d17192
d00263,d19387
d00263,d19389
d00263,d19407
d00263,d19497
d00263,d19499
d00263,d19510
d00265,d12725
d00265,d12727
d00265,d12745
d00265,d12835
d00265,d12837
d00265,d12848
d00267,d15043
d00267,d15045
d00267,d15063
d00267,d15153
d00267,d15155
d00267,d15166
d00269,d17361
d00269,d17363
d00269,d17381
d00269,d17471
d00269,d17473
d00269,d17484
d00271,d19679
d00271,d19681
d00271,d19699
d00271,d19789
d00271,d19791
d00271,d19802
d00273,d13017
d00273,d13019
d00273,d13037
d00273,d13127
d00273,d13129
d00273,d13140
d00275,d15335
d00275,d15337
d00275,d15355
d00275,d15445
d00275,d15447
d00275,d15458
d00277,d17653
d00277,d17655
d00277,d17673
d00277,d17763
d00277,d17765
d00277,d17776
d00279,d19971
d00279,d19973
d00279,d19991
d00279,d20081
d00279,d20083
d00279,d20094
d00281,d13312
d00281,d13314
d00281,d13332
d00281,d13422
d00281,d13424
d00281,d13435
d00283,d15630
d00283,d15632
d00283,d15650
d00283,d15740
d00283,d15742
d00283,d15753
d00285,d17948
d00285,d17950
d00285,d17968
d00285,d18058
d00285,d18060
d00285,d18071
d00287,d20266
d00287,d20268
d00287,d20286
d00287,d20376
d00287,d20378
d00287,d20389
d00289,d13607
d00289,d13609
d00289,d13627
d00289,d13717
d00289,d13719
d00289,d13730
d00291,d15925
d00291,d15927
d00291,d15945
d00291,d16035
d00291,d16037
d00291,d16048
d00293,d18243
d00293,d18245
d00293,d18263
d00293,d18353
d00293,d18355
d00293,d18366
d00295,d20561
d00295,d20563
d00295,d20581
d00295,d20671
d00295,d20673
d00295,d20684
d00297,d13902
d00297,d13904
d00297,d13922
d00297,d14012
d00297,d14014
d00297,d14025
d00299,d16220
d00299,d16222
d00299,d16240
d00299,d16330
d00299,d16332
d00299,d16343
d00301,d18538
d00301,d18540
d00301,d18558
d00301,d18648
d00301,d18650
d00301,d18661
d00303,d20856
d00303,d20858
d00303,d20876
d00303,d20966
d00303,d20968
d00303,d20979
d00305,d14190
d00305,d14192
d00305,d14210
d00305,d14300
d00305,d14302
d00305,d14313
d00307,d16508
d00307,d16510
d00307,d16528
d00307,d16618
d00307,d16620
d00307,d16631
d00309,d18826
d00309,d18828
d00309,d18846
d00309,d18936
d00309,d18938
d00309,d18949
d00311,d21144
d00311,d21146
d00311,d21164
d00311,d21254
d00311,d21256
d00311,d21267
d00313,d14482
d00313,d14484
d00313,d14502
d00313,d14592
d00313,d14594
d00313,d14605
d00315,d16800
d00315,d16802
d00315,d16820
d00315,d16910
d00315,d16912
d00315,d16923
d00317,d19118
d00317,d19120
d00317,d19138
d00317,d19228
d00317,d19230
d00317,d19241
d00319,d21436
d00319,d21438
d00319,d21456
d00319,d21546
d00319,d21548
d00319,d21559
d00321,d12432
d00321,d12434
d00321,d12542
d00321,d12544
d00323,d14750
d00323,d14752
d00323,d14860
d00323,d14862
d00325,d17068
d00325,d17070
d00325,d17178
d00325,d17180
d00327,d19386
d00327,d19388
d00327,d19496
d00327,d19498
d00329,d12724
d00329,d12726
d00329,d12834
d00329,d12836
d00331,d15042
d00331,d15044
d00331,d15152
d00331,d15154
d00333,d17360
d00333,d17362
d00333,d17470
d00333,d17472
d00335,d19678
d00335,d19680
d00335,d19788
d00335,d19790
d00337,d13016
d00337,d13018
d00337,d13126
d00337,d13128
d00339,d15334
d00339,d15336
d00339,d15444
d00339,d15446
d00341,d17652
d00341,d17654
d00341,d17762
d00341,d17764
d00343,d19970
d00343,d19972
d00343,d20080
d00343,d20082
d00345,d13311
d00345,d13313
d00345,d13421
d00345,d13423
d00347,d15629
d00347,d15631
d00347,d15739
d00347,d15741
d00349,d17947
d00349,d17949
d00349,d18057
d00349,d18059
d00351,d20265
d00351,d20267
d00351,d20375
d00351,d20377
d00353,d13606
d00353,d13608
d00353,d13716
d00353,d13718
d00355,d15924
d00355,d15926
d00355,d16034
d00355,d16036
d00357,d18242
d00357,d18244
d00357,d18352
d00357,d18354
d00359,d20560
d00359,d20562
d00359,d20670
d00359,d20672
d00361,d13901
d00361,d13903
d00361,d14011
d00361,d14013
d00363,d16219
d00363,d16221
d00363,d16329
d00363,d16331
d00365,d18537
d00365,d18539
d00365,d18647
d00365,d18649
d00367,d20855
d00367,d20857
d00367,d20965
d00367,d20967
d00369,d14189
d00369,d14191
d00369,d14299
d00369,d14301
d00371,d16507
d00371,d16509
d00371,d16617
d00371,d16619
d00373,d18825
d00373,d18827
d00373,d18935
d00373,d18937
d00375,d21143
d00375,d21145
d00375,d21253
d00375,d21255
d00377,d14481
d00377,d14483
d00377,d14591
d00377,d14593
d00379,d16799
d00379,d16801
d00379,d16909
d00379,d16911
d00381,d19117
d00381,d19119
d00381,d19227
d00381,d19229
d00383,d21435
d00383,d21437
d00383,d21545
d00383,d21547
d00385,d12347
d00385,d12350
d00385,d12354
d00385,d12356
d00385,d12523
d00385,d12527
d00385,d12530
d00385,d12608
d00385,d12611
d00385,d12614
d00385,d12616
d00387,d14665
d00387,d14668
d00387,d14672
d00387,d14674
d00387,d14841
d00387,d14845
d00387,d14848
d00387,d14926
d00387,d14929
d00387,d14932
