exact_group_id,decision_id
X000,d10253
X000,d10274
X000,d10295
X000,d10316
X001,d10254
X001,d10275
X001,d10296
X001,d10317
X002,d10257
X002,d10278
X002,d10299
X002,d10320
X003,d10258
X003,d10279
X003,d10300
X003,d10321
X004,d10259
X004,d10280
X004,d10301
X004,d10322
X005,d10260
X005,d10281
X005,d10302
X005,d10323
X006,d10261
X006,d10282
X006,d10303
X006,d10324
X007,d10262
X007,d10283
X007,d10304
X007,d10325
X008,d10263
X008,d10284
X008,d10305
X008,d10326
X009,d10264
X009,d10285
X009,d10306
X009,d10327
X010,d10265
X010,d10286
X010,d10307
X010,d10328
X011,d10266
X011,d10287
X011,d10308
X011,d10329
X012,d10267
X012,d10288
X012,d10309
X012,d10330
X013,d10268
X013,d10289
X013,d10310
X013,d10331
X014,d10269
X014,d10290
X014,d10311
X014,d10332
X015,d10270
X015,d10291
X015,d10312
X015,d10333
X016,d10271
X016,d10292
X016,d10313
X016,d10334
X017,d09400
X017,d09419
X017,d09438
X017,d09457
X017,d09476
X017,d09493
X017,d09510
X017,d09527
X017,d09544
X017,d09565
X017,d09584
X017,d09603
X017,d09622
X017,d09641
X017,d09658
X017,d09675
X017,d09692
X017,d09709
X017,d09730
X017,d09749
X017,d09768
X017,d09787
X017,d09804
X017,d09821
X017,d09838
X017,d09855
X017,d09876
X017,d09895
X017,d09912
X017,d09929
X017,d09946
X017,d09963
X017,d09984
X017,d10001
X017,d10018
X017,d10035
X017,d10052
X017,d10073
X017,d10090
X017,d10107
X017,d10124
X017,d10141
X017,d10162
X017,d10179
X017,d10196
X017,d10213
X017,d10234
X017,d10251
X018,d10272
X018,d10293
X018,d10314
X018,d10335
