decision_id,node_id,coef
d03832,c22,1.0
d10488,c22,-1.0
d03833,c23,1.0
d10489,c23,-1.0
d03834,c24,1.0
d10490,c24,-1.0
d03835,c25,1.0
d10491,c25,-1.0
d03836,c26,1.0
d10492,c26,-1.0
d03837,c27,1.0
d10493,c27,-1.0
d03838,c28,1.0
d10494,c28,-1.0
d03839,c29,1.0
d10495,c29,-1.0
d03840,c30,1.0
d10496,c30,-1.0
d03841,c31,1.0
d10497,c31,-1.0
d03842,c32,1.0
d10498,c32,-1.0
d03844,c33,1.0
d10499,c33,-1.0
d03845,c34,1.0
d10500,c34,-1.0
d03846,c35,1.0
d10501,c35,-1.0
d03847,c36,1.0
d10502,c36,-1.0
d03695,c37,1.0
d03695,c56,-1.0
d03695,c946,-1.0
d03714,c37,1.0
d03714,c207,-1.0
d03714,c946,-1.0
d03733,c37,1.0
d03733,c358,-1.0
d03733,c946,-1.0
d03752,c37,1.0
d03752,c509,-1.0
d03752,c946,-1.0
d03771,c37,1.0
d03771,c75,-1.0
d03771,c946,-1.0
d03790,c37,1.0
d03790,c226,-1.0
d03790,c946,-1.0
d03809,c37,1.0
d03809,c377,-1.0
d03809,c946,-1.0
d03828,c37,1.0
d03828,c528,-1.0
d03828,c946,-1.0
d03867,c37,1.0
d03867,c94,-1.0
d03867,c946,-1.0
d03885,c37,1.0
d03885,c245,-1.0
d03885,c946,-1.0
d03903,c37,1.0
d03903,c396,-1.0
d03903,c946,-1.0
d03921,c37,1.0
d03921,c547,-1.0
d03921,c946,-1.0
d03939,c37,1.0
d03939,c113,-1.0
d03939,c946,-1.0
d03957,c37,1.0
d03957,c264,-1.0
d03957,c946,-1.0
d03975,c37,1.0
d03975,c415,-1.0
d03975,c946,-1.0
d03993,c37,1.0
d03993,c566,-1.0
d03993,c946,-1.0
d04011,c37,1.0
d04011,c132,-1.0
d04011,c946,-1.0
d04028,c37,1.0
d04028,c283,-1.0
d04028,c946,-1.0
d04045,c37,1.0
d04045,c434,-1.0
d04045,c946,-1.0
d04062,c37,1.0
