decision_id,mix_dimension_id,flag
d03680,D0,0
d03681,D0,0
d03682,D0,0
d03683,D0,0
d03684,D0,0
d03685,D0,0
d03686,D0,0
d03687,D0,0
d03688,D0,0
d03689,D0,0
d03690,D0,0
d03691,D0,0
d03692,D0,0
d03693,D0,0
d03694,D0,0
d03695,D0,0
d03696,D0,0
d03697,D0,0
d03698,D0,0
d03699,D0,0
d03700,D0,0
d03701,D0,0
d03702,D0,0
d03703,D0,0
d03704,D0,0
d03705,D0,0
d03706,D0,0
d03707,D0,0
d03708,D0,0
d03709,D0,0
d03710,D0,0
d03711,D0,0
d03712,D0,0
d03713,D0,0
d03714,D0,0
d03715,D0,0
d03716,D0,0
d03717,D0,0
d03718,D0,0
d03719,D0,0
d03720,D0,0
d03721,D0,0
d03722,D0,0
d03723,D0,0
d03724,D0,0
d03725,D0,0
d03726,D0,0
d03727,D0,0
d03728,D0,0
d03729,D0,0
d03730,D0,0
d03731,D0,0
d03732,D0,0
d03733,D0,0
d03734,D0,0
d03735,D0,0
d03736,D0,0
d03737,D0,0
d03738,D0,0
d03739,D0,0
d03740,D0,0
d03741,D0,0
d03742,D0,0
d03743,D0,0
d03744,D0,0
d03745,D0,0
d03746,D0,0
d03747,D0,0
d03748,D0,0
d03749,D0,0
d03750,D0,0
d03751,D0,0
d03752,D0,0
d03753,D0,0
d03754,D0,0
d03755,D0,0
d03756,D0,0
d03757,D0,0
d03758,D0,0
d03759,D0,0
d03760,D0,0
d03761,D0,0
d03762,D0,0
d03763,D0,0
d03764,D0,0
d03765,D0,0
d03766,D0,0
d03767,D0,0
d03768,D0,0
d03769,D0,0
d03770,D0,0
d03771,D0,0
d03772,D0,0
d03773,D0,0
d03774,D0,0
d03775,D0,0
d03776,D0,0
d03777,D0,0
d03778,D0,0
d03779,D0,0
d03780,D0,0
d03781,D0,0
d03782,D0,0
d03783,D0,0
d03784,D0,0
d03785,D0,0
d03786,D0,0
d03787,D0,0
d03788,D0,0
d03789,D0,0
d03790,D0,0
d03791,D0,0
d03792,D0,0
d03793,D0,0
d03794,D0,0
d03795,D0,0
d03796,D0,0
d03797,D0,0
d03798,D0,0
d03799,D0,0
d03800,D0,0
d03801,D0,0
d03802,D0,0
d03803,D0,0
d03804,D0,0
d03805,D0,0
d03806,D0,0
d03807,D0,0
d03808,D0,0
d03809,D0,0
d03810,D0,0
d03811,D0,0
d03812,D0,0
d03813,D0,0
d03814,D0,0
d03815,D0,0
d03816,D0,0
d03817,D0,0
d03818,D0,0
d03819,D0,0
d03820,D0,0
d03821,D0,0
d03822,D0,0
d03823,D0,0
d03824,D0,0
d03825,D0,0
d03826,D0,0
d03827,D0,0
d03828,D0,0
d03829,D0,0
d03830,D0,0
d03831,D0,0
d03832,D0,0
d03833,D0,0
d03834,D0,0
d03835,D0,0
d03836,D0,0
d03837,D0,0
d03838,D0,0
d03839,D0,0
d03840,D0,0
d03841,D0,0
d03842,D0,0
d03844,D0,0
d03845,D0,0
d03846,D0,0
d03847,D0,0
d03848,D0,0
d03849,D0,0
d03850,D0,0
d03851,D0,0
d03853,D0,0
d03854,D0,0
d03855,D0,0
d03856,D0,0
d03857,D0,0
d03858,D0,0
d03859,D0,0
d03860,D0,0
d03861,D0,0
d03862,D0,0
d03863,D0,0
d03864,D0,0
d03865,D0,0
d03866,D0,0
d03867,D0,0
d03868,D0,0
d03869,D0,0
d03870,D0,0
d03871,D0,0
d03872,D0,0
d03873,D0,0
d03874,D0,0
d03875,D0,0
d03876,D0,0
d03877,D0,0
d03878,D0,0
d03879,D0,0
d03880,D0,0
d03881,D0,0
d03882,D0,0
d03883,D0,0
d03884,D0,0
d03885,D0,0
d03886,D0,0
d03887,D0,0
d03888,D0,0
d03889,D0,0
d03890,D0,0
d03891,D0,0
d03892,D0,0
d03893,D0,0
d03894,D0,0
d03895,D0,0
d03896,D0,0
d03897,D0,0
d03898,D0,0
d03899,D0,0
d03900,D0,0
d03901,D0,0
d03902,D0,0
d03903,D0,0
d03904,D0,0
d03905,D0,0
d03906,D0,0
d03907,D0,0
d03908,D0,0
d03909,D0,0
d03910,D0,0
d03911,D0,0
d03912,D0,0
d03913,D0,0
d03914,D0,0
d03915,D0,0
d03916,D0,0
d03917,D0,0
d03918,D0,0
d03919,D0,0
d03920,D0,0
d03921,D0,0
d03922,D0,0
d03923,D0,0
d03924,D0,0
d03925,D0,0
d03926,D0,0
d03927,D0,0
d03928,D0,0
d03929,D0,0
d03930,D0,0
d03931,D0,0
d03932,D0,0
d03933,D0,0
d03934,D0,0
d03935,D0,0
d03936,D0,0
d03937,D0,0
d03938,D0,0
d03939,D0,0
d03940,D0,0
d03941,D0,0
d03942,D0,0
d03943,D0,0
d03944,D0,0
d03945,D0,0
d03946,D0,0
d03947,D0,0
d03948,D0,0
d03949,D0,0
d03950,D0,0
d03951,D0,0
d03952,D0,0
d03953,D0,0
d03954,D0,0
d03955,D0,0
d03956,D0,0
d03957,D0,0
d03958,D0,0
d03959,D0,0
d03960,D0,0
d03961,D0,0
d03962,D0,0
d03963,D0,0
d03964,D0,0
d03965,D0,0
d03966,D0,0
d03967,D0,0
d03968,D0,0
d03969,D0,0
d03970,D0,0
d03971,D0,0
d03972,D0,0
d03973,D0,0
d03974,D0,0
d03975,D0,0
d03976,D0,0
d03977,D0,0
d03978,D0,0
d03979,D0,0
d03980,D0,0
d03981,D0,0
d03982,D0,0
d03983,D0,0
d03984,D0,0
d03985,D0,0
d03986,D0,0
d03987,D0,0
d03988,D0,0
d03989,D0,0
d03990,D0,0
d03991,D0,0
d03992,D0,0
d03993,D0,0
d03994,D0,0
d03995,D0,0
d03996,D0,0
d03997,D0,0
d03998,D0,0
d03999,D0,0
d04000,D0,0
d04001,D0,0
d04002,D0,0
d04003,D0,0
d04004,D0,0
d04005,D0,0
d04006,D0,0
d04007,D0,0
d04008,D0,0
d04009,D0,0
d04010,D0,0
d04011,D0,0
d04012,D0,0
d04013,D0,0
d04014,D0,0
d04015,D0,0
d04016,D0,0
d04017,D0,0
d04018,D0,0
d04019,D0,0
d04020,D0,0
d04021,D0,0
d04022,D0,0
d04023,D0,0
d04024,D0,0
d04025,D0,0
d04026,D0,0
d04027,D0,0
d04028,D0,0
d04029,D0,0
d04030,D0,0
d04031,D0,0
d04032,D0,0
d04033,D0,0
d04034,D0,0
d04035,D0,0
d04036,D0,0
d04037,D0,0
d04038,D0,0
d04039,D0,0
d04040,D0,0
d04041,D0,0
d04042,D0,0
d04043,D0,0
d04044,D0,0
d04045,D0,0
d04046,D0,0
d04047,D0,0
d04048,D0,0
d04049,D0,0
d04050,D0,0
d04051,D0,0
d04052,D0,0
d04053,D0,0
d04054,D0,0
d04055,D0,0
d04056,D0,0
d04057,D0,0
d04058,D0,0
d04059,D0,0
d04060,D0,0
d04061,D0,0
d04062,D0,0
d04063,D0,0
d04064,D0,0
d04065,D0,0
d04066,D0,0
d04067,D0,0
d04068,D0,0
d04069,D0,0
d04070,D0,0
d04071,D0,0
d04072,D0,0
d04073,D0,0
d04074,D0,0
d04075,D0,0
d04076,D0,0
d04077,D0,0
d04078,D0,0
d04079,D0,0
d04080,D0,0
d04081,D0,0
d04082,D0,0
d04083,D0,0
d04084,D0,0
d04085,D0,0
d04086,D0,0
d04087,D0,0
d04088,D0,0
d04089,D0,0
d04090,D0,0
d04091,D0,0
d04092,D0,0
d04093,D0,0
d04094,D0,0
d04095,D0,0
d04096,D0,0
d04097,D0,0
d04098,D0,0
d04099,D0,0
d04100,D0,0
d04101,D0,0
d04102,D0,0
d04103,D0,0
d04104,D0,0
d04105,D0,0
d04106,D0,0
d04107,D0,0
d04108,D0,0
d04109,D0,0
d04110,D0,0
d04111,D0,0
d04112,D0,0
d04113,D0,0
d04114,D0,0
d04115,D0,0
d04116,D0,0
d04117,D0,0
d04118,D0,0
d04119,D0,0
d04120,D0,0
d04121,D0,0
d04122,D0,0
d04123,D0,0
d04124,D0,0
d04125,D0,0
d04126,D0,0
d04127,D0,0
d04128,D0,0
d04129,D0,0
d04130,D0,0
d04131,D0,0
d04132,D0,0
d04133,D0,0
d04134,D0,0
d04135,D0,0
d04136,D0,0
d04137,D0,0
d04138,D0,0
d04139,D0,0
d04140,D0,0
d04141,D0,0
d04142,D0,0
d04143,D0,0
d04144,D0,0
d04145,D0,0
d04146,D0,0
d04147,D0,0
d04148,D0,0
d04149,D0,0
d04150,D0,0
d04151,D0,0
d04152,D0,0
d04153,D0,0
d04154,D0,0
d04155,D0,0
d04156,D0,0
d04157,D0,0
d04158,D0,0
