cap_group_id,decision_id
K000,d66710
K000,d66731
K000,d66752
K000,d66773
K000,d66794
K000,d66815
K000,d66836
K000,d66857
K000,d66878
K000,d66899
K000,d66920
K000,d66941
K000,d66962
K000,d66983
K000,d67004
K000,d67025
K000,d67046
K000,d67067
K000,d67088
K000,d67109
K000,d67130
K000,d67151
K000,d68474
K000,d68495
K000,d68516
K000,d68537
K000,d68558
K000,d68579
K000,d68600
K000,d68621
K000,d68642
K000,d68663
K000,d68684
K000,d68705
K000,d68726
K000,d68747
K000,d68768
K000,d68789
K000,d68810
K000,d68831
K000,d69902
K000,d69923
K000,d69944
K000,d69965
K000,d69986
K000,d70007
K000,d70028
K000,d70049
K000,d70070
K000,d70091
K000,d70112
K000,d70133
K000,d70154
K000,d70175
K000,d70994
K000,d71015
K000,d71036
K000,d71057
K000,d71078
K000,d71099
K000,d71120
K000,d71141
K000,d71162
K000,d71183
K000,d71750
K000,d71771
K000,d71792
K000,d71813
K000,d71834
K000,d71855
K000,d72170
K000,d72191
K000,d73919
K001,d66711
K001,d66732
K001,d66753
K001,d66774
K001,d66795
K001,d66816
K001,d66837
K001,d66858
K001,d66879
K001,d66900
K001,d66921
K001,d66942
K001,d66963
K001,d66984
K001,d67005
K001,d67026
K001,d67047
K001,d67068
K001,d67089
K001,d67110
K001,d67131
K001,d67152
K001,d68475
K001,d68496
K001,d68517
K001,d68538
K001,d68559
K001,d68580
K001,d68601
K001,d68622
K001,d68643
K001,d68664
K001,d68685
K001,d68706
K001,d68727
K001,d68748
K001,d68769
K001,d68790
K001,d68811
K001,d68832
K001,d69903
K001,d69924
K001,d69945
K001,d69966
K001,d69987
K001,d70008
K001,d70029
K001,d70050
K001,d70071
K001,d70092
K001,d70113
K001,d70134
K001,d70155
K001,d70176
K001,d70995
K001,d71016
K001,d71037
K001,d71058
K001,d71079
K001,d71100
K001,d71121
K001,d71142
K001,d71163
K001,d71184
K001,d71751
K001,d71772
K001,d71793
K001,d71814
K001,d71835
K001,d71856
K001,d72171
K001,d72192
K001,d73920
K002,d66712
K002,d66733
K002,d66754
K002,d66775
K002,d66796
K002,d66817
K002,d66838
K002,d66859
K002,d66880
K002,d66901
K002,d66922
K002,d66943
K002,d66964
K002,d66985
K002,d67006
K002,d67027
K002,d67048
K002,d67069
K002,d67090
K002,d67111
K002,d67132
K002,d67153
K002,d68476
K002,d68497
K002,d68518
K002,d68539
K002,d68560
K002,d68581
K002,d68602
K002,d68623
K002,d68644
K002,d68665
K002,d68686
K002,d68707
K002,d68728
K002,d68749
K002,d68770
K002,d68791
K002,d68812
K002,d68833
K002,d69904
K002,d69925
K002,d69946
K002,d69967
K002,d69988
K002,d70009
K002,d70030
K002,d70051
K002,d70072
K002,d70093
K002,d70114
K002,d70135
K002,d70156
K002,d70177
K002,d70996
K002,d71017
K002,d71038
K002,d71059
K002,d71080
K002,d71101
K002,d71122
K002,d71143
K002,d71164
K002,d71185
K002,d71752
K002,d71773
K002,d71794
K002,d71815
K002,d71836
K002,d71857
K002,d72172
K002,d72193
K002,d73921
K003,d66713
K003,d66734
K003,d66755
K003,d66776
K003,d66797
K003,d66818
K003,d66839
K003,d66860
K003,d66881
K003,d66902
K003,d66923
K003,d66944
K003,d66965
K003,d66986
K003,d67007
K003,d67028
K003,d67049
K003,d67070
K003,d67091
K003,d67112
K003,d67133
K003,d67154
K003,d68477
K003,d68498
K003,d68519
K003,d68540
K003,d68561
K003,d68582
K003,d68603
K003,d68624
K003,d68645
K003,d68666
K003,d68687
K003,d68708
K003,d68729
K003,d68750
K003,d68771
K003,d68792
K003,d68813
K003,d68834
K003,d69905
K003,d69926
K003,d69947
K003,d69968
K003,d69989
K003,d70010
K003,d70031
K003,d70052
K003,d70073
K003,d70094
K003,d70115
K003,d70136
K003,d70157
K003,d70178
K003,d70997
K003,d71018
K003,d71039
K003,d71060
K003,d71081
K003,d71102
K003,d71123
K003,d71144
K003,d71165
K003,d71186
K003,d71753
K003,d71774
K003,d71795
K003,d71816
K003,d71837
K003,d71858
K003,d72173
K003,d72194
K003,d73922
K004,d66714
K004,d66735
K004,d66756
K004,d66777
K004,d66798
K004,d66819
K004,d66840
K004,d66861
K004,d66882
K004,d66903
K004,d66924
K004,d66945
K004,d66966
K004,d66987
K004,d67008
K004,d67029
K004,d67050
K004,d67071
K004,d67092
K004,d67113
K004,d67134
K004,d67155
K004,d68478
K004,d68499
K004,d68520
K004,d68541
K004,d68562
K004,d68583
K004,d68604
K004,d68625
K004,d68646
K004,d68667
K004,d68688
K004,d68709
K004,d68730
K004,d68751
K004,d68772
K004,d68793
K004,d68814
K004,d68835
K004,d69906
K004,d69927
K004,d69948
K004,d69969
K004,d69990
K004,d70011
K004,d70032
K004,d70053
K004,d70074
K004,d70095
K004,d70116
K004,d70137
K004,d70158
K004,d70179
K004,d70998
K004,d71019
K004,d71040
K004,d71061
K004,d71082
K004,d71103
K004,d71124
K004,d71145
K004,d71166
K004,d71187
K004,d71754
K004,d71775
K004,d71796
K004,d71817
K004,d71838
