cap_group_id,max_selected
K000,2.0
K001,2.0
K002,2.0
K003,2.0
K004,2.0
K005,2.0
K006,2.0
K007,2.0
K008,2.0
K009,2.0
K010,2.0
K011,2.0
K012,2.0
K013,2.0
K014,2.0
K015,2.0
K016,2.0
K017,2.0
K018,2.0
K019,2.0
K020,2.0
K021,2.0
K022,2.0
K023,2.0
K024,2.0
K025,2.0
K026,2.0
K027,2.0
K028,2.0
K029,2.0
K030,2.0
K031,2.0
K032,2.0
K033,2.0
K034,2.0
K035,2.0
K036,2.0
K037,2.0
K038,2.0
K039,2.0
K040,2.0
K041,2.0
K042,2.0
K043,2.0
K044,2.0
K045,2.0
K046,2.0
K047,2.0
K048,2.0
K049,2.0
K050,2.0
K051,2.0
K052,2.0
K053,2.0
K054,2.0
K055,2.0
K056,2.0
K057,2.0
K058,2.0
K059,2.0
K060,2.0
K061,6.0
K062,6.0
K063,6.0
K064,6.0
K065,6.0
K066,6.0
K067,6.0
K068,6.0
K069,6.0
K070,6.0
K071,6.0
K072,6.0
K073,6.0
K074,6.0
K075,6.0
K076,6.0
K077,6.0
K078,6.0
K079,6.0
K080,6.0
K081,6.0
K082,6.0
K083,6.0
K084,6.0
K085,6.0
K086,6.0
K087,6.0
K088,6.0
K089,6.0
K090,6.0
K091,6.0
K092,6.0
K093,6.0
K094,6.0
K095,6.0
K096,6.0
K097,6.0
K098,6.0
K099,6.0
K100,6.0
K101,6.0
K102,6.0
K103,6.0
K104,6.0
K105,6.0
K106,6.0
K107,6.0
K108,6.0
K109,6.0
K110,6.0
K111,6.0
K112,6.0
K113,6.0
K114,6.0
K115,6.0
K116,6.0
K117,6.0
K118,6.0
K119,6.0
K120,6.0
K121,6.0
K122,6.0
K123,6.0
K124,6.0
K125,6.0
K126,6.0
K127,6.0
K128,6.0
K129,6.0
K130,6.0
K131,6.0
K132,6.0
K133,6.0
K134,6.0
K135,6.0
K136,6.0
K137,6.0
K138,6.0
K139,6.0
K140,6.0
K141,6.0
K142,6.0
K143,6.0
K144,6.0
K145,6.0
K146,6.0
K147,6.0
K148,6.0
K149,6.0
K150,6.0
K151,6.0
K152,6.0
K153,6.0
K154,6.0
K155,6.0
K156,6.0
K157,6.0
K158,6.0
K159,6.0
K160,6.0
K161,6.0
K162,6.0
K163,6.0
K164,6.0
K165,6.0
K166,6.0
K167,6.0
K168,6.0
K169,6.0
K170,6.0
K171,6.0
K172,6.0
K173,6.0
K174,6.0
K175,6.0
K176,6.0
K177,6.0
K178,6.0
K179,6.0
K180,6.0
K181,6.0
K182,6.0
K183,6.0
K184,6.0
K185,6.0
K186,6.0
K187,6.0
K188,6.0
K189,6.0
K190,6.0
K191,6.0
K192,6.0
K193,6.0
K194,6.0
K195,6.0
K196,6.0
K197,6.0
K198,6.0
K199,6.0
K200,6.0
K201,6.0
K202,6.0
K203,6.0
K204,6.0
K205,6.0
K206,6.0
K207,6.0
K208,6.0
K209,6.0
K210,6.0
K211,6.0
K212,6.0
K213,6.0
K214,6.0
K215,6.0
K216,6.0
K217,6.0
K218,6.0
K219,6.0
K220,6.0
K221,6.0
K222,6.0
K223,6.0
K224,6.0
K225,6.0
K226,6.0
K227,6.0
K228,6.0
K229,6.0
K230,6.0
K231,6.0
K232,6.0
K233,6.0
K234,6.0
K235,6.0
K236,6.0
K237,6.0
K238,6.0
K239,6.0
K240,6.0
K241,6.0
K242,6.0
K243,6.0
K244,6.0
K245,6.0
K246,6.0
K247,6.0
K248,6.0
K249,6.0
K250,6.0
K251,6.0
K252,6.0
K253,6.0
K254,6.0
K255,6.0
K256,6.0
K257,6.0
K258,6.0
K259,6.0
K260,6.0
K261,6.0
K262,6.0
K263,6.0
K264,6.0
K265,6.0
K266,6.0
K267,6.0
K268,6.0
K269,6.0
K270,6.0
K271,6.0
K272,6.0
K273,6.0
K274,6.0
K275,6.0
K276,6.0
K277,6.0
K278,6.0
K279,6.0
K280,6.0
K281,6.0
K282,6.0
K283,6.0
K284,6.0
K285,6.0
K286,6.0
K287,6.0
K288,6.0
K289,6.0
K290,6.0
K291,6.0
K292,6.0
K293,6.0
K294,6.0
K295,6.0
K296,6.0
K297,6.0
K298,6.0
K299,6.0
K300,6.0
K301,6.0
K302,6.0
K303,6.0
K304,6.0
K305,6.0
K306,6.0
K307,6.0
K308,6.0
