decision_id,role,cost
d00000,choice,-2835.0
d00001,choice,-1620.0
d00002,choice,-1620.0
d00003,choice,-1260.0
d00004,choice,-1260.0
d00005,choice,-1170.0
d00006,choice,-472.5
d00007,choice,-1080.0
d00008,choice,-2835.0
d00009,choice,-1620.0
d00010,choice,-1620.0
d00011,choice,-1260.0
d00012,choice,-1260.0
d00013,choice,-1170.0
d00014,choice,-472.5
d00015,choice,-1080.0
d00016,choice,-2835.0
d00017,choice,-1620.0
d00018,choice,-1620.0
d00019,choice,-1260.0
d00020,choice,-1260.0
d00021,choice,-1170.0
d00022,choice,-472.5
d00023,choice,-1080.0
d00024,choice,-2835.0
d00025,choice,-1620.0
d00026,choice,-1620.0
d00027,choice,-1260.0
d00028,choice,-1260.0
d00029,choice,-1170.0
d00030,choice,-472.5
d00031,choice,-1080.0
d00032,choice,-2664.0
d00033,choice,-1435.5
d00034,choice,-1435.5
d00035,choice,-825.75
d00036,choice,-825.75
d00037,choice,-666.0
d00038,choice,-409.5
d00039,choice,-801.0
d00040,choice,-751.5
d00041,choice,-342.0
d00042,choice,-342.0
d00043,choice,-236.25
d00044,choice,-236.25
d00045,choice,-382.5
d00046,choice,-310.5
d00047,choice,-418.5
d00048,choice,-315.0
d00049,choice,-184.5
d00050,choice,-184.5
d00051,choice,-209.25
d00052,choice,-209.25
d00053,choice,-409.5
d00054,choice,-297.0
d00055,choice,-261.0
d00056,choice,-2835.0
d00057,choice,-1620.0
d00058,choice,-1620.0
d00059,choice,-1260.0
d00060,choice,-1260.0
d00061,choice,-1170.0
d00062,choice,-472.5
d00063,choice,-1080.0
d00064,choice,-2835.0
d00065,choice,-1620.0
d00066,choice,-1620.0
d00067,choice,-1260.0
d00068,choice,-1260.0
d00069,choice,-1170.0
d00070,choice,-472.5
d00071,choice,-1080.0
d00072,choice,-2835.0
d00073,choice,-1620.0
d00074,choice,-1620.0
d00075,choice,-1260.0
d00076,choice,-1260.0
d00077,choice,-1170.0
d00078,choice,-472.5
d00079,choice,-1080.0
d00080,choice,-2835.0
d00081,choice,-1620.0
d00082,choice,-1620.0
d00083,choice,-1260.0
d00084,choice,-1260.0
d00085,choice,-1170.0
d00086,choice,-472.5
d00087,choice,-1080.0
d00088,choice,-2664.0
d00089,choice,-1435.5
d00090,choice,-1435.5
d00091,choice,-825.75
d00092,choice,-825.75
d00093,choice,-666.0
d00094,choice,-409.5
d00095,choice,-801.0
d00096,choice,-751.5
d00097,choice,-342.0
d00098,choice,-342.0
d00099,choice,-236.25
d00100,choice,-236.25
d00101,choice,-382.5
d00102,choice,-310.5
d00103,choice,-418.5
d00104,choice,-315.0
d00105,choice,-184.5
d00106,choice,-184.5
d00107,choice,-209.25
d00108,choice,-209.25
d00109,choice,-409.5
d00110,choice,-297.0
d00111,choice,-261.0
d00112,choice,-2835.0
d00113,choice,-1620.0
d00114,choice,-1620.0
d00115,choice,-1260.0
d00116,choice,-1260.0
d00117,choice,-1170.0
d00118,choice,-472.5
d00119,choice,-1080.0
d00120,choice,-2835.0
d00121,choice,-1620.0
d00122,choice,-1620.0
d00123,choice,-1260.0
d00124,choice,-1260.0
d00125,choice,-1170.0
d00126,choice,-472.5
d00127,choice,-1080.0
d00128,choice,-2835.0
d00129,choice,-1620.0
d00130,choice,-1620.0
d00131,choice,-1260.0
d00132,choice,-1260.0
d00133,choice,-1170.0
d00134,choice,-472.5
d00135,choice,-1080.0
d00136,choice,-2835.0
d00137,choice,-1620.0
d00138,choice,-1620.0
d00139,choice,-1260.0
d00140,choice,-1260.0
d00141,choice,-1170.0
d00142,choice,-472.5
d00143,choice,-1080.0
d00144,choice,-2664.0
d00145,choice,-1435.5
d00146,choice,-1435.5
d00147,choice,-825.75
d00148,choice,-825.75
d00149,choice,-666.0
d00150,choice,-409.5
d00151,choice,-801.0
d00152,choice,-751.5
d00153,choice,-342.0
d00154,choice,-342.0
d00155,choice,-236.25
d00156,choice,-236.25
d00157,choice,-382.5
d00158,choice,-310.5
d00159,choice,-418.5
d00160,choice,-315.0
d00161,choice,-184.5
d00162,choice,-184.5
d00163,choice,-209.25
d00164,choice,-209.25
d00165,choice,-409.5
d00166,choice,-297.0
d00167,choice,-261.0
d00168,choice,-2637.73
d00169,choice,-1507.28
d00170,choice,-1507.28
d00171,choice,-1172.33
d00172,choice,-1172.33
d00173,choice,-1088.59
d00174,choice,-439.622
d00175,choice,-1004.85
d00176,choice,-2637.73
d00177,choice,-1507.28
d00178,choice,-1507.28
d00179,choice,-1172.33
d00180,choice,-1172.33
d00181,choice,-1088.59
d00182,choice,-439.622
d00183,choice,-1004.85
d00184,choice,-2637.73
d00185,choice,-1507.28
d00186,choice,-1507.28
d00187,choice,-1172.33
d00188,choice,-1172.33
d00189,choice,-1088.59
d00190,choice,-439.622
d00191,choice,-1004.85
d00192,choice,-2637.73
d00193,choice,-1507.28
d00194,choice,-1507.28
d00195,choice,-1172.33
d00196,choice,-1172.33
d00197,choice,-1088.59
d00198,choice,-439.622
d00199,choice,-1004.85
d00200,choice,-2478.63
d00201,choice,-1335.61
d00202,choice,-1335.61
d00203,choice,-768.292
d00204,choice,-768.292
d00205,choice,-619.658
d00206,choice,-381.006
d00207,choice,-745.264
d00208,choice,-699.209
d00209,choice,-318.203
d00210,choice,-318.203
d00211,choice,-219.811
d00212,choice,-219.811
d00213,choice,-355.885
d00214,choice,-288.895
d00215,choice,-389.38
d00216,choice,-293.082
d00217,choice,-171.662
d00218,choice,-171.662
d00219,choice,-194.69
d00220,choice,-194.69
d00221,choice,-381.006
d00222,choice,-276.334
d00223,choice,-242.839
d00224,choice,-2637.73
d00225,choice,-1507.28
d00226,choice,-1507.28
d00227,choice,-1172.33
d00228,choice,-1172.33
d00229,choice,-1088.59
d00230,choice,-439.622
d00231,choice,-1004.85
d00232,choice,-2637.73
d00233,choice,-1507.28
d00234,choice,-1507.28
d00235,choice,-1172.33
d00236,choice,-1172.33
d00237,choice,-1088.59
d00238,choice,-439.622
d00239,choice,-1004.85
d00240,choice,-2637.73
d00241,choice,-1507.28
d00242,choice,-1507.28
d00243,choice,-1172.33
d00244,choice,-1172.33
d00245,choice,-1088.59
d00246,choice,-439.622
d00247,choice,-1004.85
d00248,choice,-2637.73
d00249,choice,-1507.28
d00250,choice,-1507.28
d00251,choice,-1172.33
d00252,choice,-1172.33
d00253,choice,-1088.59
d00254,choice,-439.622
d00255,choice,-1004.85
d00256,choice,-2478.63
d00257,choice,-1335.61
d00258,choice,-1335.61
d00259,choice,-768.292
d00260,choice,-768.292
d00261,choice,-619.658
d00262,choice,-381.006
d00263,choice,-745.264
d00264,choice,-699.209
d00265,choice,-318.203
d00266,choice,-318.203
d00267,choice,-219.811
d00268,choice,-219.811
d00269,choice,-355.885
d00270,choice,-288.895
d00271,choice,-389.38
d00272,choice,-293.082
d00273,choice,-171.662
d00274,choice,-171.662
d00275,choice,-194.69
d00276,choice,-194.69
d00277,choice,-381.006
d00278,choice,-276.334
d00279,choice,-242.839
d00280,choice,-2637.73
d00281,choice,-1507.28
d00282,choice,-1507.28
d00283,choice,-1172.33
d00284,choice,-1172.33
d00285,choice,-1088.59
d00286,choice,-439.622
d00287,choice,-1004.85
d00288,choice,-2637.73
d00289,choice,-1507.28
d00290,choice,-1507.28
d00291,choice,-1172.33
d00292,choice,-1172.33
d00293,choice,-1088.59
d00294,choice,-439.622
d00295,choice,-1004.85
d00296,choice,-2637.73
d00297,choice,-1507.28
d00298,choice,-1507.28
d00299,choice,-1172.33
d00300,choice,-1172.33
d00301,choice,-1088.59
d00302,choice,-439.622
d00303,choice,-1004.85
d00304,choice,-2637.73
d00305,choice,-1507.28
d00306,choice,-1507.28
d00307,choice,-1172.33
d00308,choice,-1172.33
d00309,choice,-1088.59
d00310,choice,-439.622
d00311,choice,-1004.85
d00312,choice,-2478.63
d00313,choice,-1335.61
d00314,choice,-1335.61
d00315,choice,-768.292
d00316,choice,-768.292
d00317,choice,-619.658
d00318,choice,-381.006
d00319,choice,-745.264
d00320,choice,-699.209
d00321,choice,-318.203
d00322,choice,-318.203
d00323,choice,-219.811
d00324,choice,-219.811
d00325,choice,-355.885
d00326,choice,-288.895
d00327,choice,-389.38
d00328,choice,-293.082
d00329,choice,-171.662
d00330,choice,-171.662
d00331,choice,-194.69
d00332,choice,-194.69
d00333,choice,-381.006
d00334,choice,-276.334
d00335,choice,-242.839
d00336,choice,-2948.93
d00337,choice,-1685.11
d00338,choice,-1685.11
d00339,choice,-1310.64
d00340,choice,-1310.64
d00341,choice,-1217.02
d00342,choice,-491.489
d00343,choice,-1123.4
d00344,choice,-2948.93
d00345,choice,-1685.11
d00346,choice,-1685.11
d00347,choice,-1310.64
d00348,choice,-1310.64
d00349,choice,-1217.02
d00350,choice,-491.489
d00351,choice,-1123.4
d00352,choice,-2948.93
d00353,choice,-1685.11
d00354,choice,-1685.11
d00355,choice,-1310.64
d00356,choice,-1310.64
d00357,choice,-1217.02
d00358,choice,-491.489
d00359,choice,-1123.4
d00360,choice,-2948.93
d00361,choice,-1685.11
d00362,choice,-1685.11
d00363,choice,-1310.64
d00364,choice,-1310.64
d00365,choice,-1217.02
d00366,choice,-491.489
d00367,choice,-1123.4
d00368,choice,-2771.06
d00369,choice,-1493.19
d00370,choice,-1493.19
d00371,choice,-858.936
d00372,choice,-858.936
d00373,choice,-692.766
d00374,choice,-425.957
d00375,choice,-833.191
d00376,choice,-781.702
d00377,choice,-355.744
d00378,choice,-355.744
d00379,choice,-245.745
d00380,choice,-245.745
d00381,choice,-397.872
d00382,choice,-322.979
d00383,choice,-435.319
d00384,choice,-327.659
d00385,choice,-191.915
d00386,choice,-191.915
d00387,choice,-217.659
d00388,choice,-217.659
d00389,choice,-425.957
d00390,choice,-308.936
d00391,choice,-271.489
d00392,choice,-2948.93
d00393,choice,-1685.11
d00394,choice,-1685.11
d00395,choice,-1310.64
d00396,choice,-1310.64
d00397,choice,-1217.02
d00398,choice,-491.489
d00399,choice,-1123.4
d00400,choice,-2948.93
d00401,choice,-1685.11
d00402,choice,-1685.11
d00403,choice,-1310.64
d00404,choice,-1310.64
d00405,choice,-1217.02
d00406,choice,-491.489
d00407,choice,-1123.4
d00408,choice,-2948.93
d00409,choice,-1685.11
d00410,choice,-1685.11
d00411,choice,-1310.64
d00412,choice,-1310.64
d00413,choice,-1217.02
d00414,choice,-491.489
d00415,choice,-1123.4
d00416,choice,-2948.93
d00417,choice,-1685.11
d00418,choice,-1685.11
d00419,choice,-1310.64
d00420,choice,-1310.64
d00421,choice,-1217.02
d00422,choice,-491.489
d00423,choice,-1123.4
d00424,choice,-2771.06
d00425,choice,-1493.19
d00426,choice,-1493.19
d00427,choice,-858.936
d00428,choice,-858.936
d00429,choice,-692.766
d00430,choice,-425.957
d00431,choice,-833.191
d00432,choice,-781.702
d00433,choice,-355.744
d00434,choice,-355.744
d00435,choice,-245.745
d00436,choice,-245.745
d00437,choice,-397.872
d00438,choice,-322.979
d00439,choice,-435.319
d00440,choice,-327.659
d00441,choice,-191.915
d00442,choice,-191.915
d00443,choice,-217.659
d00444,choice,-217.659
d00445,choice,-425.957
d00446,choice,-308.936
d00447,choice,-271.489
d00448,choice,-2948.93
d00449,choice,-1685.11
d00450,choice,-1685.11
d00451,choice,-1310.64
d00452,choice,-1310.64
d00453,choice,-1217.02
d00454,choice,-491.489
d00455,choice,-1123.4
d00456,choice,-2948.93
d00457,choice,-1685.11
d00458,choice,-1685.11
d00459,choice,-1310.64
d00460,choice,-1310.64
d00461,choice,-1217.02
d00462,choice,-491.489
d00463,choice,-1123.4
d00464,choice,-2948.93
d00465,choice,-1685.11
d00466,choice,-1685.11
d00467,choice,-1310.64
d00468,choice,-1310.64
d00469,choice,-1217.02
d00470,choice,-491.489
d00471,choice,-1123.4
d00472,choice,-2948.93
d00473,choice,-1685.11
d00474,choice,-1685.11
d00475,choice,-1310.64
d00476,choice,-1310.64
d00477,choice,-1217.02
d00478,choice,-491.489
d00479,choice,-1123.4
d00480,choice,-2771.06
d00481,choice,-1493.19
d00482,choice,-1493.19
d00483,choice,-858.936
d00484,choice,-858.936
d00485,choice,-692.766
d00486,choice,-425.957
d00487,choice,-833.191
d00488,choice,-781.702
d00489,choice,-355.744
d00490,choice,-355.744
d00491,choice,-245.745
d00492,choice,-245.745
d00493,choice,-397.872
d00494,choice,-322.979
d00495,choice,-435.319
d00496,choice,-327.659
d00497,choice,-191.915
d00498,choice,-191.915
d00499,choice,-217.659
d00500,choice,-217.659
d00501,choice,-425.957
d00502,choice,-308.936
d00503,choice,-271.489
d00504,choice,-1852.84
d00505,choice,-1058.77
d00506,choice,-1058.77
d00507,choice,-823.486
d00508,choice,-823.486
d00509,choice,-764.665
d00510,choice,-308.807
d00511,choice,-705.845
d00512,choice,-1852.84
d00513,choice,-1058.77
d00514,choice,-1058.77
d00515,choice,-823.486
d00516,choice,-823.486
d00517,choice,-764.665
d00518,choice,-308.807
d00519,choice,-705.845
d00520,choice,-1852.84
d00521,choice,-1058.77
d00522,choice,-1058.77
d00523,choice,-823.486
d00524,choice,-823.486
d00525,choice,-764.665
d00526,choice,-308.807
d00527,choice,-705.845
d00528,choice,-1852.84
d00529,choice,-1058.77
d00530,choice,-1058.77
d00531,choice,-823.486
d00532,choice,-823.486
d00533,choice,-764.665
d00534,choice,-308.807
d00535,choice,-705.845
d00536,choice,-1741.08
d00537,choice,-938.186
d00538,choice,-938.186
d00539,choice,-539.677
d00540,choice,-539.677
d00541,choice,-435.271
d00542,choice,-267.633
d00543,choice,-523.502
d00544,choice,-491.15
d00545,choice,-223.518
d00546,choice,-223.518
d00547,choice,-154.404
d00548,choice,-154.404
d00549,choice,-249.987
d00550,choice,-202.93
d00551,choice,-273.515
d00552,choice,-205.871
d00553,choice,-120.582
d00554,choice,-120.582
d00555,choice,-136.757
d00556,choice,-136.757
d00557,choice,-267.633
d00558,choice,-194.107
d00559,choice,-170.579
d00560,choice,-1852.84
d00561,choice,-1058.77
