node_id,flow_balance
n001,0.0
n002,0.0
n003,0.0
n004,0.0
n005,0.0
n006,0.0
n007,0.0
n008,0.0
n009,0.0
n010,0.0
n011,0.0
n012,0.0
n013,-4.0
n014,0.0
n015,0.0
n016,0.0
n017,0.0
n018,0.0
n019,0.0
n020,0.0
n021,0.0
n022,0.0
n023,0.0
n024,0.0
n025,0.0
n026,0.0
n027,0.0
n028,0.0
n029,0.0
n030,0.0
n031,0.0
n032,0.0
n033,0.0
n034,0.0
n035,0.0
n036,0.0
n037,0.0
n038,0.0
n039,0.0
n040,0.0
n041,0.0
n042,0.0
n043,0.0
n044,0.0
n045,0.0
n046,0.0
n047,0.0
n048,0.0
n049,0.0
n050,0.0
n051,0.0
n052,0.0
n053,0.0
n054,0.0
n055,0.0
n056,0.0
n057,0.0
n058,0.0
n059,0.0
n060,0.0
n061,0.0
n062,0.0
n063,0.0
n064,0.0
n065,0.0
n066,0.0
n067,0.0
n068,0.0
n069,0.0
n070,0.0
n071,0.0
n072,0.0
n073,0.0
n074,0.0
n075,0.0
n076,0.0
n077,0.0
n078,0.0
n079,0.0
n080,0.0
n081,0.0
n082,0.0
n083,0.0
n084,0.0
n085,0.0
n086,0.0
n087,0.0
n088,0.0
n089,0.0
n090,0.0
n091,0.0
n092,0.0
n093,0.0
n094,0.0
n095,0.0
n096,0.0
n097,0.0
n098,0.0
n099,0.0
n100,0.0
n101,0.0
n102,0.0
n103,0.0
n104,0.0
n105,0.0
n106,0.0
n107,0.0
n108,0.0
n109,0.0
n110,0.0
n111,0.0
n112,0.0
n113,0.0
n114,0.0
n115,0.0
n116,0.0
n117,0.0
n118,0.0
n119,0.0
n120,0.0
n121,0.0
n122,0.0
n123,0.0
n124,0.0
n125,0.0
n126,0.0
n127,0.0
n128,1.0
n129,0.0
n130,0.0
n131,0.0
n132,0.0
n133,0.0
n134,0.0
n135,0.0
n136,0.0
n137,0.0
n138,0.0
n139,0.0
n140,0.0
n141,0.0
n142,0.0
n143,0.0
n144,0.0
n145,0.0
n146,0.0
n147,0.0
n148,0.0
n149,0.0
n150,0.0
n151,0.0
n152,0.0
n153,0.0
n154,0.0
n155,0.0
n156,0.0
n157,0.0
n158,0.0
n159,0.0
n160,0.0
n161,0.0
n162,0.0
n163,0.0
n164,1.0
n165,0.0
n166,0.0
n167,0.0
n168,0.0
n169,0.0
n170,0.0
n171,0.0
n172,0.0
n173,0.0
n174,0.0
n175,0.0
n176,0.0
n177,0.0
n178,0.0
n179,0.0
n180,0.0
n181,0.0
n182,0.0
n183,0.0
n184,0.0
n185,0.0
n186,0.0
n187,0.0
n188,0.0
n189,0.0
n190,0.0
n191,0.0
n192,0.0
n193,0.0
n194,0.0
n195,0.0
n196,0.0
n197,0.0
n198,0.0
n199,0.0
n200,0.0
n201,0.0
n202,0.0
n203,0.0
n204,0.0
n205,0.0
n206,0.0
n207,0.0
n208,0.0
n209,0.0
n210,0.0
n211,0.0
n212,0.0
n213,0.0
n214,0.0
n215,0.0
n216,0.0
n217,0.0
n218,0.0
n219,0.0
n220,0.0
n221,0.0
n222,0.0
n223,0.0
n224,0.0
n225,0.0
n226,0.0
n227,0.0
n228,0.0
n229,0.0
n230,0.0
n231,0.0
n232,0.0
n233,0.0
n234,0.0
n235,0.0
n236,0.0
n237,0.0
n238,0.0
n239,0.0
n240,0.0
n241,0.0
n242,0.0
n243,1.0
n244,0.0
n245,0.0
n246,0.0
n247,0.0
n248,0.0
n249,0.0
n250,0.0
n251,0.0
n252,0.0
n253,0.0
n254,0.0
n255,0.0
n256,0.0
n257,0.0
n258,0.0
n259,0.0
n260,0.0
n261,0.0
n262,0.0
n263,0.0
n264,0.0
n265,0.0
n266,0.0
n267,0.0
n268,0.0
n269,0.0
n270,0.0
n271,0.0
n272,0.0
n273,0.0
n274,0.0
n275,0.0
n276,0.0
n277,0.0
n278,0.0
n279,0.0
n280,0.0
n281,0.0
n282,0.0
n283,0.0
n284,0.0
n285,0.0
n286,0.0
n287,0.0
n288,0.0
n289,0.0
n290,0.0
n291,0.0
n292,0.0
n293,0.0
n294,0.0
n295,0.0
n296,0.0
n297,0.0
n298,0.0
n299,0.0
n300,0.0
n301,0.0
n302,0.0
n303,0.0
n304,0.0
n305,0.0
n306,0.0
n307,0.0
n308,0.0
n309,0.0
n310,0.0
n311,0.0
n312,0.0
n313,0.0
n314,0.0
n315,0.0
n316,0.0
n317,0.0
n318,0.0
n319,0.0
n320,0.0
n321,0.0
n322,0.0
n323,0.0
n324,0.0
n325,0.0
n326,0.0
n327,0.0
n328,0.0
n329,0.0
