arc_id,start_node,end_node
a0001,n498,n255
a0002,n255,n498
a0003,n264,n498
a0004,n498,n264
a0005,n381,n498
a0006,n498,n381
a0007,n264,n193
a0008,n193,n264
a0009,n278,n255
a0010,n255,n278
a0011,n264,n271
a0012,n271,n264
a0013,n465,n271
a0014,n271,n465
a0015,n278,n281
a0016,n281,n278
a0017,n465,n305
a0018,n305,n465
a0019,n281,n354
a0020,n354,n281
a0021,n465,n496
a0022,n496,n465
a0023,n498,n034
a0024,n034,n498
a0025,n465,n466
a0026,n466,n465
a0027,n465,n131
a0028,n131,n465
a0029,n272,n381
a0030,n381,n272
a0031,n272,n418
a0032,n418,n272
a0033,n280,n271
a0034,n271,n280
a0035,n305,n492
a0036,n492,n305
a0037,n278,n340
a0038,n340,n278
a0039,n466,n212
a0040,n212,n466
a0041,n496,n238
a0042,n238,n496
a0043,n145,n281
a0044,n281,n145
a0045,n146,n340
a0046,n340,n146
a0047,n418,n141
a0048,n141,n418
a0049,n348,n466
a0050,n466,n348
a0051,n348,n306
a0052,n306,n348
a0053,n425,n271
a0054,n271,n425
a0055,n156,n425
a0056,n425,n156
a0057,n272,n273
a0058,n273,n272
a0059,n366,n492
a0060,n492,n366
a0061,n212,n222
a0062,n222,n212
a0063,n090,n496
a0064,n496,n090
a0065,n232,n465
a0066,n465,n232
a0067,n091,n232
a0068,n232,n091
a0069,n091,n163
a0070,n163,n091
a0071,n224,n255
a0072,n255,n224
a0073,n498,n491
a0074,n491,n498
a0075,n110,n305
a0076,n305,n110
a0077,n416,n418
a0078,n418,n416
a0079,n403,n418
a0080,n418,n403
a0081,n023,n498
a0082,n498,n023
a0083,n387,n222
a0084,n222,n387
a0085,n306,n108
a0086,n108,n306
a0087,n201,n496
a0088,n496,n201
a0089,n306,n376
a0090,n376,n306
a0091,n489,n491
a0092,n491,n489
a0093,n249,n496
a0094,n496,n249
a0095,n272,n134
a0096,n134,n272
a0097,n212,n117
a0098,n117,n212
a0099,n381,n181
a0100,n181,n381
a0101,n232,n124
a0102,n124,n232
a0103,n255,n482
a0104,n482,n255
a0105,n203,n117
a0106,n117,n203
a0107,n137,n201
a0108,n201,n137
a0109,n366,n447
a0110,n447,n366
a0111,n387,n164
a0112,n164,n387
a0113,n110,n473
a0114,n473,n110
a0115,n355,n238
a0116,n238,n355
a0117,n003,n348
a0118,n348,n003
a0119,n013,n141
a0120,n141,n013
a0121,n048,n473
a0122,n473,n048
a0123,n239,n181
a0124,n181,n239
a0125,n379,n239
a0126,n239,n379
a0127,n416,n234
a0128,n234,n416
a0129,n466,n086
a0130,n086,n466
a0131,n131,n053
a0132,n053,n131
a0133,n426,n273
a0134,n273,n426
a0135,n262,n447
a0136,n447,n262
a0137,n006,n156
a0138,n156,n006
a0139,n023,n012
a0140,n012,n023
a0141,n272,n423
a0142,n423,n272
a0143,n222,n350
a0144,n350,n222
a0145,n376,n478
a0146,n478,n376
a0147,n388,n203
a0148,n203,n388
a0149,n478,n043
a0150,n043,n478
a0151,n156,n133
a0152,n133,n156
a0153,n476,n133
a0154,n133,n476
a0155,n496,n087
a0156,n087,n496
a0157,n393,n491
a0158,n491,n393
a0159,n019,n091
a0160,n091,n019
a0161,n381,n325
a0162,n325,n381
a0163,n492,n171
a0164,n171,n492
a0165,n497,n091
a0166,n091,n497
a0167,n423,n469
a0168,n469,n423
a0169,n238,n499
a0170,n499,n238
a0171,n281,n132
a0172,n132,n281
a0173,n471,n234
a0174,n234,n471
a0175,n376,n129
a0176,n129,n376
