arc_id,x_var,y_var,fixed_cost
a0001,x...0001,y...0001,7.155
a0002,x...0002,y...0002,7.155
a0003,x...0003,y...0003,7.155
a0004,x...0004,y...0004,7.155
a0005,x...0005,y...0005,7.155
a0006,x...0006,y...0006,7.155
a0007,x...0007,y...0007,7.155
a0008,x...0008,y...0008,7.155
a0009,x...0009,y...0009,7.155
a0010,x...0010,y...0010,7.155
a0011,x...0011,y...0011,6.255
a0012,x...0012,y...0012,6.255
a0013,x...0013,y...0013,6.255
a0014,x...0014,y...0014,6.255
a0015,x...0015,y...0015,6.255
a0016,x...0016,y...0016,5.0
a0017,x...0017,y...0017,5.0
a0018,x...0018,y...0018,5.0
a0019,x...0019,y...0019,5.0
a0020,x...0020,y...0020,5.0
a0021,x...0021,y...0021,5.0
a0022,x...0022,y...0022,5.0
a0023,x...0023,y...0023,5.0
a0024,x...0024,y...0024,5.0
a0025,x...0025,y...0025,5.0
a0026,x...0026,y...0026,5.0
a0027,x...0027,y...0027,5.0
a0028,x...0028,y...0028,5.0
a0029,x...0029,y...0029,5.0
a0030,x...0030,y...0030,5.0
a0031,x...0031,y...0031,5.0
a0032,x...0032,y...0032,5.0
a0033,x...0033,y...0033,5.0
a0034,x...0034,y...0034,5.0
a0035,x...0035,y...0035,5.0
a0036,x...0036,y...0036,5.0
a0037,x...0037,y...0037,5.0
a0038,x...0038,y...0038,5.0
a0039,x...0039,y...0039,5.0
a0040,x...0040,y...0040,5.0
a0041,x...0041,y...0041,5.0
a0042,x...0042,y...0042,5.0
a0043,x...0043,y...0043,5.0
a0044,x...0044,y...0044,5.0
a0045,x...0045,y...0045,5.0
a0046,x...0046,y...0046,5.0
a0047,x...0047,y...0047,5.0
a0048,x...0048,y...0048,5.0
a0049,x...0049,y...0049,5.0
a0050,x...0050,y...0050,5.0
a0051,x...0051,y...0051,5.0
a0052,x...0052,y...0052,5.0
a0053,x...0053,y...0053,5.0
a0054,x...0054,y...0054,5.0
a0055,x...0055,y...0055,5.0
a0056,x...0056,y...0056,5.0
a0057,x...0057,y...0057,5.0
a0058,x...0058,y...0058,5.0
a0059,x...0059,y...0059,5.0
a0060,x...0060,y...0060,5.0
a0061,x...0061,y...0061,5.0
a0062,x...0062,y...0062,5.0
a0063,x...0063,y...0063,5.0
a0064,x...0064,y...0064,5.0
a0065,x...0065,y...0065,5.0
a0066,x...0066,y...0066,5.0
a0067,x...0067,y...0067,5.0
a0068,x...0068,y...0068,5.0
a0069,x...0069,y...0069,5.0
a0070,x...0070,y...0070,5.0
a0071,x...0071,y...0071,5.0
a0072,x...0072,y...0072,5.0
a0073,x...0073,y...0073,5.0
a0074,x...0074,y...0074,5.0
a0075,x...0075,y...0075,5.0
a0076,x...0076,y...0076,5.0
a0077,x...0077,y...0077,5.0
a0078,x...0078,y...0078,5.0
a0079,x...0079,y...0079,5.0
a0080,x...0080,y...0080,5.0
a0081,x...0081,y...0081,5.0
a0082,x...0082,y...0082,5.0
a0083,x...0083,y...0083,5.0
a0084,x...0084,y...0084,5.0
a0085,x...0085,y...0085,5.0
a0086,x...0086,y...0086,5.0
a0087,x...0087,y...0087,5.0
a0088,x...0088,y...0088,5.0
a0089,x...0089,y...0089,5.0
a0090,x...0090,y...0090,5.0
a0091,x...0091,y...0091,5.0
a0092,x...0092,y...0092,5.0
a0093,x...0093,y...0093,5.0
a0094,x...0094,y...0094,5.0
a0095,x...0095,y...0095,5.0
a0096,x...0096,y...0096,5.0
a0097,x...0097,y...0097,5.0
a0098,x...0098,y...0098,5.0
a0099,x...0099,y...0099,5.0
a0100,x...0100,y...0100,5.0
a0101,x...0101,y...0101,5.0
a0102,x...0102,y...0102,5.0
a0103,x...0103,y...0103,5.0
a0104,x...0104,y...0104,5.0
a0105,x...0105,y...0105,5.0
a0106,x...0106,y...0106,5.0
a0107,x...0107,y...0107,5.0
a0108,x...0108,y...0108,5.0
a0109,x...0109,y...0109,5.0
