commodity_id,arc_id,capacity_multiplier
a,a_b,74
a,a_c,74
a,a_d,74
a,a_e,74
a,a_f,74
a,a_g,74
a,a_h,74
a,b_c,64
a,b_d,64
a,b_e,64
a,b_f,64
a,b_g,64
a,b_h,64
a,c_b,67
a,c_d,67
a,c_e,67
a,c_f,67
a,c_g,67
a,c_h,67
a,d_b,61
a,d_c,61
a,d_e,61
a,d_f,61
a,d_g,61
a,d_h,61
a,e_b,62
a,e_c,62
a,e_d,62
a,e_f,62
a,e_g,62
a,e_h,62
a,f_b,61
a,f_c,61
a,f_d,61
a,f_e,61
a,f_g,61
a,f_h,61
a,g_b,68
a,g_c,68
a,g_d,68
a,g_e,68
a,g_f,68
a,g_h,68
a,h_b,61
a,h_c,61
a,h_d,61
a,h_e,61
a,h_f,61
a,h_g,61
b,a_c,67
b,a_d,67
b,a_e,67
b,a_f,67
b,a_g,67
b,a_h,67
b,b_a,81
b,b_c,81
b,b_d,81
b,b_e,81
b,b_f,81
b,b_g,81
b,b_h,81
b,c_a,66
b,c_d,66
b,c_e,66
b,c_f,66
b,c_g,66
b,c_h,66
b,d_a,68
b,d_c,68
b,d_e,68
b,d_f,68
b,d_g,68
b,d_h,68
b,e_a,69
b,e_c,69
b,e_d,69
b,e_f,69
b,e_g,69
b,e_h,69
b,f_a,72
b,f_c,72
b,f_d,72
b,f_e,72
b,f_g,72
b,f_h,72
b,g_a,72
b,g_c,72
b,g_d,72
b,g_e,72
b,g_f,72
b,g_h,72
b,h_a,72
b,h_c,72
b,h_d,72
b,h_e,72
b,h_f,72
b,h_g,72
c,a_b,50
c,a_d,50
c,a_e,50
c,a_f,50
c,a_g,50
c,a_h,50
c,b_a,54
c,b_d,54
c,b_e,54
c,b_f,54
c,b_g,54
c,b_h,54
c,c_a,63
c,c_b,63
c,c_d,63
c,c_e,63
c,c_f,63
c,c_g,63
c,c_h,63
c,d_a,52
c,d_b,52
c,d_e,52
c,d_f,52
c,d_g,52
c,d_h,52
c,e_a,57
c,e_b,57
c,e_d,57
c,e_f,57
c,e_g,57
c,e_h,57
c,f_a,58
c,f_b,58
c,f_d,58
c,f_e,58
c,f_g,58
c,f_h,58
c,g_a,52
c,g_b,52
c,g_d,52
c,g_e,52
c,g_f,52
c,g_h,52
c,h_a,55
c,h_b,55
c,h_d,55
c,h_e,55
c,h_f,55
c,h_g,55
d,a_b,56
d,a_c,56
d,a_e,56
d,a_f,56
d,a_g,56
d,a_h,56
d,b_a,55
d,b_c,55
d,b_e,55
d,b_f,55
d,b_g,55
d,b_h,55
d,c_a,48
d,c_b,48
d,c_e,48
d,c_f,48
d,c_g,48
d,c_h,48
d,d_a,63
d,d_b,63
d,d_c,63
d,d_e,63
d,d_f,63
d,d_g,63
d,d_h,63
d,e_a,56
d,e_b,56
d,e_c,56
d,e_f,56
d,e_g,56
d,e_h,56
d,f_a,57
d,f_b,57
d,f_c,57
d,f_e,57
d,f_g,57
d,f_h,57
d,g_a,52
d,g_b,52
d,g_c,52
d,g_e,52
d,g_f,52
d,g_h,52
d,h_a,54
d,h_b,54
d,h_c,54
d,h_e,54
d,h_f,54
d,h_g,54
e,a_b,67
e,a_c,67
e,a_d,67
e,a_f,67
e,a_g,67
e,a_h,67
e,b_a,63
e,b_c,63
e,b_d,63
e,b_f,63
e,b_g,63
e,b_h,63
e,c_a,63
e,c_b,63
e,c_d,63
e,c_f,63
e,c_g,63
e,c_h,63
e,d_a,66
e,d_b,66
e,d_c,66
e,d_f,66
e,d_g,66
e,d_h,66
e,e_a,75
e,e_b,75
e,e_c,75
e,e_d,75
e,e_f,75
e,e_g,75
e,e_h,75
e,f_a,66
e,f_b,66
e,f_c,66
e,f_d,66
e,f_g,66
e,f_h,66
e,g_a,61
e,g_b,61
e,g_c,61
e,g_d,61
e,g_f,61
e,g_h,61
e,h_a,64
e,h_b,64
e,h_c,64
e,h_d,64
e,h_f,64
e,h_g,64
f,a_b,65
f,a_c,65
f,a_d,65
f,a_e,65
f,a_g,65
f,a_h,65
f,b_a,59
f,b_c,59
f,b_d,59
f,b_e,59
f,b_g,59
f,b_h,59
f,c_a,59
f,c_b,59
f,c_d,59
f,c_e,59
f,c_g,59
f,c_h,59
f,d_a,63
f,d_b,63
f,d_c,63
f,d_e,63
f,d_g,63
f,d_h,63
f,e_a,61
f,e_b,61
f,e_c,61
f,e_d,61
f,e_g,61
f,e_h,61
f,f_a,70
f,f_b,70
f,f_c,70
f,f_d,70
f,f_e,70
f,f_g,70
f,f_h,70
f,g_a,55
f,g_b,55
f,g_c,55
f,g_d,55
f,g_e,55
f,g_h,55
f,h_a,58
f,h_b,58
f,h_c,58
f,h_d,58
f,h_e,58
f,h_g,58
g,a_b,59
g,a_c,59
g,a_d,59
g,a_e,59
g,a_f,59
g,a_h,59
g,b_a,56
g,b_c,56
g,b_d,56
g,b_e,56
g,b_f,56
g,b_h,56
g,c_a,58
g,c_b,58
g,c_d,58
g,c_e,58
g,c_f,58
g,c_h,58
g,d_a,51
g,d_b,51
g,d_c,51
g,d_e,51
g,d_f,51
g,d_h,51
g,e_a,55
g,e_b,55
g,e_c,55
g,e_d,55
g,e_f,55
g,e_h,55
g,f_a,53
g,f_b,53
g,f_c,53
g,f_d,53
g,f_e,53
g,f_h,53
g,g_a,65
g,g_b,65
g,g_c,65
g,g_d,65
g,g_e,65
g,g_f,65
g,g_h,65
g,h_a,58
g,h_b,58
g,h_c,58
g,h_d,58
g,h_e,58
g,h_f,58
h,a_b,50
h,a_c,50
h,a_d,50
h,a_e,50
h,a_f,50
h,a_g,50
h,b_a,54
h,b_c,54
h,b_d,54
h,b_e,54
h,b_f,54
h,b_g,54
h,c_a,53
h,c_b,53
h,c_d,53
h,c_e,53
h,c_f,53
h,c_g,53
h,d_a,55
h,d_b,55
h,d_c,55
h,d_e,55
h,d_f,55
h,d_g,55
h,e_a,51
h,e_b,51
h,e_c,51
h,e_d,51
h,e_f,51
h,e_g,51
h,f_a,56
h,f_b,56
h,f_c,56
h,f_d,56
h,f_e,56
h,f_g,56
h,g_a,47
h,g_b,47
h,g_c,47
h,g_d,47
h,g_e,47
h,g_f,47
h,h_a,61
h,h_b,61
h,h_c,61
h,h_d,61
h,h_e,61
h,h_f,61
h,h_g,61
