arc_id,from_node,to_node,x_decision_type,x_lb,x_ub
a_b,a,b,integer,0.0,1.0
a_c,a,c,integer,0.0,1.0
a_d,a,d,integer,0.0,1.0
a_e,a,e,integer,0.0,1.0
a_f,a,f,integer,0.0,1.0
a_g,a,g,integer,0.0,1.0
a_h,a,h,integer,0.0,1.0
b_a,b,a,integer,0.0,1.0
b_c,b,c,integer,0.0,1.0
b_d,b,d,integer,0.0,1.0
b_e,b,e,integer,0.0,1.0
b_f,b,f,integer,0.0,1.0
b_g,b,g,integer,0.0,1.0
b_h,b,h,integer,0.0,1.0
c_a,c,a,integer,0.0,1.0
c_b,c,b,integer,0.0,1.0
c_d,c,d,integer,0.0,1.0
c_e,c,e,integer,0.0,1.0
c_f,c,f,integer,0.0,1.0
c_g,c,g,integer,0.0,1.0
c_h,c,h,integer,0.0,1.0
d_a,d,a,integer,0.0,1.0
d_b,d,b,integer,0.0,1.0
d_c,d,c,integer,0.0,1.0
d_e,d,e,integer,0.0,1.0
d_f,d,f,integer,0.0,1.0
d_g,d,g,integer,0.0,1.0
d_h,d,h,integer,0.0,1.0
e_a,e,a,integer,0.0,1.0
e_b,e,b,integer,0.0,1.0
e_c,e,c,integer,0.0,1.0
e_d,e,d,integer,0.0,1.0
e_f,e,f,integer,0.0,1.0
e_g,e,g,integer,0.0,1.0
e_h,e,h,integer,0.0,1.0
f_a,f,a,continuous,0.0,1.0
f_b,f,b,continuous,0.0,1.0
f_c,f,c,continuous,0.0,1.0
f_d,f,d,continuous,0.0,1.0
f_e,f,e,continuous,0.0,1.0
f_g,f,g,continuous,0.0,1.0
f_h,f,h,continuous,0.0,1.0
g_a,g,a,continuous,0.0,1.0
g_b,g,b,continuous,0.0,1.0
g_c,g,c,continuous,0.0,1.0
g_d,g,d,continuous,0.0,1.0
g_e,g,e,continuous,0.0,1.0
g_f,g,f,continuous,0.0,1.0
g_h,g,h,continuous,0.0,1.0
h_a,h,a,continuous,0.0,1.0
h_b,h,b,continuous,0.0,1.0
h_c,h,c,continuous,0.0,1.0
h_d,h,d,continuous,0.0,1.0
h_e,h,e,continuous,0.0,1.0
h_f,h,f,continuous,0.0,1.0
h_g,h,g,continuous,0.0,1.0
