Combination 0,(0 0),(1 0),(2 0),(3 0),(4 0),(5 0),(6 0),(7 0),(8 0),(9 0),(10 0),(11 0),(12 0),(13 0),(14 0),(15 0),(16 0),(17 0),(18 0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combination 1,(0 0),(0 1),(1 0),(1 1),(2 0),(2 1),(3 0),(3 1),(4 0),(4 1),(5 0),(5 1),(6 0),(6 1),(7 0),(7 1),(8 0),(8 1),(9 0),(9 1),(10 0),(10 1),(11 0),(11 1),(12 0),(12 1),(13 0),(13 1),(14 0),(14 1),(15 0),(15 1),(16 0),(16 1),(17 0),(17 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combination 2,(0 0),(0 1),(0 4),(1 0),(1 1),(1 4),(2 0),(2 1),(2 4),(3 0),(3 1),(3 4),(4 0),(4 1),(4 4),(5 0),(5 1),(5 4),(6 0),(6 1),(6 4),(7 0),(7 1),(7 4),(8 0),(8 1),(8 4),(9 0),(9 1),(9 4),(10 0),(10 1),(10 4),(11 0),(11 1),(11 4),(12 0),(12 1),(12 4),(13 0),(13 1),(13 4),(14 0),(14 1),(14 4),(15 0),(15 1),(15 4),(16 0),(16 1),(16 4),(17 1),(18 4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combination 3,(0 0),(0 1),(0 4),(0 5),(1 0),(1 1),(1 4),(1 5),(2 0),(2 1),(2 4),(2 5),(3 0),(3 1),(3 4),(3 5),(4 0),(4 1),(4 4),(4 5),(5 0),(5 1),(5 4),(5 5),(6 0),(6 1),(6 4),(6 5),(7 0),(7 1),(7 4),(7 5),(8 0),(8 1),(8 4),(8 5),(9 0),(9 1),(9 4),(9 5),(10 0),(10 1),(10 4),(10 5),(11 0),(11 1),(11 4),(11 5),(12 0),(12 1),(12 4),(12 5),(13 0),(13 1),(13 4),(13 5),(14 0),(14 1),(14 4),(14 5),(15 0),(15 1),(15 4),(15 5),(16 0),(16 1),(16 4),(16 5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combination 4,(0 0),(0 1),(0 4),(0 5),(0 7),(1 0),(1 1),(1 4),(1 5),(1 7),(2 0),(2 1),(2 4),(2 5),(2 7),(3 0),(3 1),(3 4),(3 5),(3 7),(4 0),(4 1),(4 4),(4 5),(4 7),(5 0),(5 1),(5 4),(5 5),(5 7),(6 0),(6 1),(6 4),(6 5),(6 7),(7 0),(7 1),(7 4),(7 5),(7 7),(8 0),(8 1),(8 4),(8 5),(8 7),(9 0),(9 1),(9 4),(9 5),(9 7),(10 0),(10 1),(10 4),(10 5),(10 7),(11 0),(11 1),(11 4),(11 5),(11 7),(12 0),(12 1),(12 4),(12 5),(12 7),(13 0),(13 1),(13 4),(13 5),(13 7),(14 0),(14 1),(14 4),(14 5),(14 7),(15 1),(15 4),(15 5),(15 7),(16 1),(16 4),(16 5),(16 7),(17 7),(18 7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combination 5,(0 0),(0 1),(0 4),(0 5),(0 7),(0 8),(1 0),(1 1),(1 4),(1 5),(1 7),(1 8),(2 0),(2 1),(2 4),(2 5),(2 7),(2 8),(3 0),(3 1),(3 4),(3 5),(3 7),(3 8),(4 0),(4 1),(4 4),(4 5),(4 7),(4 8),(5 0),(5 1),(5 4),(5 5),(5 7),(5 8),(6 0),(6 1),(6 4),(6 5),(6 7),(6 8),(7 0),(7 1),(7 4),(7 5),(7 7),(7 8),(8 0),(8 1),(8 4),(8 5),(8 7),(8 8),(9 0),(9 1),(9 4),(9 5),(9 7),(9 8),(10 0),(10 1),(10 4),(10 5),(10 7),(10 8),(11 0),(11 1),(11 4),(11 5),(11 7),(11 8),(12 0),(12 1),(12 4),(12 5),(12 7),(12 8),(13 0),(13 1),(13 4),(13 5),(13 7),(13 8),(14 0),(14 1),(14 4),(14 5),(14 7),(14 8),(15 4),(15 5),(15 7),(15 8),(16 4),(16 5),(16 7),(16 8),(17 7),(17 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combination 6,(0 0),(0 1),(0 4),(0 5),(0 7),(0 8),(0 11),(1 0),(1 1),(1 4),(1 5),(1 7),(1 8),(1 11),(2 0),(2 1),(2 4),(2 5),(2 7),(2 8),(2 11),(3 0),(3 1),(3 4),(3 5),(3 7),(3 8),(3 11),(4 0),(4 1),(4 4),(4 5),(4 7),(4 8),(4 11),(5 0),(5 1),(5 4),(5 5),(5 7),(5 8),(5 11),(6 0),(6 1),(6 4),(6 5),(6 7),(6 8),(6 11),(7 0),(7 1),(7 4),(7 5),(7 7),(7 8),(7 11),(8 0),(8 1),(8 4),(8 5),(8 7),(8 8),(8 11),(9 0),(9 1),(9 4),(9 5),(9 7),(9 8),(9 11),(10 0),(10 1),(10 4),(10 5),(10 7),(10 8),(10 11),(11 0),(11 1),(11 4),(11 5),(11 7),(11 8),(11 11),(12 0),(12 1),(12 4),(12 5),(12 7),(12 8),(12 11),(13 0),(13 1),(13 4),(13 5),(13 7),(13 8),(13 11),(14 0),(14 1),(14 4),(14 5),(14 7),(14 8),(14 11),(15 5),(15 7),(15 8),(15 11),(16 5),(16 7),(16 8),(16 11),(17 8),(18 11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combination 7,(0 0),(0 1),(0 4),(0 5),(0 7),(0 8),(0 11),(0 12),(1 0),(1 1),(1 4),(1 5),(1 7),(1 8),(1 11),(1 12),(2 0),(2 1),(2 4),(2 5),(2 7),(2 8),(2 11),(2 12),(3 0),(3 1),(3 4),(3 5),(3 7),(3 8),(3 11),(3 12),(4 0),(4 1),(4 4),(4 5),(4 7),(4 8),(4 11),(4 12),(5 0),(5 1),(5 4),(5 5),(5 7),(5 8),(5 11),(5 12),(6 0),(6 1),(6 4),(6 5),(6 7),(6 8),(6 11),(6 12),(7 0),(7 1),(7 4),(7 5),(7 7),(7 8),(7 11),(7 12),(8 0),(8 1),(8 4),(8 5),(8 7),(8 8),(8 11),(8 12),(9 0),(9 1),(9 4),(9 5),(9 7),(9 8),(9 11),(9 12),(10 0),(10 1),(10 4),(10 5),(10 7),(10 8),(10 11),(10 12),(11 0),(11 1),(11 4),(11 5),(11 7),(11 8),(11 11),(11 12),(12 0),(12 1),(12 4),(12 5),(12 7),(12 8),(12 11),(12 12),(13 0),(13 1),(13 4),(13 5),(13 7),(13 8),(13 11),(13 12),(14 0),(14 1),(14 4),(14 5),(14 7),(14 8),(14 11),(14 12),(15 7),(15 8),(15 11),(15 12),(16 7),(16 8),(16 11),(16 12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combination 8,(0 0),(0 1),(0 4),(0 5),(0 7),(0 8),(0 11),(0 12),(0 14),(1 0),(1 1),(1 4),(1 5),(1 7),(1 8),(1 11),(1 12),(1 14),(2 0),(2 1),(2 4),(2 5),(2 7),(2 8),(2 11),(2 12),(2 14),(3 0),(3 1),(3 4),(3 5),(3 7),(3 8),(3 11),(3 12),(3 14),(4 0),(4 1),(4 4),(4 5),(4 7),(4 8),(4 11),(4 12),(4 14),(5 0),(5 1),(5 4),(5 5),(5 7),(5 8),(5 11),(5 12),(5 14),(6 0),(6 1),(6 4),(6 5),(6 7),(6 8),(6 11),(6 12),(6 14),(7 0),(7 1),(7 4),(7 5),(7 7),(7 8),(7 11),(7 12),(7 14),(8 0),(8 1),(8 4),(8 5),(8 7),(8 8),(8 11),(8 12),(8 14),(9 0),(9 1),(9 4),(9 5),(9 7),(9 8),(9 11),(9 12),(9 14),(10 0),(10 1),(10 4),(10 5),(10 7),(10 8),(10 11),(10 12),(10 14),(11 0),(11 1),(11 4),(11 5),(11 7),(11 8),(11 11),(11 12),(11 14),(12 0),(12 1),(12 4),(12 5),(12 7),(12 8),(12 11),(12 12),(12 14),(13 0),(13 1),(13 4),(13 5),(13 7),(13 8),(13 11),(13 12),(13 14),(14 0),(14 1),(14 4),(14 5),(14 7),(14 8),(14 11),(14 12),(14 14),(15 8),(15 11),(15 12),(16 8),(16 11),(16 12),(17 14),(18 14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combination 9,(0 0),(0 1),(0 4),(0 5),(0 7),(0 8),(0 11),(0 12),(0 14),(0 15),(1 0),(1 1),(1 4),(1 5),(1 7),(1 8),(1 11),(1 12),(1 14),(1 15),(2 0),(2 1),(2 4),(2 5),(2 7),(2 8),(2 11),(2 12),(2 14),(2 15),(3 0),(3 1),(3 4),(3 5),(3 7),(3 8),(3 11),(3 12),(3 14),(3 15),(4 0),(4 1),(4 4),(4 5),(4 7),(4 8),(4 11),(4 12),(4 14),(4 15),(5 0),(5 1),(5 4),(5 5),(5 7),(5 8),(5 11),(5 12),(5 14),(5 15),(6 0),(6 1),(6 4),(6 5),(6 7),(6 8),(6 11),(6 12),(6 14),(6 15),(7 0),(7 1),(7 4),(7 5),(7 7),(7 8),(7 11),(7 12),(7 14),(7 15),(8 0),(8 1),(8 4),(8 5),(8 7),(8 8),(8 11),(8 12),(8 14),(8 15),(9 0),(9 1),(9 4),(9 5),(9 7),(9 8),(9 11),(9 12),(9 14),(9 15),(10 0),(10 1),(10 4),(10 5),(10 7),(10 8),(10 11),(10 12),(10 14),(10 15),(11 0),(11 1),(11 4),(11 5),(11 7),(11 8),(11 11),(11 12),(11 14),(11 15),(12 0),(12 1),(12 4),(12 5),(12 7),(12 8),(12 11),(12 12),(12 14),(12 15),(13 0),(13 1),(13 4),(13 5),(13 7),(13 8),(13 11),(13 12),(13 14),(13 15),(14 0),(14 1),(14 4),(14 5),(14 7),(14 8),(14 11),(14 12),(14 14),(14 15),(15 11),(15 12),(16 11),(16 12),(17 14),(17 15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combination 10,(0 0),(0 1),(0 4),(0 5),(0 7),(0 8),(0 11),(0 12),(0 14),(0 15),(0 18),(1 0),(1 1),(1 4),(1 5),(1 7),(1 8),(1 11),(1 12),(1 14),(1 15),(1 18),(2 0),(2 1),(2 4),(2 5),(2 7),(2 8),(2 11),(2 12),(2 14),(2 15),(2 18),(3 0),(3 1),(3 4),(3 5),(3 7),(3 8),(3 11),(3 12),(3 14),(3 15),(3 18),(4 0),(4 1),(4 4),(4 5),(4 7),(4 8),(4 11),(4 12),(4 14),(4 15),(4 18),(5 0),(5 1),(5 4),(5 5),(5 7),(5 8),(5 11),(5 12),(5 14),(5 15),(5 18),(6 0),(6 1),(6 4),(6 5),(6 7),(6 8),(6 11),(6 12),(6 14),(6 15),(6 18),(7 0),(7 1),(7 4),(7 5),(7 7),(7 8),(7 11),(7 12),(7 14),(7 15),(7 18),(8 0),(8 1),(8 4),(8 5),(8 7),(8 8),(8 11),(8 12),(8 14),(8 15),(8 18),(9 0),(9 1),(9 4),(9 5),(9 7),(9 8),(9 11),(9 12),(9 14),(9 15),(9 18),(10 0),(10 1),(10 4),(10 5),(10 7),(10 8),(10 11),(10 12),(10 14),(10 15),(10 18),(11 0),(11 1),(11 4),(11 5),(11 7),(11 8),(11 11),(11 12),(11 14),(11 15),(11 18),(12 0),(12 1),(12 4),(12 5),(12 7),(12 8),(12 11),(12 12),(12 14),(12 15),(12 18),(13 0),(13 1),(13 4),(13 5),(13 7),(13 8),(13 11),(13 12),(13 14),(13 15),(13 18),(14 1),(14 4),(14 5),(14 7),(14 8),(14 11),(14 12),(14 14),(14 15),(14 18),(15 12),(15 18),(16 12),(16 18),(17 15),(17 18),(18 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
