Main pipe0,(0 0),(1 0),(2 0),(3 0),(4 0),(5 0),(6 0),(7 0),(8 0),(9 0),(10 0),(11 0),(12 0),(13 0),(14 0),(15 0),(16 0),(17 0),(18 0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe1,(0 0),(1 0),(1 11),(2 0),(2 11),(3 0),(3 11),(4 0),(4 11),(5 0),(5 11),(6 0),(6 11),(7 0),(7 11),(8 0),(8 11),(9 0),(9 11),(10 0),(10 11),(11 0),(11 11),(12 0),(12 11),(13 0),(13 11),(14 0),(14 11),(15 0),(15 11),(16 0),(16 11),(17 0),(17 11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe2,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(4 0),(4 11),(4 16),(5 0),(5 11),(5 16),(6 0),(6 11),(6 16),(7 0),(7 11),(7 16),(8 0),(8 11),(8 16),(9 0),(9 11),(9 16),(10 0),(10 11),(10 16),(11 0),(11 11),(11 16),(12 0),(12 11),(12 16),(13 0),(13 11),(13 16),(14 0),(14 11),(14 16),(15 0),(15 11),(15 16),(16 11),(16 16),(17 11),(17 16),(18 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe3,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(7 0),(7 11),(7 16),(7 19),(8 0),(8 11),(8 16),(8 19),(9 0),(9 11),(9 16),(9 19),(10 0),(10 11),(10 16),(10 19),(11 0),(11 11),(11 16),(11 19),(12 0),(12 11),(12 16),(12 19),(13 0),(13 11),(13 16),(13 19),(14 0),(14 11),(14 16),(14 19),(15 11),(15 16),(16 11),(16 16),(16 19),(17 11),(17 16),(17 19),(18 16),(18 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe4,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(8 0),(8 11),(8 16),(8 19),(8 27),(9 0),(9 11),(9 16),(9 19),(9 27),(10 0),(10 11),(10 16),(10 19),(10 27),(11 0),(11 11),(11 16),(11 19),(11 27),(12 0),(12 11),(12 16),(12 19),(12 27),(13 0),(13 11),(13 16),(13 19),(13 27),(14 0),(14 11),(14 16),(14 19),(14 27),(15 11),(15 16),(15 27),(16 16),(16 19),(16 27),(17 16),(17 19),(17 27),(18 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe5,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(9 0),(9 11),(9 16),(9 19),(9 27),(9 30),(10 0),(10 11),(10 16),(10 19),(10 27),(10 30),(11 0),(11 11),(11 16),(11 19),(11 27),(11 30),(12 0),(12 11),(12 16),(12 19),(12 27),(12 30),(13 0),(13 11),(13 16),(13 19),(13 27),(13 30),(14 0),(14 11),(14 16),(14 19),(14 27),(14 30),(15 16),(15 27),(16 16),(16 19),(16 27),(16 30),(17 16),(17 19),(17 27),(17 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe6,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(9 0),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(10 0),(10 11),(10 16),(10 19),(10 27),(10 30),(10 32),(11 0),(11 11),(11 16),(11 19),(11 27),(11 30),(11 32),(12 0),(12 11),(12 16),(12 19),(12 27),(12 30),(12 32),(13 0),(13 11),(13 16),(13 19),(13 27),(13 30),(13 32),(14 0),(14 11),(14 16),(14 19),(14 27),(14 30),(14 32),(15 16),(15 27),(15 32),(16 19),(16 27),(16 30),(17 19),(17 27),(17 30),(18 32),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe7,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 0),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(10 0),(10 11),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(11 0),(11 11),(11 16),(11 19),(11 27),(11 30),(11 32),(11 34),(12 0),(12 11),(12 16),(12 19),(12 27),(12 30),(12 32),(12 34),(13 0),(13 11),(13 16),(13 19),(13 27),(13 30),(13 32),(13 34),(14 11),(14 16),(14 19),(14 27),(14 30),(14 32),(15 16),(15 27),(15 32),(15 34),(16 19),(16 27),(16 30),(16 34),(17 19),(17 27),(17 30),(17 34),(18 32),(18 34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe8,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 0),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(10 0),(10 11),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(11 0),(11 11),(11 16),(11 19),(11 27),(11 30),(11 32),(11 34),(11 35),(12 0),(12 11),(12 16),(12 19),(12 27),(12 30),(12 32),(12 34),(12 35),(13 0),(13 11),(13 16),(13 19),(13 27),(13 30),(13 32),(13 34),(13 35),(14 11),(14 16),(14 19),(14 27),(14 30),(14 32),(14 35),(15 27),(15 32),(15 34),(16 27),(16 30),(16 34),(16 35),(17 27),(17 30),(17 34),(17 35),(18 32),(18 34),(18 35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe9,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 0),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(10 0),(10 11),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(11 0),(11 11),(11 16),(11 19),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(12 0),(12 11),(12 16),(12 19),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(13 11),(13 16),(13 19),(13 27),(13 30),(13 32),(13 34),(13 35),(14 11),(14 16),(14 19),(14 27),(14 30),(14 32),(14 35),(14 36),(15 27),(15 32),(15 34),(15 36),(16 27),(16 30),(16 34),(16 35),(16 36),(17 27),(17 30),(17 34),(17 35),(17 36),(18 32),(18 34),(18 35),(18 36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main pipe10,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 0),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(10 0),(10 11),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(11 0),(11 11),(11 16),(11 19),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(12 11),(12 16),(12 19),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(13 11),(13 16),(13 19),(13 27),(13 30),(13 32),(13 34),(13 35),(13 41),(14 11),(14 16),(14 19),(14 27),(14 30),(14 32),(14 35),(14 36),(14 41),(15 27),(15 32),(15 34),(15 36),(15 41),(16 27),(16 30),(16 34),(16 35),(16 36),(16 41),(17 27),(17 30),(17 34),(17 35),(17 36),(17 41),(18 32),(18 34),(18 35),(18 36),(18 41),,,,,,,,,,,,,,,,,,,,,,
Main pipe11,(0 0),(1 0),(1 11),(2 0),(2 11),(2 16),(3 0),(3 11),(3 16),(3 19),(4 0),(4 11),(4 16),(4 19),(5 0),(5 11),(5 16),(5 19),(6 0),(6 11),(6 16),(6 19),(6 27),(7 0),(7 11),(7 16),(7 19),(7 27),(7 30),(7 32),(8 0),(8 11),(8 16),(8 19),(8 27),(8 30),(8 32),(8 34),(9 0),(9 11),(9 16),(9 19),(9 27),(9 30),(9 32),(9 34),(9 35),(9 36),(9 41),(9 43),(10 0),(10 11),(10 16),(10 19),(10 27),(10 30),(10 32),(10 34),(10 35),(10 36),(10 41),(10 43),(11 0),(11 11),(11 16),(11 19),(11 27),(11 30),(11 32),(11 34),(11 35),(11 36),(11 41),(11 43),(12 11),(12 16),(12 19),(12 27),(12 30),(12 32),(12 34),(12 35),(12 36),(12 43),(13 11),(13 16),(13 19),(13 27),(13 30),(13 32),(13 34),(13 35),(13 41),(13 43),(14 11),(14 16),(14 19),(14 27),(14 30),(14 32),(14 35),(14 36),(14 41),(14 43),(15 27),(15 32),(15 34),(15 36),(15 41),(15 43),(16 30),(16 34),(16 35),(16 36),(16 41),(17 30),(17 34),(17 35),(17 36),(17 41),(18 34),(18 35),(18 36),(18 41),,,,,,,,,,,,,,,,,,
