Section0,(0 0),(1 0),(2 0),(3 0),(4 0),(5 0),(6 0),(7 0),(8 0),(9 0),(10 0),(11 0),(12 0),(13 0),(14 0),(15 0),(16 0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section1,(0 0),(0 7),(1 0),(1 7),(2 0),(2 7),(3 0),(3 7),(4 0),(4 7),(5 0),(5 7),(6 0),(6 7),(7 0),(7 7),(8 0),(8 7),(9 0),(9 7),(10 0),(10 7),(11 0),(11 7),(12 0),(12 7),(13 0),(13 7),(14 0),(14 7),(15 0),(15 7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section2,(0 0),(0 7),(0 18),(1 0),(1 7),(1 18),(2 0),(2 7),(2 18),(3 0),(3 7),(3 18),(4 0),(4 7),(4 18),(5 0),(5 7),(5 18),(6 0),(6 7),(6 18),(7 0),(7 7),(7 18),(8 0),(8 7),(8 18),(9 0),(9 7),(9 18),(10 0),(10 7),(10 18),(11 0),(11 7),(11 18),(12 0),(12 7),(12 18),(13 0),(13 7),(13 18),(14 7),(14 18),(15 7),(15 18),(16 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section3,(0 0),(0 7),(0 18),(0 19),(1 0),(1 7),(1 18),(1 19),(2 0),(2 7),(2 18),(2 19),(3 0),(3 7),(3 18),(3 19),(4 0),(4 7),(4 18),(4 19),(5 0),(5 7),(5 18),(5 19),(6 0),(6 7),(6 18),(6 19),(7 0),(7 7),(7 18),(7 19),(8 0),(8 7),(8 18),(8 19),(9 0),(9 7),(9 18),(9 19),(10 0),(10 7),(10 18),(10 19),(11 0),(11 7),(11 18),(11 19),(12 0),(12 7),(12 18),(12 19),(13 7),(13 18),(14 7),(14 18),(14 19),(15 7),(15 18),(15 19),(16 18),(16 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section4,(0 0),(0 7),(0 18),(0 19),(0 21),(1 0),(1 7),(1 18),(1 19),(1 21),(2 0),(2 7),(2 18),(2 19),(2 21),(3 0),(3 7),(3 18),(3 19),(3 21),(4 0),(4 7),(4 18),(4 19),(4 21),(5 0),(5 7),(5 18),(5 19),(5 21),(6 0),(6 7),(6 18),(6 19),(6 21),(7 0),(7 7),(7 18),(7 19),(7 21),(8 0),(8 7),(8 18),(8 19),(8 21),(9 0),(9 7),(9 18),(9 19),(9 21),(10 0),(10 7),(10 18),(10 19),(10 21),(11 7),(11 18),(11 19),(11 21),(12 7),(12 18),(12 19),(12 21),(13 7),(13 18),(13 21),(14 7),(14 18),(14 19),(14 21),(15 7),(15 18),(15 19),(15 21),(16 18),(16 19),(16 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section5,(0 0),(0 7),(0 18),(0 19),(0 21),(1 0),(1 7),(1 18),(1 19),(1 21),(1 25),(2 0),(2 7),(2 18),(2 19),(2 21),(2 25),(3 0),(3 7),(3 18),(3 19),(3 21),(3 25),(4 0),(4 7),(4 18),(4 19),(4 21),(4 25),(5 0),(5 7),(5 18),(5 19),(5 21),(5 25),(6 0),(6 7),(6 18),(6 19),(6 21),(6 25),(7 0),(7 7),(7 18),(7 19),(7 21),(7 25),(8 0),(8 7),(8 18),(8 19),(8 21),(8 25),(9 0),(9 7),(9 18),(9 19),(9 21),(9 25),(10 0),(10 7),(10 18),(10 19),(10 21),(10 25),(11 7),(11 18),(11 19),(11 21),(11 25),(12 7),(12 18),(12 19),(12 21),(12 25),(13 7),(13 18),(13 21),(13 25),(14 18),(14 19),(14 21),(14 25),(15 18),(15 19),(15 21),(15 25),(16 19),(16 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section6,(0 0),(0 7),(0 18),(0 19),(0 21),(1 0),(1 7),(1 18),(1 19),(1 21),(1 25),(1 26),(2 0),(2 7),(2 18),(2 19),(2 21),(2 25),(2 26),(3 0),(3 7),(3 18),(3 19),(3 21),(3 25),(3 26),(4 0),(4 7),(4 18),(4 19),(4 21),(4 25),(4 26),(5 0),(5 7),(5 18),(5 19),(5 21),(5 25),(5 26),(6 0),(6 7),(6 18),(6 19),(6 21),(6 25),(6 26),(7 0),(7 7),(7 18),(7 19),(7 21),(7 25),(7 26),(8 0),(8 7),(8 18),(8 19),(8 21),(8 25),(8 26),(9 0),(9 7),(9 18),(9 19),(9 21),(9 25),(9 26),(10 7),(10 18),(10 19),(10 21),(10 25),(10 26),(11 7),(11 18),(11 19),(11 21),(11 25),(11 26),(12 7),(12 18),(12 19),(12 21),(12 25),(12 26),(13 18),(13 21),(13 25),(13 26),(14 18),(14 19),(14 21),(14 25),(14 26),(15 18),(15 19),(15 21),(15 25),(15 26),(16 21),(16 26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section7,(0 0),(0 7),(0 18),(0 19),(0 21),(1 0),(1 7),(1 18),(1 19),(1 21),(1 25),(1 26),(1 28),(2 0),(2 7),(2 18),(2 19),(2 21),(2 25),(2 26),(2 28),(3 0),(3 7),(3 18),(3 19),(3 21),(3 25),(3 26),(3 28),(4 0),(4 7),(4 18),(4 19),(4 21),(4 25),(4 26),(4 28),(5 0),(5 7),(5 18),(5 19),(5 21),(5 25),(5 26),(5 28),(6 0),(6 7),(6 18),(6 19),(6 21),(6 25),(6 26),(6 28),(7 0),(7 7),(7 18),(7 19),(7 21),(7 25),(7 26),(7 28),(8 0),(8 7),(8 18),(8 19),(8 21),(8 25),(8 26),(8 28),(9 7),(9 18),(9 19),(9 21),(9 25),(9 26),(9 28),(10 7),(10 18),(10 19),(10 21),(10 25),(10 26),(10 28),(11 18),(11 19),(11 21),(11 25),(11 26),(11 28),(12 18),(12 19),(12 21),(12 25),(12 26),(12 28),(13 18),(13 21),(13 25),(13 26),(13 28),(14 18),(14 19),(14 21),(14 25),(14 26),(14 28),(15 18),(15 19),(15 21),(15 25),(15 26),(15 28),(16 26),(16 28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section8,(0 0),(0 7),(0 18),(0 19),(0 21),(1 0),(1 7),(1 18),(1 19),(1 21),(1 25),(1 26),(1 28),(2 0),(2 7),(2 18),(2 19),(2 21),(2 25),(2 26),(2 28),(2 33),(3 0),(3 7),(3 18),(3 19),(3 21),(3 25),(3 26),(3 28),(3 33),(4 0),(4 7),(4 18),(4 19),(4 21),(4 25),(4 26),(4 28),(4 33),(5 0),(5 7),(5 18),(5 19),(5 21),(5 25),(5 26),(5 28),(5 33),(6 0),(6 7),(6 18),(6 19),(6 21),(6 25),(6 26),(6 28),(6 33),(7 0),(7 7),(7 18),(7 19),(7 21),(7 25),(7 26),(7 28),(7 33),(8 0),(8 7),(8 18),(8 19),(8 21),(8 25),(8 26),(8 28),(8 33),(9 7),(9 18),(9 19),(9 21),(9 25),(9 26),(9 28),(9 33),(10 18),(10 19),(10 21),(10 25),(10 26),(10 28),(11 18),(11 19),(11 21),(11 25),(11 26),(11 28),(11 33),(12 18),(12 19),(12 21),(12 25),(12 26),(12 28),(12 33),(13 18),(13 21),(13 25),(13 26),(13 28),(13 33),(14 18),(14 19),(14 21),(14 25),(14 26),(14 28),(14 33),(15 18),(15 19),(15 21),(15 25),(15 26),(15 28),(15 33),(16 28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section9,(0 0),(0 7),(0 18),(0 19),(0 21),(1 0),(1 7),(1 18),(1 19),(1 21),(1 25),(1 26),(1 28),(2 0),(2 7),(2 18),(2 19),(2 21),(2 25),(2 26),(2 28),(2 33),(2 34),(3 0),(3 7),(3 18),(3 19),(3 21),(3 25),(3 26),(3 28),(3 33),(3 34),(4 0),(4 7),(4 18),(4 19),(4 21),(4 25),(4 26),(4 28),(4 33),(4 34),(5 0),(5 7),(5 18),(5 19),(5 21),(5 25),(5 26),(5 28),(5 33),(5 34),(6 0),(6 7),(6 18),(6 19),(6 21),(6 25),(6 26),(6 28),(6 33),(6 34),(7 0),(7 7),(7 18),(7 19),(7 21),(7 25),(7 26),(7 28),(7 33),(7 34),(8 7),(8 18),(8 19),(8 21),(8 25),(8 26),(8 28),(8 33),(9 7),(9 18),(9 19),(9 21),(9 25),(9 26),(9 28),(9 33),(9 34),(10 18),(10 19),(10 21),(10 25),(10 26),(10 28),(10 34),(11 18),(11 19),(11 21),(11 25),(11 26),(11 28),(11 33),(11 34),(12 18),(12 19),(12 21),(12 25),(12 26),(12 28),(12 33),(12 34),(13 18),(13 21),(13 25),(13 26),(13 28),(13 33),(13 34),(14 18),(14 19),(14 21),(14 25),(14 26),(14 28),(14 33),(14 34),(15 18),(15 19),(15 21),(15 25),(15 26),(15 28),(15 33),(15 34),(16 28),(16 34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section10,(0 0),(0 7),(0 18),(0 19),(0 21),(1 0),(1 7),(1 18),(1 19),(1 21),(1 25),(1 26),(1 28),(2 0),(2 7),(2 18),(2 19),(2 21),(2 25),(2 26),(2 28),(2 33),(2 34),(2 35),(3 0),(3 7),(3 18),(3 19),(3 21),(3 25),(3 26),(3 28),(3 33),(3 34),(3 35),(4 0),(4 7),(4 18),(4 19),(4 21),(4 25),(4 26),(4 28),(4 33),(4 34),(4 35),(5 0),(5 7),(5 18),(5 19),(5 21),(5 25),(5 26),(5 28),(5 33),(5 34),(5 35),(6 0),(6 7),(6 18),(6 19),(6 21),(6 25),(6 26),(6 28),(6 33),(6 34),(6 35),(7 0),(7 7),(7 18),(7 19),(7 21),(7 25),(7 26),(7 28),(7 33),(7 34),(7 35),(8 7),(8 18),(8 19),(8 21),(8 25),(8 26),(8 28),(8 33),(8 35),(9 18),(9 19),(9 21),(9 25),(9 26),(9 28),(9 33),(9 34),(10 18),(10 19),(10 21),(10 25),(10 26),(10 28),(10 34),(10 35),(11 18),(11 19),(11 21),(11 25),(11 26),(11 28),(11 33),(11 34),(11 35),(12 18),(12 19),(12 21),(12 25),(12 26),(12 28),(12 33),(12 34),(12 35),(13 18),(13 21),(13 25),(13 26),(13 28),(13 33),(13 34),(13 35),(14 18),(14 19),(14 21),(14 25),(14 26),(14 28),(14 33),(14 34),(14 35),(15 18),(15 19),(15 21),(15 25),(15 26),(15 28),(15 33),(15 34),(15 35),(16 34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section11,(0 0),(0 7),(0 18),(0 19),(0 21),(1 0),(1 7),(1 18),(1 19),(1 21),(1 25),(1 26),(1 28),(2 0),(2 7),(2 18),(2 19),(2 21),(2 25),(2 26),(2 28),(2 33),(2 34),(2 35),(2 36),(3 0),(3 7),(3 18),(3 19),(3 21),(3 25),(3 26),(3 28),(3 33),(3 34),(3 35),(3 36),(4 0),(4 7),(4 18),(4 19),(4 21),(4 25),(4 26),(4 28),(4 33),(4 34),(4 35),(4 36),(5 0),(5 7),(5 18),(5 19),(5 21),(5 25),(5 26),(5 28),(5 33),(5 34),(5 35),(5 36),(6 0),(6 7),(6 18),(6 19),(6 21),(6 25),(6 26),(6 28),(6 33),(6 34),(6 35),(6 36),(7 0),(7 7),(7 18),(7 19),(7 21),(7 25),(7 26),(7 28),(7 33),(7 34),(7 35),(7 36),(8 7),(8 18),(8 19),(8 21),(8 25),(8 26),(8 28),(8 33),(8 35),(8 36),(9 18),(9 19),(9 21),(9 25),(9 26),(9 28),(9 33),(9 34),(9 36),(10 18),(10 19),(10 21),(10 25),(10 26),(10 28),(10 34),(10 35),(10 36),(11 18),(11 19),(11 21),(11 25),(11 26),(11 28),(11 33),(11 34),(11 35),(11 36),(12 18),(12 19),(12 21),(12 25),(12 26),(12 28),(12 33),(12 34),(12 35),(12 36),(13 18),(13 21),(13 25),(13 26),(13 28),(13 33),(13 34),(13 35),(13 36),(14 19),(14 21),(14 25),(14 26),(14 28),(14 33),(14 34),(14 35),(15 19),(15 21),(15 25),(15 26),(15 28),(15 33),(15 34),(15 35),(16 34),(16 36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section12,(0 0),(0 7),(0 18),(0 19),(0 21),(1 0),(1 7),(1 18),(1 19),(1 21),(1 25),(1 26),(1 28),(2 0),(2 7),(2 18),(2 19),(2 21),(2 25),(2 26),(2 28),(2 33),(2 34),(2 35),(2 36),(2 37),(3 0),(3 7),(3 18),(3 19),(3 21),(3 25),(3 26),(3 28),(3 33),(3 34),(3 35),(3 36),(3 37),(4 0),(4 7),(4 18),(4 19),(4 21),(4 25),(4 26),(4 28),(4 33),(4 34),(4 35),(4 36),(4 37),(5 0),(5 7),(5 18),(5 19),(5 21),(5 25),(5 26),(5 28),(5 33),(5 34),(5 35),(5 36),(5 37),(6 0),(6 7),(6 18),(6 19),(6 21),(6 25),(6 26),(6 28),(6 33),(6 34),(6 35),(6 36),(6 37),(7 7),(7 18),(7 19),(7 21),(7 25),(7 26),(7 28),(7 33),(7 34),(7 35),(7 36),(7 37),(8 7),(8 18),(8 19),(8 21),(8 25),(8 26),(8 28),(8 33),(8 35),(8 36),(8 37),(9 18),(9 19),(9 21),(9 25),(9 26),(9 28),(9 33),(9 34),(9 36),(9 37),(10 18),(10 19),(10 21),(10 25),(10 26),(10 28),(10 34),(10 35),(10 36),(10 37),(11 18),(11 19),(11 21),(11 25),(11 26),(11 28),(11 33),(11 34),(11 35),(11 36),(11 37),(12 18),(12 19),(12 21),(12 25),(12 26),(12 28),(12 33),(12 34),(12 35),(12 36),(12 37),(13 21),(13 25),(13 26),(13 28),(13 33),(13 34),(13 35),(13 36),(13 37),(14 21),(14 25),(14 26),(14 28),(14 33),(14 34),(14 35),(14 37),(15 21),(15 25),(15 26),(15 28),(15 33),(15 34),(15 35),(15 37),(16 34),(16 36),(16 37),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section13,(0 0),(0 7),(0 18),(0 19),(0 21),(1 0),(1 7),(1 18),(1 19),(1 21),(1 25),(1 26),(1 28),(2 0),(2 7),(2 18),(2 19),(2 21),(2 25),(2 26),(2 28),(2 33),(2 34),(2 35),(2 36),(2 37),(2 39),(3 0),(3 7),(3 18),(3 19),(3 21),(3 25),(3 26),(3 28),(3 33),(3 34),(3 35),(3 36),(3 37),(3 39),(4 0),(4 7),(4 18),(4 19),(4 21),(4 25),(4 26),(4 28),(4 33),(4 34),(4 35),(4 36),(4 37),(4 39),(5 0),(5 7),(5 18),(5 19),(5 21),(5 25),(5 26),(5 28),(5 33),(5 34),(5 35),(5 36),(5 37),(5 39),(6 0),(6 7),(6 18),(6 19),(6 21),(6 25),(6 26),(6 28),(6 33),(6 34),(6 35),(6 36),(6 37),(6 39),(7 7),(7 18),(7 19),(7 21),(7 25),(7 26),(7 28),(7 33),(7 34),(7 35),(7 36),(7 37),(7 39),(8 7),(8 18),(8 19),(8 21),(8 25),(8 26),(8 28),(8 33),(8 35),(8 36),(8 37),(8 39),(9 18),(9 19),(9 21),(9 25),(9 26),(9 28),(9 33),(9 34),(9 36),(9 37),(9 39),(10 18),(10 19),(10 21),(10 25),(10 26),(10 28),(10 34),(10 35),(10 36),(10 37),(10 39),(11 19),(11 21),(11 25),(11 26),(11 28),(11 33),(11 34),(11 35),(11 36),(11 37),(11 39),(12 19),(12 21),(12 25),(12 26),(12 28),(12 33),(12 34),(12 35),(12 36),(12 37),(12 39),(13 21),(13 25),(13 26),(13 28),(13 33),(13 34),(13 35),(13 36),(13 37),(13 39),(14 25),(14 26),(14 28),(14 33),(14 34),(14 35),(14 37),(14 39),(15 25),(15 26),(15 28),(15 33),(15 34),(15 35),(15 37),(15 39),(16 34),(16 36),(16 37),(16 39),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section14,(0 0),(0 7),(0 18),(0 19),(0 21),(1 0),(1 7),(1 18),(1 19),(1 21),(1 25),(1 26),(1 28),(2 0),(2 7),(2 18),(2 19),(2 21),(2 25),(2 26),(2 28),(2 33),(2 34),(2 35),(2 36),(2 37),(2 39),(2 40),(3 0),(3 7),(3 18),(3 19),(3 21),(3 25),(3 26),(3 28),(3 33),(3 34),(3 35),(3 36),(3 37),(3 39),(3 40),(4 0),(4 7),(4 18),(4 19),(4 21),(4 25),(4 26),(4 28),(4 33),(4 34),(4 35),(4 36),(4 37),(4 39),(4 40),(5 0),(5 7),(5 18),(5 19),(5 21),(5 25),(5 26),(5 28),(5 33),(5 34),(5 35),(5 36),(5 37),(5 39),(5 40),(6 0),(6 7),(6 18),(6 19),(6 21),(6 25),(6 26),(6 28),(6 33),(6 34),(6 35),(6 36),(6 37),(6 39),(6 40),(7 7),(7 18),(7 19),(7 21),(7 25),(7 26),(7 28),(7 33),(7 34),(7 35),(7 36),(7 37),(7 39),(7 40),(8 7),(8 18),(8 19),(8 21),(8 25),(8 26),(8 28),(8 33),(8 35),(8 36),(8 37),(8 39),(8 40),(9 18),(9 19),(9 21),(9 25),(9 26),(9 28),(9 33),(9 34),(9 36),(9 37),(9 39),(9 40),(10 18),(10 19),(10 21),(10 25),(10 26),(10 28),(10 34),(10 35),(10 36),(10 37),(10 39),(10 40),(11 21),(11 25),(11 26),(11 28),(11 33),(11 34),(11 35),(11 36),(11 37),(11 39),(11 40),(12 21),(12 25),(12 26),(12 28),(12 33),(12 34),(12 35),(12 36),(12 37),(12 39),(12 40),(13 25),(13 26),(13 28),(13 33),(13 34),(13 35),(13 36),(13 37),(13 39),(14 25),(14 26),(14 28),(14 33),(14 34),(14 35),(14 37),(14 39),(14 40),(15 25),(15 26),(15 28),(15 33),(15 34),(15 35),(15 37),(15 39),(15 40),(16 34),(16 36),(16 37),(16 39),(16 40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
