course_id,course_name,lectures,min_days
12,C12,3,3
13,C13,3,3
14,C14,3,3
35,C35,3,3
36,C36,3,3
45,C45,3,3
52,C52,3,3
55,C55,3,3
57,C57,3,3
60,C60,3,3
94,C94,3,3
98,C98,3,3
104,C104,3,3
107,C107,3,3
112,C112,3,3
114,C114,3,3
116,C116,3,3
117,C117,3,3
130,C130,3,2
148,C148,3,3
149,C149,3,3
150,C150,3,2
163,C163,3,2
177,C177,3,3
179,C179,3,3
181,C181,3,3
196,C196,6,4
198,C198,3,3
210,C210,3,3
214,C214,3,3
218,C218,3,3
223,C223,3,3
224,C224,3,3
226,C226,3,3
227,C227,3,3
233,C233,3,3
249,C249,3,3
254,C254,3,3
271,C271,3,3
409,C409,3,3
416,C416,3,3
420,C420,3,3
441,C441,3,3
447,C447,3,3
456,C456,3,3
457,C457,3,3
465,C465,3,3
486,C486,3,3
491,C491,3,0
498,C498,3,3
501,C501,3,3
506,C506,3,3
510,C510,5,4
527,C527,3,3
670,C670,3,3
738,C738,3,2
741,C741,6,4
745,C745,3,3
773,C773,3,3
798,C798,5,4
814,C814,3,3
815,C815,3,3
828,C828,3,3
844,C844,3,3
845,C845,3,3
850,C850,3,3
851,C851,3,3
854,C854,7,0
856,C856,7,0
864,C864,7,0
866,C866,7,0
869,C869,7,0
882,C882,7,0
884,C884,7,0
898,C898,3,3
901,C901,3,3
933,C933,3,3
947,C947,7,0
953,C953,7,0
969,C969,7,0
972,C972,7,0
978,C978,7,0
985,C985,7,0
1007,C1007,3,3
1044,C1044,7,0
1148,C1148,3,3
