course1,course2
0,1
0,2
0,4
0,20
0,23
0,24
0,26
0,27
0,28
0,30
0,31
0,32
0,34
0,35
0,41
0,42
0,50
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,61
0,63
0,64
0,68
0,74
0,75
0,76
0,77
0,78
0,80
1,2
1,4
1,24
1,26
1,28
1,30
1,36
1,37
1,47
1,54
1,58
1,59
1,63
1,69
1,80
2,3
2,4
2,7
2,20
2,21
2,26
2,30
2,33
2,38
2,58
2,59
2,63
2,80
2,87
3,5
3,10
3,20
3,44
3,45
3,48
3,49
3,81
4,5
4,19
4,23
4,28
4,30
4,33
4,58
4,59
4,63
4,80
4,87
5,10
5,20
5,44
5,45
5,48
5,49
5,81
6,16
6,17
6,24
6,31
6,36
6,43
6,53
6,55
6,56
6,61
6,62
6,63
6,64
6,65
6,66
6,67
6,68
6,77
6,78
6,79
6,80
6,82
6,83
6,84
7,20
7,21
7,26
7,33
7,38
7,80
7,87
8,24
8,28
8,34
8,36
8,46
8,53
8,62
8,66
8,67
8,68
8,73
8,76
9,12
9,14
9,30
9,48
9,71
9,72
10,20
10,44
10,47
10,48
10,49
10,81
11,19
11,29
11,77
12,14
12,48
12,71
12,72
13,14
13,27
13,28
13,37
13,60
13,70
14,30
14,48
14,71
14,72
15,25
15,30
15,61
15,74
15,75
15,85
16,79
17,43
17,60
17,61
17,63
17,65
17,79
18,21
18,26
18,31
18,38
18,39
18,46
18,81
18,87
19,22
19,28
19,29
19,40
19,41
19,55
19,64
19,69
19,74
19,77
19,80
19,85
20,21
20,26
20,27
20,31
20,38
20,41
20,42
20,44
20,45
20,48
20,49
20,80
20,81
20,87
21,31
21,38
21,39
21,46
21,80
21,81
21,87
22,40
22,69
22,74
22,80
23,24
23,28
23,31
23,32
23,35
23,51
23,52
24,32
24,33
24,35
24,36
24,47
24,56
24,69
24,78
24,83
24,84
25,30
25,61
25,74
25,75
25,85
26,28
26,31
26,37
26,38
26,41
26,42
26,69
26,80
26,87
27,31
27,37
27,41
27,42
27,46
27,50
27,52
27,54
27,57
27,60
27,64
27,70
27,74
27,75
27,77
27,80
27,85
28,29
28,34
28,37
28,46
28,52
28,69
28,70
28,80
29,77
30,58
30,59
30,61
30,63
30,71
30,72
30,74
30,85
31,38
31,39
31,41
31,42
31,46
31,48
31,53
31,62
31,66
31,67
31,68
31,74
31,75
31,77
31,80
31,81
31,86
32,33
32,35
33,35
33,80
33,87
34,46
34,52
34,64
34,70
34,73
34,77
36,47
36,56
36,69
36,78
36,83
36,84
37,46
37,60
37,64
37,69
37,70
37,77
37,80
38,39
38,46
38,80
38,81
38,87
39,46
39,48
39,81
39,86
40,69
40,74
40,80
41,51
41,55
41,77
41,85
43,55
43,56
43,61
43,63
43,65
43,78
43,82
44,45
44,48
44,81
45,81
46,53
46,62
46,64
46,66
46,67
46,68
46,70
46,73
46,76
46,77
46,81
46,85
47,69
48,49
48,71
48,72
48,81
48,86
49,81
50,52
50,54
50,57
50,74
50,75
50,80
51,52
51,55
51,64
51,77
51,85
52,53
52,54
52,55
52,56
52,57
52,61
52,64
52,68
52,74
52,75
52,76
52,77
52,78
52,80
53,55
53,56
53,61
53,62
53,66
53,68
53,70
53,73
53,76
53,77
53,78
53,80
54,80
55,56
55,61
55,64
55,65
55,68
55,76
55,77
55,78
55,82
55,85
56,58
56,59
56,61
56,63
56,64
56,65
56,68
56,76
56,77
56,78
56,82
56,83
56,84
56,85
57,74
57,75
58,59
58,63
58,64
58,77
58,82
58,85
59,64
59,77
59,82
59,85
60,70
61,63
61,65
61,68
61,74
61,75
61,76
61,78
61,79
61,82
61,85
62,64
62,66
62,67
62,68
62,70
62,73
62,77
62,80
63,65
63,77
63,79
63,82
63,85
64,67
64,73
64,76
64,77
64,80
64,82
64,85
65,78
65,79
65,82
66,68
66,70
66,73
66,76
66,77
66,80
67,68
67,73
67,76
67,77
67,80
68,70
68,73
68,75
68,76
68,77
68,78
68,80
69,80
70,73
70,76
70,77
70,85
71,72
73,76
74,75
74,80
74,85
75,80
76,78
77,80
77,82
77,85
78,82
78,83
80,81
80,87
81,86
82,85
