source,target,value
6,8,1770.0
6,14,7256.0
6,15,3190.0
6,19,11252.0
6,26,2384.0
6,31,524.0
6,36,366.0
6,21,1878.0
6,22,1580.0
6,30,1702.0
6,9,750.0
6,10,780.0
6,24,2846.0
6,28,1252.0
6,35,3364.0
6,7,1808.0
6,27,2348.0
6,12,3592.0
6,17,3374.0
6,25,746.0
6,32,1346.0
6,11,878.0
6,13,3234.0
6,33,1856.0
6,16,634.0
6,18,1144.0
6,20,1770.0
6,37,1268.0
6,29,2596.0
6,23,3012.0
6,34,992.0
5,8,936.0
5,14,2720.0
5,15,3546.0
5,19,3002.0
5,26,1566.0
5,31,444.0
5,36,348.0
5,21,990.0
5,22,964.0
5,30,910.0
5,9,778.0
5,10,796.0
5,24,2442.0
5,28,1652.0
5,35,3816.0
5,6,2884.0
5,7,912.0
5,27,1120.0
5,12,2518.0
5,17,3756.0
5,25,482.0
5,32,938.0
5,11,272.0
5,13,2672.0
5,33,1378.0
5,16,430.0
5,18,574.0
5,20,1062.0
5,37,852.0
5,29,1806.0
5,23,2142.0
5,34,898.0
1,8,1496.0
1,14,2722.0
1,15,2206.0
1,19,3630.0
1,2,358.0
1,26,1192.0
1,31,284.0
1,36,212.0
1,3,930.0
1,21,858.0
1,22,804.0
1,30,776.0
1,4,202.0
1,9,434.0
1,5,1766.0
1,10,458.0
1,24,1650.0
1,28,756.0
1,35,1916.0
1,6,3252.0
1,7,836.0
1,27,1244.0
1,12,3280.0
1,17,1930.0
1,25,374.0
1,32,672.0
1,11,272.0
1,13,2224.0
1,33,1188.0
1,16,312.0
1,18,506.0
1,20,936.0
1,37,702.0
1,29,1346.0
1,23,1660.0
1,34,538.0
17,19,3500.0
17,26,2546.0
17,31,946.0
17,36,708.0
17,21,1414.0
17,22,1412.0
17,30,1304.0
17,24,3366.0
17,28,2236.0
17,35,9814.0
17,27,1448.0
17,25,584.0
17,32,1210.0
17,33,1758.0
17,18,772.0
17,20,1484.0
17,37,1108.0
17,29,2968.0
17,23,3174.0
17,34,1838.0
14,15,2982.0
14,19,6420.0
14,26,2232.0
14,31,494.0
14,36,334.0
14,21,1698.0
14,22,1392.0
14,30,1580.0
14,24,2588.0
14,28,1158.0
14,35,3238.0
14,27,1768.0
14,17,3198.0
14,25,780.0
14,32,1368.0
14,33,1582.0
14,16,642.0
14,18,1078.0
14,20,1504.0
14,37,1136.0
14,29,2392.0
14,23,2672.0
14,34,934.0
12,14,3060.0
12,15,3020.0
12,19,3994.0
12,26,1592.0
12,31,406.0
12,36,316.0
12,21,1116.0
12,22,1114.0
12,30,998.0
12,24,2488.0
12,28,1130.0
12,35,2684.0
12,27,1682.0
12,17,2754.0
12,25,448.0
12,32,814.0
12,13,4292.0
12,33,2010.0
12,16,380.0
12,18,626.0
12,20,1334.0
12,37,1030.0
12,29,1852.0
12,23,2424.0
12,34,744.0
13,14,2842.0
13,15,2778.0
13,19,3518.0
13,26,1678.0
13,31,432.0
13,36,360.0
13,21,1118.0
13,22,1178.0
13,30,1000.0
13,24,3204.0
13,28,1328.0
13,35,2828.0
13,27,1550.0
13,17,2986.0
13,25,430.0
13,32,802.0
13,33,2754.0
13,16,378.0
13,18,622.0
13,20,1414.0
13,37,1258.0
13,29,2004.0
13,23,2778.0
13,34,840.0
19,26,2462.0
19,31,542.0
19,36,386.0
19,21,1932.0
19,22,1680.0
19,30,1732.0
19,24,3020.0
19,28,1316.0
19,35,3464.0
19,27,2864.0
19,25,742.0
19,32,1352.0
19,33,2054.0
19,20,1934.0
19,37,1354.0
19,29,2710.0
19,23,3224.0
19,34,1030.0
3,8,566.0
3,14,1714.0
3,15,1106.0
3,19,2018.0
3,26,1520.0
3,31,306.0
3,36,218.0
3,21,1550.0
3,22,1538.0
3,30,1166.0
3,4,206.0
3,9,406.0
3,5,1098.0
3,10,276.0
3,24,1304.0
3,28,558.0
3,35,1514.0
3,6,1924.0
3,7,1300.0
3,27,908.0
3,12,1248.0
3,17,1600.0
3,25,238.0
3,32,446.0
3,11,196.0
3,13,1280.0
3,33,862.0
3,16,220.0
3,18,624.0
3,20,1174.0
3,37,580.0
3,29,1670.0
3,23,1836.0
3,34,432.0
15,19,3334.0
15,26,1510.0
15,31,408.0
15,36,306.0
15,21,1012.0
15,22,962.0
15,30,924.0
15,24,2214.0
15,28,1206.0
15,35,3102.0
15,27,1218.0
15,17,3026.0
15,25,518.0
15,32,938.0
15,33,1400.0
15,16,420.0
15,18,586.0
15,20,1078.0
15,37,838.0
15,29,1722.0
15,23,2070.0
15,34,756.0
7,8,528.0
7,14,1524.0
7,15,946.0
7,19,1932.0
7,26,1016.0
7,31,228.0
7,36,164.0
7,21,1142.0
7,22,942.0
7,30,848.0
7,9,314.0
7,10,234.0
7,24,1050.0
7,28,452.0
7,35,1216.0
7,27,950.0
7,12,1110.0
7,17,1268.0
7,25,200.0
7,32,368.0
7,11,184.0
7,13,1102.0
7,33,748.0
7,16,180.0
7,18,494.0
7,20,1030.0
7,37,478.0
7,29,1140.0
7,23,1390.0
7,34,340.0
23,26,2398.0
23,31,556.0
23,36,510.0
23,30,1222.0
23,24,3474.0
23,28,1206.0
23,35,2866.0
23,27,1538.0
23,25,398.0
23,32,754.0
23,33,2148.0
23,37,1756.0
23,29,3400.0
23,34,934.0
8,14,1384.0
8,15,1086.0
8,19,2128.0
8,26,682.0
8,31,170.0
8,36,130.0
8,21,508.0
8,22,500.0
8,30,448.0
8,9,258.0
8,10,234.0
8,24,976.0
8,28,430.0
8,35,1074.0
8,27,976.0
8,12,1960.0
8,17,1100.0
8,25,186.0
8,32,336.0
8,11,152.0
8,13,1382.0
8,33,818.0
8,16,158.0
8,18,280.0
8,20,618.0
8,37,430.0
8,29,790.0
8,23,1038.0
8,34,298.0
24,26,1854.0
24,31,492.0
24,36,490.0
24,30,994.0
24,28,1584.0
24,35,2972.0
24,27,1274.0
24,25,400.0
24,32,770.0
24,33,2084.0
24,37,1422.0
24,29,2360.0
24,34,1098.0
9,14,696.0
9,15,658.0
9,19,784.0
9,26,688.0
9,31,280.0
9,36,258.0
9,21,348.0
9,22,366.0
9,30,320.0
9,10,172.0
9,24,874.0
9,28,508.0
9,35,1506.0
9,27,352.0
9,12,638.0
9,17,2238.0
9,25,124.0
9,32,248.0
9,11,80.0
9,13,708.0
9,33,438.0
9,16,126.0
9,18,182.0
9,20,378.0
9,37,276.0
9,29,838.0
9,23,852.0
9,34,584.0
20,26,1142.0
20,31,260.0
20,36,206.0
20,21,864.0
20,22,1362.0
20,30,718.0
20,24,1398.0
20,28,552.0
20,35,1390.0
20,27,1086.0
20,25,210.0
20,32,392.0
20,33,1102.0
20,37,728.0
20,29,1406.0
20,23,2240.0
20,34,410.0
2,8,206.0
2,14,666.0
2,15,480.0
2,19,716.0
2,26,840.0
2,31,324.0
2,36,124.0
2,3,388.0
2,21,344.0
2,22,324.0
2,30,328.0
2,4,166.0
2,9,252.0
2,5,508.0
2,10,128.0
2,24,556.0
2,28,270.0
2,35,854.0
2,6,698.0
2,7,284.0
2,27,288.0
2,12,484.0
2,17,928.0
2,25,108.0
2,32,212.0
2,11,72.0
2,13,508.0
2,33,316.0
2,16,110.0
2,18,190.0
2,20,312.0
2,37,214.0
2,29,774.0
2,23,646.0
2,34,224.0
21,26,1246.0
21,31,266.0
21,36,180.0
21,22,918.0
21,30,1816.0
21,24,1102.0
21,28,488.0
21,35,1362.0
21,27,800.0
21,25,228.0
21,32,426.0
21,33,720.0
21,37,482.0
21,29,1302.0
21,23,1402.0
21,34,378.0
26,31,612.0
26,36,378.0
26,30,1166.0
26,28,822.0
26,35,2336.0
26,27,978.0
26,32,652.0
26,33,1070.0
26,37,750.0
26,29,3656.0
26,34,686.0
22,26,1282.0
22,31,264.0
22,36,202.0
22,30,758.0
22,24,1240.0
22,28,506.0
22,35,1316.0
22,27,806.0
22,25,198.0
22,32,372.0
22,33,840.0
22,37,580.0
22,29,1588.0
22,23,2066.0
22,34,390.0
10,14,768.0
10,15,894.0
10,19,796.0
10,26,388.0
10,31,110.0
10,36,78.0
10,21,256.0
10,22,238.0
10,30,238.0
10,24,514.0
10,28,288.0
10,35,904.0
10,27,282.0
10,12,594.0
10,17,822.0
10,25,168.0
10,32,310.0
10,11,76.0
10,13,572.0
10,33,310.0
10,16,128.0
10,18,150.0
10,20,258.0
10,37,196.0
10,29,434.0
10,23,496.0
10,34,190.0
18,19,1154.0
18,26,668.0
18,31,142.0
18,36,92.0
18,21,906.0
18,22,428.0
18,30,1186.0
18,24,612.0
18,28,268.0
18,35,752.0
18,27,410.0
18,25,144.0
18,32,274.0
18,33,376.0
18,20,418.0
18,37,270.0
18,29,684.0
18,23,716.0
18,34,220.0
29,31,648.0
29,36,516.0
29,30,1180.0
29,35,2656.0
29,32,702.0
29,33,1328.0
29,37,940.0
29,34,840.0
4,8,120.0
4,14,330.0
4,15,286.0
4,19,370.0
4,26,406.0
4,31,244.0
4,36,128.0
4,21,172.0
4,22,184.0
4,30,158.0
4,9,314.0
4,5,326.0
4,10,74.0
4,24,384.0
4,28,196.0
4,35,620.0
4,6,356.0
4,7,152.0
4,27,164.0
4,12,286.0
4,17,792.0
4,25,56.0
4,32,114.0
4,11,38.0
4,13,314.0
4,33,202.0
4,16,60.0
4,18,90.0
4,20,184.0
4,37,128.0
4,29,492.0
4,23,426.0
4,34,198.0
27,31,238.0
27,36,182.0
27,30,678.0
27,28,546.0
27,35,1396.0
27,32,412.0
27,33,1080.0
27,37,596.0
27,29,1138.0
27,34,386.0
11,14,880.0
11,15,298.0
11,19,716.0
11,26,236.0
11,31,58.0
11,36,40.0
11,21,198.0
11,22,158.0
11,30,180.0
11,24,266.0
11,28,124.0
11,35,348.0
11,27,212.0
11,12,322.0
11,17,348.0
11,25,70.0
11,32,122.0
11,13,296.0
11,33,176.0
11,16,58.0
11,18,116.0
11,20,172.0
11,37,114.0
11,29,256.0
11,23,294.0
11,34,92.0
28,31,252.0
28,36,228.0
28,30,444.0
28,35,1906.0
28,32,388.0
28,33,738.0
28,37,456.0
28,29,994.0
28,34,656.0
16,19,636.0
16,26,328.0
16,31,90.0
16,36,56.0
16,21,210.0
16,22,184.0
16,30,200.0
16,24,372.0
16,28,186.0
16,35,690.0
16,27,198.0
16,17,608.0
16,25,130.0
16,32,332.0
16,33,208.0
16,18,134.0
16,20,190.0
16,37,152.0
16,29,350.0
16,23,368.0
16,34,148.0
33,36,234.0
33,35,1636.0
33,37,1198.0
33,34,494.0
30,31,250.0
30,36,164.0
30,35,1262.0
30,32,404.0
30,33,630.0
30,37,428.0
30,34,348.0
25,26,336.0
25,31,86.0
25,36,56.0
25,30,216.0
25,28,198.0
25,35,630.0
25,27,228.0
25,32,322.0
25,33,234.0
25,37,166.0
25,29,362.0
25,34,152.0
32,36,110.0
32,35,1370.0
32,33,434.0
32,37,316.0
32,34,300.0
34,36,242.0
34,35,1358.0
34,37,340.0
31,36,128.0
31,35,828.0
31,32,168.0
31,33,274.0
31,37,176.0
31,34,214.0
35,36,568.0
35,37,1022.0
36,37,154.0
