id,source,target,routing_cost,fixed_cost_7560,fixed_cost_30240,fixed_cost_120960
1,8,1,2.59,23310.0,69930.0,209790.0
2,14,1,10.67,96030.0,288090.0,864270.0
3,15,1,5.52,49680.0,149040.0,447120.0
4,19,1,5.4,48600.0,145800.0,437400.0
5,26,2,13.63,122670.0,368010.0,1104030.0
6,31,2,7.94,71460.0,214380.0,643140.0
7,36,2,15.0,135000.0,405000.0,1215000.0
8,21,3,7.6,68400.0,205200.0,615600.0
9,22,3,5.08,45720.0,137160.0,411480.0
10,30,3,12.44,111960.0,335880.0,1007640.0
11,9,4,4.74,42660.0,127980.0,383940.0
12,31,4,4.87,43830.0,131490.0,394470.0
13,36,4,5.51,49590.0,148770.0,446310.0
14,10,5,5.4,48600.0,145800.0,437400.0
15,15,5,3.81,34290.0,102870.0,308610.0
16,24,5,7.57,68130.0,204390.0,613170.0
17,28,5,4.2,37800.0,113400.0,340200.0
18,35,5,7.75,69750.0,209250.0,627750.0
19,14,6,6.1,54900.0,164700.0,494100.0
20,19,6,2.39,21510.0,64530.0,193590.0
21,21,7,8.34,75060.0,225180.0,675540.0
22,22,7,7.56,68040.0,204120.0,612360.0
23,27,7,7.47,67230.0,201690.0,605070.0
24,12,8,2.64,23760.0,71280.0,213840.0
25,27,8,3.93,35370.0,106110.0,318330.0
26,17,9,4.36,39240.0,117720.0,353160.0
27,28,9,6.68,60120.0,180360.0,541080.0
28,25,10,7.22,64980.0,194940.0,584820.0
29,32,10,7.77,69930.0,209790.0,629370.0
30,14,11,4.62,41580.0,124740.0,374220.0
31,19,11,6.9,62100.0,186300.0,558900.0
32,13,12,2.75,24750.0,74250.0,222750.0
33,15,13,5.92,53280.0,159840.0,479520.0
34,24,13,4.56,41040.0,123120.0,369360.0
35,33,13,2.71,24390.0,73170.0,219510.0
36,25,16,11.82,106380.0,319140.0,957420.0
37,32,16,5.97,53730.0,161190.0,483570.0
38,35,16,13.7,123300.0,369900.0,1109700.0
39,35,17,3.83,34470.0,103410.0,310230.0
40,19,18,19.77,177930.0,533790.0,1601370.0
41,21,18,7.51,67590.0,202770.0,608310.0
42,30,18,4.71,42390.0,127170.0,381510.0
43,27,19,5.14,46260.0,138780.0,416340.0
44,22,20,4.11,36990.0,110970.0,332910.0
45,27,20,5.94,53460.0,160380.0,481140.0
46,37,20,5.07,45630.0,136890.0,410670.0
47,29,22,9.07,81630.0,244890.0,734670.0
48,24,23,5.22,46980.0,140940.0,422820.0
49,29,23,7.2,64800.0,194400.0,583200.0
50,37,23,3.27,29430.0,88290.0,264870.0
51,34,24,5.34,48060.0,144180.0,432540.0
52,29,26,6.38,57420.0,172260.0,516780.0
53,33,27,6.0,54000.0,162000.0,486000.0
54,34,28,3.76,33840.0,101520.0,304560.0
55,36,29,7.83,70470.0,211410.0,634230.0
56,37,33,2.18,19620.0,58860.0,176580.0
57,36,34,4.0,36000.0,108000.0,324000.0
