task_id,duration,resource_demand,release_time,latest_start,target_start
1,42,2,72,103,72
2,24,1,65,108,65
3,12,4,56,69,56
4,34,3,106,153,106
5,18,5,147,156,147
6,24,4,111,158,111
7,41,5,56,86,56
8,55,3,104,125,104
9,45,3,72,104,72
10,5,4,9,25,9
11,10,5,30,49,30
12,30,3,157,167,157
13,25,1,143,162,143
14,34,5,4,33,4
15,21,2,46,98,46
16,37,3,41,70,41
17,17,5,143,174,143
18,36,3,68,92,68
19,20,3,13,73,13
20,25,5,122,132,122
21,39,5,61,83,61
22,23,2,21,47,21
23,59,4,52,74,52
24,32,1,48,80,48
25,25,2,3,48,3
26,33,1,79,115,79
27,33,1,95,136,95
28,36,3,118,134,118
29,15,3,174,186,174
30,28,4,86,124,86
31,27,5,66,110,66
32,5,5,135,151,135
33,14,4,31,54,31
34,17,4,4,30,4
35,9,1,74,87,74
36,18,4,22,75,22
37,48,5,14,34,14
38,23,5,148,156,148
39,10,4,90,114,90
40,42,3,30,50,30
41,45,4,72,95,72
42,34,1,12,32,12
43,19,2,156,171,156
44,23,2,60,115,60
45,10,1,51,64,51
46,41,3,26,54,26
47,19,4,111,117,111
48,17,2,45,108,45
49,11,3,119,144,119
50,18,2,80,130,80
