task_id,duration,resource_demand,release_time,latest_start
1,5,5,2,21
2,36,5,33,73
3,32,3,25,43
4,35,1,121,135
5,28,4,85,115
6,49,4,113,141
7,18,2,84,102
8,23,1,37,51
9,38,4,98,116
10,20,2,78,106
11,18,3,105,114
12,32,1,59,84
13,43,2,86,113
14,50,2,1,24
15,19,5,126,170
16,20,1,70,118
17,17,1,153,159
18,23,2,102,143
19,9,1,139,157
20,32,5,140,156
21,13,1,123,148
22,18,3,148,166
23,11,4,128,147
24,10,1,130,153
25,29,3,7,26
26,17,1,27,84
27,31,3,61,87
28,26,4,13,45
29,45,4,79,97
30,28,1,27,44
31,41,5,19,37
32,37,1,38,64
33,13,5,63,95
34,13,2,130,178
35,35,3,97,109
36,32,2,14,26
37,18,1,89,96
38,15,5,132,143
39,22,4,18,53
40,29,3,6,32
41,25,4,105,122
42,15,4,97,113
43,32,2,17,46
44,30,5,91,123
45,43,2,46,76
46,45,3,41,66
47,52,3,67,96
48,45,3,111,142
49,13,2,129,174
50,45,5,13,28
