team_id,researcher_id
0,37
0,60
0,92
1,15
1,52
1,110
1,121
2,22
2,61
3,26
3,60
3,61
4,58
4,133
4,136
5,9
5,21
5,44
5,92
6,68
6,112
6,128
6,136
7,33
7,57
7,87
7,136
8,36
8,49
8,80
9,33
9,117
10,45
10,59
10,86
11,1
11,52
12,40
12,91
12,126
13,71
13,105
14,65
14,99
15,65
15,66
15,73
15,81
16,19
16,21
16,62
16,109
17,12
17,49
17,105
17,117
18,8
18,92
18,99
19,42
19,52
19,99
19,134
20,3
20,10
20,126
21,84
21,101
21,123
22,2
22,40
22,71
23,51
23,53
23,138
24,63
24,75
24,91
25,48
25,76
26,1
26,80
26,93
27,83
27,100
27,112
27,126
28,79
28,124
29,26
29,131
30,93
30,123
30,134
31,0
31,7
31,84
31,117
32,57
32,95
33,33
33,61
33,79
33,81
34,26
34,32
34,55
34,116
35,49
35,69
36,23
36,69
36,81
37,55
37,137
38,1
38,26
38,38
39,94
39,107
39,119
39,123
40,66
40,94
41,24
41,28
41,98
41,115
42,3
42,43
42,64
42,99
43,3
43,94
43,108
44,92
44,99
44,133
45,70
45,89
45,127
46,58
46,92
47,11
47,32
47,56
48,20
48,68
48,112
48,125
49,66
49,104
50,34
50,75
50,126
51,74
51,135
52,16
52,50
52,97
52,124
53,13
53,36
53,50
54,28
54,90
55,24
55,64
56,6
56,103
57,42
57,72
58,3
58,31
59,8
59,29
59,58
59,77
60,2
60,42
60,63
60,114
61,7
61,62
61,132
62,3
62,18
62,59
62,78
63,16
63,30
63,39
63,86
64,39
64,101
64,113
65,35
65,52
65,81
65,96
66,5
66,41
66,136
67,48
67,53
67,66
67,102
68,4
68,34
68,46
69,66
69,118
70,49
70,83
71,50
71,78
71,104
71,120
72,43
72,135
72,136
73,2
73,50
73,91
74,24
74,26
74,91
75,2
75,78
75,97
76,3
76,122
77,51
77,63
77,85
77,88
78,34
78,54
79,30
79,39
79,74
79,137
80,67
80,108
81,14
81,32
81,130
82,30
82,128
83,5
83,56
83,65
83,98
84,5
84,17
84,23
84,134
85,40
85,44
85,124
86,27
86,34
86,120
86,133
87,7
87,47
87,82
88,2
88,12
88,53
88,93
89,14
89,25
89,107
90,37
90,39
90,107
90,111
91,62
91,112
92,15
92,116
92,129
93,10
93,37
93,65
93,106
