service_id,policy_id
0,97
1,97
2,97
2,121
6,64
6,86
6,101
6,110
6,121
6,129
6,169
6,179
6,180
7,208
7,210
7,215
8,94
9,94
10,64
10,94
15,188
16,188
17,101
17,188
22,122
23,122
24,122
24,129
28,178
29,178
30,178
30,179
33,132
34,132
35,86
35,132
36,184
37,184
38,169
38,184
39,150
39,208
40,150
40,208
41,150
41,180
42,18
42,208
44,77
44,210
45,77
45,210
46,77
46,110
47,35
47,210
48,75
48,210
48,213
48,216
49,75
49,210
49,213
49,216
50,75
50,145
51,31
51,216
52,6
52,213
54,3
54,210
57,84
57,141
57,145
57,148
57,153
57,156
57,159
57,162
57,192
58,200
58,213
58,214
58,216
59,114
59,196
60,114
60,196
61,114
61,148
65,5
65,196
68,149
69,149
70,84
70,149
77,191
77,207
78,191
78,207
79,156
79,191
81,53
81,207
83,111
84,111
85,111
85,159
88,62
89,62
90,62
90,162
91,102
92,102
93,102
93,141
94,127
94,214
95,127
95,214
96,127
96,192
97,16
97,214
99,174
99,199
100,174
100,199
101,153
101,174
102,19
102,199
103,161
103,212
103,220
104,161
104,212
104,220
105,99
105,161
106,2
106,220
107,24
107,212
111,71
111,90
111,99
111,109
111,118
111,130
111,143
111,151
111,172
112,196
112,203
112,212
112,217
112,220
113,194
114,194
115,172
115,194
120,123
121,123
122,123
122,143
128,96
129,96
130,96
130,130
134,135
135,135
136,135
136,151
139,78
140,78
141,71
141,78
142,168
143,168
144,109
144,168
145,87
145,217
146,87
146,217
147,87
147,118
148,46
148,217
150,93
150,196
151,93
151,196
152,90
152,93
153,37
153,196
154,176
155,176
156,176
156,182
163,98
163,104
163,108
163,131
163,138
163,167
163,170
163,182
163,193
164,195
165,165
166,165
167,165
167,170
173,76
174,76
175,76
175,167
182,63
183,63
184,63
184,138
188,185
189,185
190,108
190,185
193,60
194,60
195,60
195,131
196,140
197,140
198,140
198,193
199,136
200,136
201,98
201,136
204,137
205,137
206,104
206,137
208,119
208,197
208,209
209,119
209,197
209,209
210,119
210,175
211,41
211,209
212,197
217,61
217,85
217,89
217,128
217,134
217,146
217,160
217,175
217,183
218,197
218,198
218,201
218,206
218,207
218,209
219,152
220,152
221,152
221,183
227,92
228,92
229,89
229,92
236,70
237,70
238,61
238,70
245,91
246,91
247,91
247,160
250,80
251,80
252,80
252,128
253,147
254,147
255,146
255,147
256,177
256,198
256,201
257,177
257,198
257,201
258,85
258,177
260,33
260,198
260,201
261,116
261,207
262,116
262,207
263,116
263,134
264,12
264,207
265,100
265,208
266,100
266,208
267,79
267,100
270,42
270,208
274,59
274,79
274,103
274,117
274,126
274,158
274,163
274,164
274,186
275,201
275,202
275,218
276,171
276,214
277,171
277,214
278,126
278,171
281,49
281,214
284,95
284,217
285,95
285,217
286,59
286,95
289,30
289,217
293,83
294,83
295,83
295,186
302,155
302,201
303,155
303,201
304,155
304,164
307,0
307,201
308,142
309,142
310,117
310,142
311,74
312,74
313,74
313,158
314,72
314,211
314,218
315,72
315,211
315,218
316,72
316,163
317,9
317,211
318,54
318,218
319,67
320,67
321,67
321,103
323,125
323,219
324,125
324,219
325,40
325,125
326,38
326,219
327,11
327,17
327,22
327,28
327,32
327,36
327,40
327,50
329,105
329,213
330,105
330,213
331,32
331,105
332,21
332,213
333,166
333,212
334,166
334,212
335,28
335,166
336,7
336,212
337,106
338,106
339,11
339,106
341,112
341,197
342,112
342,197
343,112
344,39
344,197
345,144
346,144
347,22
347,144
349,157
350,157
351,17
351,157
352,115
353,115
354,36
354,115
355,120
356,120
357,50
357,120
358,66
358,205
359,66
359,205
360,45
360,66
361,20
361,205
363,8
363,10
363,15
363,23
363,44
363,45
363,51
363,57
363,58
365,187
365,216
366,187
366,216
367,15
367,187
368,52
368,216
370,124
370,220
371,124
371,220
372,44
372,124
373,48
373,220
375,82
376,82
377,8
377,82
380,133
380,198
380,209
381,133
381,198
381,209
382,58
382,133
383,55
383,209
384,25
384,198
385,88
385,201
385,218
386,88
386,201
386,218
387,57
387,88
389,14
389,201
389,218
390,113
391,113
392,23
392,113
393,139
393,204
394,139
394,204
395,10
395,139
396,47
396,204
397,189
398,189
399,51
399,189
410,68
411,68
412,68
435,154
436,154
437,26
437,154
438,1
438,4
438,13
438,26
438,27
438,29
438,34
438,43
438,56
440,65
441,65
442,34
442,65
443,173
444,173
445,43
445,173
446,190
447,190
448,1
448,190
449,69
450,69
451,29
451,69
452,181
453,181
454,13
454,181
455,81
456,81
457,4
457,81
458,73
459,73
460,27
460,73
461,107
462,107
463,56
463,107
464,205
464,209
464,216
464,220
465,197
465,212
465,213
465,219
466,208
466,211
466,214
466,217
467,196
467,199
467,207
467,210
469,198
469,201
469,204
469,218
