time_id,lower_bound,upper_bound
0,29203.0,33276.0
1,18367.0,25567.0
2,21301.0,28501.0
3,6249.0,13449.0
4,26183.0,33383.0
5,28990.0,35193.0
6,13317.0,19776.0
7,8483.0,14942.0
8,31568.0,38768.0
9,15637.0,22837.0
10,17388.0,24588.0
11,27863.0,34322.0
12,8393.0,14596.0
13,27786.0,34986.0
14,7714.0,9582.0
15,17566.0,24025.0
16,30935.0,37138.0
17,3894.0,10353.0
18,29701.0,36901.0
19,29232.0,36432.0
20,19498.0,26698.0
21,17804.0,25004.0
22,14492.0,21419.0
23,31509.0,37674.0
24,6522.0,13722.0
25,6479.0,12938.0
26,12512.0,19712.0
27,8336.0,15536.0
28,10682.0,17882.0
29,22813.0,30013.0
30,20144.0,24132.0
31,18496.0,22484.0
32,20378.0,26837.0
33,11055.0,17514.0
34,10333.0,17533.0
35,9346.0,15741.0
36,27942.0,35142.0
37,17787.0,22823.0
38,12834.0,20034.0
39,3936.0,11136.0
40,27781.0,34981.0
41,25311.0,32511.0
42,12019.0,19219.0
43,28747.0,35947.0
44,12429.0,19629.0
45,31313.0,37772.0
46,19344.0,26165.0
47,28305.0,35505.0
48,32327.0,38786.0
49,26024.0,33224.0
50,31280.0,35844.0
51,28313.0,30545.0
52,30783.0,37983.0
53,10118.0,17318.0
54,19622.0,26822.0
55,27264.0,34464.0
56,4855.0,12055.0
57,28405.0,35605.0
58,3896.0,7884.0
59,29707.0,36166.0
60,23958.0,31158.0
61,22431.0,28890.0
62,10450.0,17650.0
63,21595.0,23827.0
64,5038.0,11497.0
