rhs,order_id,chassis_alternative,time_from,time_to,fixed_choice_coefficient
-37795.6938171387,40,41,0,1,22204.3061828613
-36936.3224029541,40,42,0,2,23063.6775970459
-37877.2937393188,40,43,0,3,22122.7062606812
-37795.6938171387,40,44,0,4,22204.3061828613
-36936.3224029541,40,45,0,5,23063.6775970459
-37795.6938171387,40,46,0,6,22204.3061828613
-37795.6938171387,40,47,0,7,22204.3061828613
-37614.4939041138,40,48,0,8,22385.5060958862
-36936.3224029541,40,49,0,9,23063.6775970459
-37795.6938171387,40,50,0,10,22204.3061828613
-37795.6938171387,40,51,0,11,22204.3061828613
-38449.0937805176,40,52,0,12,21550.9062194824
-36936.3224029541,40,53,0,13,23063.6775970459
-36936.3224029541,40,54,0,14,23063.6775970459
-37795.6938171387,40,55,0,15,22204.3061828613
-37795.6938171387,40,56,0,16,22204.3061828613
-36936.3224029541,40,57,0,17,23063.6775970459
-36936.3224029541,40,58,0,18,23063.6775970459
-36936.3224029541,40,59,0,19,23063.6775970459
-37795.6938171387,40,60,0,20,22204.3061828613
-36936.3224029541,40,61,0,21,23063.6775970459
-36936.3224029541,40,62,0,22,23063.6775970459
-36936.3224029541,40,63,0,23,23063.6775970459
-36936.3224029541,40,64,0,24,23063.6775970459
-36936.3224029541,40,65,0,25,23063.6775970459
-37795.6938171387,40,66,0,26,22204.3061828613
-36936.3224029541,40,67,0,27,23063.6775970459
-37795.6938171387,40,68,0,28,22204.3061828613
-36936.3224029541,40,69,0,29,23063.6775970459
-36936.3224029541,40,70,0,30,23063.6775970459
-36936.3224029541,40,71,0,31,23063.6775970459
-36936.3224029541,40,72,0,32,23063.6775970459
-37795.6938171387,40,73,0,33,22204.3061828613
-36936.3224029541,40,74,0,34,23063.6775970459
-37795.6938171387,40,75,0,35,22204.3061828613
-37795.6938171387,40,76,0,36,22204.3061828613
-37795.6938171387,40,77,0,37,22204.3061828613
-37795.6938171387,40,78,0,38,22204.3061828613
-36936.3224029541,40,79,0,39,23063.6775970459
-37795.6938171387,40,80,0,40,22204.3061828613
-37795.6938171387,40,81,0,41,22204.3061828613
-36936.3224029541,40,82,0,42,23063.6775970459
-36936.3224029541,40,83,0,43,23063.6775970459
-36936.3224029541,40,84,0,44,23063.6775970459
-37795.6938171387,40,85,0,45,22204.3061828613
-37877.2937393188,40,86,0,46,22122.7062606812
-36936.3224029541,40,87,0,47,23063.6775970459
-36936.3224029541,40,88,0,48,23063.6775970459
-37795.6938171387,40,89,0,49,22204.3061828613
-36936.3224029541,40,90,0,50,23063.6775970459
-36936.3224029541,40,91,0,51,23063.6775970459
-36936.3224029541,40,92,0,52,23063.6775970459
-36936.3224029541,40,93,0,53,23063.6775970459
-36936.3224029541,40,94,0,54,23063.6775970459
-37795.6938171387,40,95,0,55,22204.3061828613
-36936.3224029541,40,96,0,56,23063.6775970459
-36936.3224029541,40,97,0,57,23063.6775970459
-37795.6938171387,40,98,0,58,22204.3061828613
-37795.6938171387,40,99,0,59,22204.3061828613
-37795.6938171387,40,100,0,60,22204.3061828613
-37877.2937393188,40,101,0,61,22122.7062606812
-36936.3224029541,40,102,0,62,23063.6775970459
-36936.3224029541,40,103,0,63,23063.6775970459
-37795.6938171387,40,104,0,64,22204.3061828613
-45528.5096740723,41,40,1,0,14471.4903259277
-43400.2242279053,41,42,1,2,16599.7757720947
-45206.9096946716,41,43,1,3,14793.0903053284
-45528.5096740723,41,44,1,4,14471.4903259277
-43400.2242279053,41,45,1,5,16599.7757720947
-45528.5096740723,41,46,1,6,14471.4903259277
-45528.5096740723,41,47,1,7,14471.4903259277
-44471.309967041,41,48,1,8,15528.690032959
-43400.2242279053,41,49,1,9,16599.7757720947
-45528.5096740723,41,50,1,10,14471.4903259277
-45528.5096740723,41,51,1,11,14471.4903259277
-44838.4241867065,41,52,1,12,15161.5758132935
-43400.2242279053,41,53,1,13,16599.7757720947
-43400.2242279053,41,54,1,14,16599.7757720947
-45528.5096740723,41,55,1,15,14471.4903259277
-45528.5096740723,41,56,1,16,14471.4903259277
-43400.2242279053,41,57,1,17,16599.7757720947
-43400.2242279053,41,58,1,18,16599.7757720947
-43400.2242279053,41,59,1,19,16599.7757720947
-45528.5096740723,41,60,1,20,14471.4903259277
-43400.2242279053,41,61,1,21,16599.7757720947
-43400.2242279053,41,62,1,22,16599.7757720947
-43400.2242279053,41,63,1,23,16599.7757720947
-43400.2242279053,41,64,1,24,16599.7757720947
-43400.2242279053,41,65,1,25,16599.7757720947
-45528.5096740723,41,66,1,26,14471.4903259277
-43400.2242279053,41,67,1,27,16599.7757720947
-45528.5096740723,41,68,1,28,14471.4903259277
-43400.2242279053,41,69,1,29,16599.7757720947
-43400.2242279053,41,70,1,30,16599.7757720947
-43400.2242279053,41,71,1,31,16599.7757720947
-43400.2242279053,41,72,1,32,16599.7757720947
-45528.5096740723,41,73,1,33,14471.4903259277
-43400.2242279053,41,74,1,34,16599.7757720947
-45528.5096740723,41,75,1,35,14471.4903259277
-45528.5096740723,41,76,1,36,14471.4903259277
-45528.5096740723,41,77,1,37,14471.4903259277
-45528.5096740723,41,78,1,38,14471.4903259277
-43400.2242279053,41,79,1,39,16599.7757720947
-45528.5096740723,41,80,1,40,14471.4903259277
-45528.5096740723,41,81,1,41,14471.4903259277
-43400.2242279053,41,82,1,42,16599.7757720947
-43400.2242279053,41,83,1,43,16599.7757720947
-43400.2242279053,41,84,1,44,16599.7757720947
-45528.5096740723,41,85,1,45,14471.4903259277
-45206.9096946716,41,86,1,46,14793.0903053284
-43400.2242279053,41,87,1,47,16599.7757720947
-43400.2242279053,41,88,1,48,16599.7757720947
-45528.5096740723,41,89,1,49,14471.4903259277
-43400.2242279053,41,90,1,50,16599.7757720947
-43400.2242279053,41,91,1,51,16599.7757720947
-43400.2242279053,41,92,1,52,16599.7757720947
-43400.2242279053,41,93,1,53,16599.7757720947
-43400.2242279053,41,94,1,54,16599.7757720947
-45528.5096740723,41,95,1,55,14471.4903259277
-43400.2242279053,41,96,1,56,16599.7757720947
-43400.2242279053,41,97,1,57,16599.7757720947
-45528.5096740723,41,98,1,58,14471.4903259277
-45528.5096740723,41,99,1,59,14471.4903259277
-45528.5096740723,41,100,1,60,14471.4903259277
-45206.9096946716,41,101,1,61,14793.0903053284
-43400.2242279053,41,102,1,62,16599.7757720947
-43400.2242279053,41,103,1,63,16599.7757720947
-45528.5096740723,41,104,1,64,14471.4903259277
-40235.9820556641,42,40,2,0,19764.0179443359
-40235.9820556641,42,41,2,1,19764.0179443359
-40317.5818634033,42,43,2,3,19682.4181365967
-40235.9820556641,42,44,2,4,19764.0179443359
-42341.4688110352,42,45,2,5,17658.5311889648
-40235.9820556641,42,46,2,6,19764.0179443359
-40235.9820556641,42,47,2,7,19764.0179443359
-40054.7808837891,42,48,2,8,19945.2191162109
-42341.4688110352,42,49,2,9,17658.5311889648
-40235.9820556641,42,50,2,10,19764.0179443359
-40235.9820556641,42,51,2,11,19764.0179443359
-40831.782989502,42,52,2,12,19168.217010498
-42341.4688110352,42,53,2,13,17658.5311889648
-42341.4688110352,42,54,2,14,17658.5311889648
-40235.9820556641,42,55,2,15,19764.0179443359
-40235.9820556641,42,56,2,16,19764.0179443359
-42341.4688110352,42,57,2,17,17658.5311889648
-42341.4688110352,42,58,2,18,17658.5311889648
-42341.4688110352,42,59,2,19,17658.5311889648
-40235.9820556641,42,60,2,20,19764.0179443359
-42341.4688110352,42,61,2,21,17658.5311889648
-42341.4688110352,42,62,2,22,17658.5311889648
-42341.4688110352,42,63,2,23,17658.5311889648
-42341.4688110352,42,64,2,24,17658.5311889648
-42341.4688110352,42,65,2,25,17658.5311889648
-40235.9820556641,42,66,2,26,19764.0179443359
-42341.4688110352,42,67,2,27,17658.5311889648
-40235.9820556641,42,68,2,28,19764.0179443359
-42341.4688110352,42,69,2,29,17658.5311889648
-42341.4688110352,42,70,2,30,17658.5311889648
-42341.4688110352,42,71,2,31,17658.5311889648
-42341.4688110352,42,72,2,32,17658.5311889648
-40235.9820556641,42,73,2,33,19764.0179443359
-42341.4688110352,42,74,2,34,17658.5311889648
-40235.9820556641,42,75,2,35,19764.0179443359
-40235.9820556641,42,76,2,36,19764.0179443359
-40235.9820556641,42,77,2,37,19764.0179443359
-40235.9820556641,42,78,2,38,19764.0179443359
-42341.4688110352,42,79,2,39,17658.5311889648
-40235.9820556641,42,80,2,40,19764.0179443359
-40235.9820556641,42,81,2,41,19764.0179443359
-42341.4688110352,42,82,2,42,17658.5311889648
-42341.4688110352,42,83,2,43,17658.5311889648
-42341.4688110352,42,84,2,44,17658.5311889648
-40235.9820556641,42,85,2,45,19764.0179443359
-40317.5818634033,42,86,2,46,19682.4181365967
-42341.4688110352,42,87,2,47,17658.5311889648
-42341.4688110352,42,88,2,48,17658.5311889648
-40235.9820556641,42,89,2,49,19764.0179443359
-42341.4688110352,42,90,2,50,17658.5311889648
-42341.4688110352,42,91,2,51,17658.5311889648
