chassis_id,time_id,assignment_coefficient
40,0,38400.6003570557
41,1,38400.6003570557
42,2,37358.3999633789
43,3,38482.2003936768
44,4,38400.6003570557
45,5,37358.3999633789
46,6,38400.6003570557
47,7,38400.6003570557
48,8,38683.800201416
49,9,37358.3999633789
50,10,38400.6003570557
51,11,38400.6003570557
52,12,38546.9145584106
53,13,37358.3999633789
54,14,37358.3999633789
55,15,38400.6003570557
56,16,38400.6003570557
57,17,37358.3999633789
58,18,37358.3999633789
59,19,37358.3999633789
60,20,38400.6003570557
61,21,37358.3999633789
62,22,37358.3999633789
63,23,37358.3999633789
64,24,37358.3999633789
65,25,37358.3999633789
66,26,38400.6003570557
67,27,37358.3999633789
68,28,38400.6003570557
69,29,37358.3999633789
70,30,37358.3999633789
71,31,37358.3999633789
72,32,37358.3999633789
73,33,38400.6003570557
74,34,37358.3999633789
75,35,38400.6003570557
76,36,38400.6003570557
77,37,38400.6003570557
78,38,38400.6003570557
79,39,37358.3999633789
80,40,38400.6003570557
81,41,38400.6003570557
82,42,37358.3999633789
83,43,37358.3999633789
84,44,37358.3999633789
85,45,38400.6003570557
86,46,38482.2003936768
87,47,37358.3999633789
88,48,37358.3999633789
89,49,38400.6003570557
90,50,37358.3999633789
91,51,37358.3999633789
92,52,37358.3999633789
93,53,37358.3999633789
94,54,37358.3999633789
95,55,38400.6003570557
96,56,37358.3999633789
97,57,37358.3999633789
98,58,38400.6003570557
99,59,38400.6003570557
100,60,38400.6003570557
101,61,38482.2003936768
102,62,37358.3999633789
103,63,37358.3999633789
104,64,38400.6003570557
