cell_id,row,col,initial_state
1,1,1,1
2,1,2,0
3,1,3,0
4,1,4,0
5,1,5,0
6,1,6,0
7,1,7,0
8,1,8,0
9,1,9,0
10,2,1,0
11,2,2,0
12,2,3,0
13,2,4,0
14,2,5,0
15,2,6,0
16,2,7,0
17,2,8,0
18,2,9,0
19,3,1,0
20,3,2,0
21,3,3,0
22,3,4,0
23,3,5,0
24,3,6,0
25,3,7,0
26,3,8,0
27,3,9,0
28,4,1,0
29,4,2,0
30,4,3,0
31,4,4,0
32,4,5,0
33,4,6,0
34,4,7,0
35,4,8,0
36,4,9,0
37,5,1,0
38,5,2,0
39,5,3,0
40,5,4,0
41,5,5,0
42,5,6,0
43,5,7,0
44,5,8,0
45,5,9,0
46,6,1,0
47,6,2,0
48,6,3,0
49,6,4,0
50,6,5,0
51,6,6,0
52,6,7,0
53,6,8,0
54,6,9,0
55,7,1,0
56,7,2,0
57,7,3,0
58,7,4,0
59,7,5,0
60,7,6,0
61,7,7,0
62,7,8,0
63,7,9,0
64,8,1,0
65,8,2,0
66,8,3,0
67,8,4,0
68,8,5,0
69,8,6,0
70,8,7,0
71,8,8,0
72,8,9,0
73,9,1,0
74,9,2,0
75,9,3,0
76,9,4,0
77,9,5,0
78,9,6,0
79,9,7,0
80,9,8,0
81,9,9,0
