move_id,move_row,move_col,cell_id,cell_row,cell_col
1,1,1,1,1,1
2,1,2,1,1,1
10,2,1,1,1,1
1,1,1,2,1,2
2,1,2,2,1,2
3,1,3,2,1,2
11,2,2,2,1,2
2,1,2,3,1,3
3,1,3,3,1,3
4,1,4,3,1,3
12,2,3,3,1,3
3,1,3,4,1,4
4,1,4,4,1,4
5,1,5,4,1,4
13,2,4,4,1,4
4,1,4,5,1,5
5,1,5,5,1,5
6,1,6,5,1,5
14,2,5,5,1,5
5,1,5,6,1,6
6,1,6,6,1,6
7,1,7,6,1,6
15,2,6,6,1,6
6,1,6,7,1,7
7,1,7,7,1,7
8,1,8,7,1,7
16,2,7,7,1,7
7,1,7,8,1,8
8,1,8,8,1,8
9,1,9,8,1,8
17,2,8,8,1,8
8,1,8,9,1,9
9,1,9,9,1,9
18,2,9,9,1,9
1,1,1,10,2,1
10,2,1,10,2,1
11,2,2,10,2,1
19,3,1,10,2,1
2,1,2,11,2,2
10,2,1,11,2,2
11,2,2,11,2,2
12,2,3,11,2,2
20,3,2,11,2,2
3,1,3,12,2,3
11,2,2,12,2,3
12,2,3,12,2,3
13,2,4,12,2,3
21,3,3,12,2,3
4,1,4,13,2,4
12,2,3,13,2,4
13,2,4,13,2,4
14,2,5,13,2,4
22,3,4,13,2,4
5,1,5,14,2,5
13,2,4,14,2,5
14,2,5,14,2,5
15,2,6,14,2,5
23,3,5,14,2,5
6,1,6,15,2,6
14,2,5,15,2,6
15,2,6,15,2,6
16,2,7,15,2,6
24,3,6,15,2,6
7,1,7,16,2,7
15,2,6,16,2,7
16,2,7,16,2,7
17,2,8,16,2,7
25,3,7,16,2,7
8,1,8,17,2,8
16,2,7,17,2,8
17,2,8,17,2,8
18,2,9,17,2,8
26,3,8,17,2,8
9,1,9,18,2,9
17,2,8,18,2,9
18,2,9,18,2,9
27,3,9,18,2,9
10,2,1,19,3,1
19,3,1,19,3,1
20,3,2,19,3,1
28,4,1,19,3,1
11,2,2,20,3,2
19,3,1,20,3,2
20,3,2,20,3,2
21,3,3,20,3,2
29,4,2,20,3,2
12,2,3,21,3,3
20,3,2,21,3,3
21,3,3,21,3,3
22,3,4,21,3,3
30,4,3,21,3,3
13,2,4,22,3,4
21,3,3,22,3,4
22,3,4,22,3,4
23,3,5,22,3,4
31,4,4,22,3,4
14,2,5,23,3,5
22,3,4,23,3,5
23,3,5,23,3,5
24,3,6,23,3,5
32,4,5,23,3,5
15,2,6,24,3,6
23,3,5,24,3,6
24,3,6,24,3,6
25,3,7,24,3,6
33,4,6,24,3,6
16,2,7,25,3,7
24,3,6,25,3,7
25,3,7,25,3,7
26,3,8,25,3,7
34,4,7,25,3,7
17,2,8,26,3,8
25,3,7,26,3,8
26,3,8,26,3,8
27,3,9,26,3,8
35,4,8,26,3,8
18,2,9,27,3,9
26,3,8,27,3,9
27,3,9,27,3,9
36,4,9,27,3,9
19,3,1,28,4,1
28,4,1,28,4,1
29,4,2,28,4,1
37,5,1,28,4,1
20,3,2,29,4,2
28,4,1,29,4,2
29,4,2,29,4,2
30,4,3,29,4,2
38,5,2,29,4,2
21,3,3,30,4,3
29,4,2,30,4,3
30,4,3,30,4,3
31,4,4,30,4,3
39,5,3,30,4,3
22,3,4,31,4,4
30,4,3,31,4,4
31,4,4,31,4,4
32,4,5,31,4,4
40,5,4,31,4,4
23,3,5,32,4,5
31,4,4,32,4,5
32,4,5,32,4,5
33,4,6,32,4,5
41,5,5,32,4,5
24,3,6,33,4,6
32,4,5,33,4,6
33,4,6,33,4,6
34,4,7,33,4,6
42,5,6,33,4,6
25,3,7,34,4,7
33,4,6,34,4,7
34,4,7,34,4,7
35,4,8,34,4,7
43,5,7,34,4,7
26,3,8,35,4,8
34,4,7,35,4,8
35,4,8,35,4,8
36,4,9,35,4,8
44,5,8,35,4,8
27,3,9,36,4,9
35,4,8,36,4,9
36,4,9,36,4,9
45,5,9,36,4,9
28,4,1,37,5,1
37,5,1,37,5,1
38,5,2,37,5,1
46,6,1,37,5,1
29,4,2,38,5,2
37,5,1,38,5,2
38,5,2,38,5,2
39,5,3,38,5,2
47,6,2,38,5,2
30,4,3,39,5,3
38,5,2,39,5,3
39,5,3,39,5,3
40,5,4,39,5,3
48,6,3,39,5,3
31,4,4,40,5,4
39,5,3,40,5,4
40,5,4,40,5,4
41,5,5,40,5,4
49,6,4,40,5,4
32,4,5,41,5,5
40,5,4,41,5,5
41,5,5,41,5,5
42,5,6,41,5,5
50,6,5,41,5,5
33,4,6,42,5,6
41,5,5,42,5,6
42,5,6,42,5,6
43,5,7,42,5,6
51,6,6,42,5,6
34,4,7,43,5,7
42,5,6,43,5,7
43,5,7,43,5,7
44,5,8,43,5,7
52,6,7,43,5,7
35,4,8,44,5,8
43,5,7,44,5,8
44,5,8,44,5,8
45,5,9,44,5,8
53,6,8,44,5,8
36,4,9,45,5,9
44,5,8,45,5,9
45,5,9,45,5,9
54,6,9,45,5,9
37,5,1,46,6,1
46,6,1,46,6,1
47,6,2,46,6,1
55,7,1,46,6,1
38,5,2,47,6,2
46,6,1,47,6,2
47,6,2,47,6,2
48,6,3,47,6,2
56,7,2,47,6,2
39,5,3,48,6,3
47,6,2,48,6,3
48,6,3,48,6,3
49,6,4,48,6,3
57,7,3,48,6,3
40,5,4,49,6,4
48,6,3,49,6,4
49,6,4,49,6,4
50,6,5,49,6,4
58,7,4,49,6,4
41,5,5,50,6,5
49,6,4,50,6,5
50,6,5,50,6,5
51,6,6,50,6,5
59,7,5,50,6,5
42,5,6,51,6,6
50,6,5,51,6,6
51,6,6,51,6,6
52,6,7,51,6,6
60,7,6,51,6,6
43,5,7,52,6,7
51,6,6,52,6,7
52,6,7,52,6,7
53,6,8,52,6,7
61,7,7,52,6,7
44,5,8,53,6,8
52,6,7,53,6,8
53,6,8,53,6,8
54,6,9,53,6,8
62,7,8,53,6,8
45,5,9,54,6,9
53,6,8,54,6,9
54,6,9,54,6,9
63,7,9,54,6,9
46,6,1,55,7,1
55,7,1,55,7,1
56,7,2,55,7,1
64,8,1,55,7,1
47,6,2,56,7,2
55,7,1,56,7,2
56,7,2,56,7,2
57,7,3,56,7,2
65,8,2,56,7,2
48,6,3,57,7,3
56,7,2,57,7,3
57,7,3,57,7,3
58,7,4,57,7,3
66,8,3,57,7,3
49,6,4,58,7,4
57,7,3,58,7,4
58,7,4,58,7,4
59,7,5,58,7,4
67,8,4,58,7,4
50,6,5,59,7,5
58,7,4,59,7,5
59,7,5,59,7,5
60,7,6,59,7,5
68,8,5,59,7,5
51,6,6,60,7,6
59,7,5,60,7,6
60,7,6,60,7,6
61,7,7,60,7,6
69,8,6,60,7,6
52,6,7,61,7,7
60,7,6,61,7,7
61,7,7,61,7,7
62,7,8,61,7,7
70,8,7,61,7,7
53,6,8,62,7,8
61,7,7,62,7,8
62,7,8,62,7,8
63,7,9,62,7,8
71,8,8,62,7,8
54,6,9,63,7,9
62,7,8,63,7,9
63,7,9,63,7,9
72,8,9,63,7,9
55,7,1,64,8,1
64,8,1,64,8,1
65,8,2,64,8,1
73,9,1,64,8,1
56,7,2,65,8,2
64,8,1,65,8,2
65,8,2,65,8,2
66,8,3,65,8,2
74,9,2,65,8,2
57,7,3,66,8,3
65,8,2,66,8,3
66,8,3,66,8,3
67,8,4,66,8,3
75,9,3,66,8,3
58,7,4,67,8,4
66,8,3,67,8,4
67,8,4,67,8,4
68,8,5,67,8,4
76,9,4,67,8,4
59,7,5,68,8,5
67,8,4,68,8,5
68,8,5,68,8,5
69,8,6,68,8,5
77,9,5,68,8,5
60,7,6,69,8,6
68,8,5,69,8,6
69,8,6,69,8,6
70,8,7,69,8,6
78,9,6,69,8,6
61,7,7,70,8,7
69,8,6,70,8,7
70,8,7,70,8,7
71,8,8,70,8,7
79,9,7,70,8,7
62,7,8,71,8,8
70,8,7,71,8,8
71,8,8,71,8,8
72,8,9,71,8,8
80,9,8,71,8,8
63,7,9,72,8,9
71,8,8,72,8,9
72,8,9,72,8,9
81,9,9,72,8,9
64,8,1,73,9,1
73,9,1,73,9,1
74,9,2,73,9,1
65,8,2,74,9,2
73,9,1,74,9,2
74,9,2,74,9,2
75,9,3,74,9,2
66,8,3,75,9,3
74,9,2,75,9,3
75,9,3,75,9,3
76,9,4,75,9,3
67,8,4,76,9,4
75,9,3,76,9,4
76,9,4,76,9,4
77,9,5,76,9,4
68,8,5,77,9,5
76,9,4,77,9,5
77,9,5,77,9,5
78,9,6,77,9,5
69,8,6,78,9,6
77,9,5,78,9,6
78,9,6,78,9,6
79,9,7,78,9,6
70,8,7,79,9,7
78,9,6,79,9,7
79,9,7,79,9,7
80,9,8,79,9,7
71,8,8,80,9,8
79,9,7,80,9,8
80,9,8,80,9,8
81,9,9,80,9,8
72,8,9,81,9,9
80,9,8,81,9,9
81,9,9,81,9,9
