move_id,move_row,move_col
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,2,1
11,2,2
12,2,3
13,2,4
14,2,5
15,2,6
16,2,7
17,2,8
18,2,9
19,3,1
20,3,2
21,3,3
22,3,4
23,3,5
24,3,6
25,3,7
26,3,8
27,3,9
28,4,1
29,4,2
30,4,3
31,4,4
32,4,5
33,4,6
34,4,7
35,4,8
36,4,9
37,5,1
38,5,2
39,5,3
40,5,4
41,5,5
42,5,6
43,5,7
44,5,8
45,5,9
46,6,1
47,6,2
48,6,3
49,6,4
50,6,5
51,6,6
52,6,7
53,6,8
54,6,9
55,7,1
56,7,2
57,7,3
58,7,4
59,7,5
60,7,6
61,7,7
62,7,8
63,7,9
64,8,1
65,8,2
66,8,3
67,8,4
68,8,5
69,8,6
70,8,7
71,8,8
72,8,9
73,9,1
74,9,2
75,9,3
76,9,4
77,9,5
78,9,6
79,9,7
80,9,8
81,9,9
