cell_id,row,col,initial_state
1,1,1,1
2,1,2,0
3,1,3,0
4,1,4,0
5,1,5,0
6,1,6,0
7,1,7,0
8,1,8,1
9,1,9,0
10,1,10,0
11,2,1,0
12,2,2,0
13,2,3,0
14,2,4,0
15,2,5,0
16,2,6,0
17,2,7,1
18,2,8,0
19,2,9,0
20,2,10,0
21,3,1,0
22,3,2,1
23,3,3,0
24,3,4,0
25,3,5,1
26,3,6,1
27,3,7,0
28,3,8,0
29,3,9,0
30,3,10,1
31,4,1,0
32,4,2,0
33,4,3,0
34,4,4,0
35,4,5,0
36,4,6,0
37,4,7,0
38,4,8,1
39,4,9,0
40,4,10,0
41,5,1,1
42,5,2,0
43,5,3,0
44,5,4,0
45,5,5,0
46,5,6,1
47,5,7,0
48,5,8,0
49,5,9,0
50,5,10,0
51,6,1,0
52,6,2,0
53,6,3,1
54,6,4,0
55,6,5,0
56,6,6,0
57,6,7,0
58,6,8,1
59,6,9,0
60,6,10,0
61,7,1,0
62,7,2,0
63,7,3,0
64,7,4,1
65,7,5,0
66,7,6,0
67,7,7,1
68,7,8,0
69,7,9,1
70,7,10,0
71,8,1,1
72,8,2,0
73,8,3,0
74,8,4,0
75,8,5,1
76,8,6,0
77,8,7,0
78,8,8,1
79,8,9,0
80,8,10,1
81,9,1,0
82,9,2,1
83,9,3,0
84,9,4,0
85,9,5,0
86,9,6,0
87,9,7,1
88,9,8,1
89,9,9,0
90,9,10,1
91,10,1,1
92,10,2,0
93,10,3,1
94,10,4,1
95,10,5,1
96,10,6,0
97,10,7,1
98,10,8,0
99,10,9,1
100,10,10,0
