move_id,move_row,move_col,cell_id,cell_row,cell_col
1,1,1,1,1,1
2,1,2,1,1,1
11,2,1,1,1,1
1,1,1,2,1,2
2,1,2,2,1,2
3,1,3,2,1,2
12,2,2,2,1,2
2,1,2,3,1,3
3,1,3,3,1,3
4,1,4,3,1,3
13,2,3,3,1,3
3,1,3,4,1,4
4,1,4,4,1,4
5,1,5,4,1,4
14,2,4,4,1,4
4,1,4,5,1,5
5,1,5,5,1,5
6,1,6,5,1,5
15,2,5,5,1,5
5,1,5,6,1,6
6,1,6,6,1,6
7,1,7,6,1,6
16,2,6,6,1,6
6,1,6,7,1,7
7,1,7,7,1,7
8,1,8,7,1,7
17,2,7,7,1,7
7,1,7,8,1,8
8,1,8,8,1,8
9,1,9,8,1,8
18,2,8,8,1,8
8,1,8,9,1,9
9,1,9,9,1,9
10,1,10,9,1,9
19,2,9,9,1,9
9,1,9,10,1,10
10,1,10,10,1,10
20,2,10,10,1,10
1,1,1,11,2,1
11,2,1,11,2,1
12,2,2,11,2,1
21,3,1,11,2,1
2,1,2,12,2,2
11,2,1,12,2,2
12,2,2,12,2,2
13,2,3,12,2,2
22,3,2,12,2,2
3,1,3,13,2,3
12,2,2,13,2,3
13,2,3,13,2,3
14,2,4,13,2,3
23,3,3,13,2,3
4,1,4,14,2,4
13,2,3,14,2,4
14,2,4,14,2,4
15,2,5,14,2,4
24,3,4,14,2,4
5,1,5,15,2,5
14,2,4,15,2,5
15,2,5,15,2,5
16,2,6,15,2,5
25,3,5,15,2,5
6,1,6,16,2,6
15,2,5,16,2,6
16,2,6,16,2,6
17,2,7,16,2,6
26,3,6,16,2,6
7,1,7,17,2,7
16,2,6,17,2,7
17,2,7,17,2,7
18,2,8,17,2,7
27,3,7,17,2,7
8,1,8,18,2,8
17,2,7,18,2,8
18,2,8,18,2,8
19,2,9,18,2,8
28,3,8,18,2,8
9,1,9,19,2,9
18,2,8,19,2,9
19,2,9,19,2,9
20,2,10,19,2,9
29,3,9,19,2,9
10,1,10,20,2,10
19,2,9,20,2,10
20,2,10,20,2,10
30,3,10,20,2,10
11,2,1,21,3,1
21,3,1,21,3,1
22,3,2,21,3,1
31,4,1,21,3,1
12,2,2,22,3,2
21,3,1,22,3,2
22,3,2,22,3,2
23,3,3,22,3,2
32,4,2,22,3,2
13,2,3,23,3,3
22,3,2,23,3,3
23,3,3,23,3,3
24,3,4,23,3,3
33,4,3,23,3,3
14,2,4,24,3,4
23,3,3,24,3,4
24,3,4,24,3,4
25,3,5,24,3,4
34,4,4,24,3,4
15,2,5,25,3,5
24,3,4,25,3,5
25,3,5,25,3,5
26,3,6,25,3,5
35,4,5,25,3,5
16,2,6,26,3,6
25,3,5,26,3,6
26,3,6,26,3,6
27,3,7,26,3,6
36,4,6,26,3,6
17,2,7,27,3,7
26,3,6,27,3,7
27,3,7,27,3,7
28,3,8,27,3,7
37,4,7,27,3,7
18,2,8,28,3,8
27,3,7,28,3,8
28,3,8,28,3,8
29,3,9,28,3,8
38,4,8,28,3,8
19,2,9,29,3,9
28,3,8,29,3,9
29,3,9,29,3,9
30,3,10,29,3,9
39,4,9,29,3,9
20,2,10,30,3,10
29,3,9,30,3,10
30,3,10,30,3,10
40,4,10,30,3,10
21,3,1,31,4,1
31,4,1,31,4,1
32,4,2,31,4,1
41,5,1,31,4,1
22,3,2,32,4,2
31,4,1,32,4,2
32,4,2,32,4,2
33,4,3,32,4,2
42,5,2,32,4,2
23,3,3,33,4,3
32,4,2,33,4,3
33,4,3,33,4,3
34,4,4,33,4,3
43,5,3,33,4,3
24,3,4,34,4,4
33,4,3,34,4,4
34,4,4,34,4,4
35,4,5,34,4,4
44,5,4,34,4,4
25,3,5,35,4,5
34,4,4,35,4,5
35,4,5,35,4,5
36,4,6,35,4,5
45,5,5,35,4,5
26,3,6,36,4,6
35,4,5,36,4,6
36,4,6,36,4,6
37,4,7,36,4,6
46,5,6,36,4,6
27,3,7,37,4,7
36,4,6,37,4,7
37,4,7,37,4,7
38,4,8,37,4,7
47,5,7,37,4,7
28,3,8,38,4,8
37,4,7,38,4,8
38,4,8,38,4,8
39,4,9,38,4,8
48,5,8,38,4,8
29,3,9,39,4,9
38,4,8,39,4,9
39,4,9,39,4,9
40,4,10,39,4,9
49,5,9,39,4,9
30,3,10,40,4,10
39,4,9,40,4,10
40,4,10,40,4,10
50,5,10,40,4,10
31,4,1,41,5,1
41,5,1,41,5,1
42,5,2,41,5,1
51,6,1,41,5,1
32,4,2,42,5,2
41,5,1,42,5,2
42,5,2,42,5,2
43,5,3,42,5,2
52,6,2,42,5,2
33,4,3,43,5,3
42,5,2,43,5,3
43,5,3,43,5,3
44,5,4,43,5,3
53,6,3,43,5,3
34,4,4,44,5,4
43,5,3,44,5,4
44,5,4,44,5,4
45,5,5,44,5,4
54,6,4,44,5,4
35,4,5,45,5,5
44,5,4,45,5,5
45,5,5,45,5,5
46,5,6,45,5,5
55,6,5,45,5,5
36,4,6,46,5,6
45,5,5,46,5,6
46,5,6,46,5,6
47,5,7,46,5,6
56,6,6,46,5,6
37,4,7,47,5,7
46,5,6,47,5,7
47,5,7,47,5,7
48,5,8,47,5,7
57,6,7,47,5,7
38,4,8,48,5,8
47,5,7,48,5,8
48,5,8,48,5,8
49,5,9,48,5,8
58,6,8,48,5,8
39,4,9,49,5,9
48,5,8,49,5,9
49,5,9,49,5,9
50,5,10,49,5,9
59,6,9,49,5,9
40,4,10,50,5,10
49,5,9,50,5,10
50,5,10,50,5,10
60,6,10,50,5,10
41,5,1,51,6,1
51,6,1,51,6,1
52,6,2,51,6,1
61,7,1,51,6,1
42,5,2,52,6,2
51,6,1,52,6,2
52,6,2,52,6,2
53,6,3,52,6,2
62,7,2,52,6,2
43,5,3,53,6,3
52,6,2,53,6,3
53,6,3,53,6,3
54,6,4,53,6,3
63,7,3,53,6,3
44,5,4,54,6,4
53,6,3,54,6,4
54,6,4,54,6,4
55,6,5,54,6,4
64,7,4,54,6,4
45,5,5,55,6,5
54,6,4,55,6,5
55,6,5,55,6,5
56,6,6,55,6,5
65,7,5,55,6,5
46,5,6,56,6,6
55,6,5,56,6,6
56,6,6,56,6,6
57,6,7,56,6,6
66,7,6,56,6,6
47,5,7,57,6,7
56,6,6,57,6,7
57,6,7,57,6,7
58,6,8,57,6,7
67,7,7,57,6,7
48,5,8,58,6,8
57,6,7,58,6,8
58,6,8,58,6,8
59,6,9,58,6,8
68,7,8,58,6,8
49,5,9,59,6,9
58,6,8,59,6,9
59,6,9,59,6,9
60,6,10,59,6,9
69,7,9,59,6,9
50,5,10,60,6,10
59,6,9,60,6,10
60,6,10,60,6,10
70,7,10,60,6,10
51,6,1,61,7,1
61,7,1,61,7,1
62,7,2,61,7,1
71,8,1,61,7,1
52,6,2,62,7,2
61,7,1,62,7,2
62,7,2,62,7,2
63,7,3,62,7,2
72,8,2,62,7,2
53,6,3,63,7,3
62,7,2,63,7,3
63,7,3,63,7,3
64,7,4,63,7,3
73,8,3,63,7,3
54,6,4,64,7,4
63,7,3,64,7,4
64,7,4,64,7,4
65,7,5,64,7,4
74,8,4,64,7,4
55,6,5,65,7,5
64,7,4,65,7,5
65,7,5,65,7,5
66,7,6,65,7,5
75,8,5,65,7,5
56,6,6,66,7,6
65,7,5,66,7,6
66,7,6,66,7,6
67,7,7,66,7,6
76,8,6,66,7,6
57,6,7,67,7,7
66,7,6,67,7,7
67,7,7,67,7,7
68,7,8,67,7,7
77,8,7,67,7,7
58,6,8,68,7,8
67,7,7,68,7,8
68,7,8,68,7,8
69,7,9,68,7,8
78,8,8,68,7,8
59,6,9,69,7,9
68,7,8,69,7,9
69,7,9,69,7,9
70,7,10,69,7,9
79,8,9,69,7,9
60,6,10,70,7,10
69,7,9,70,7,10
70,7,10,70,7,10
80,8,10,70,7,10
61,7,1,71,8,1
71,8,1,71,8,1
72,8,2,71,8,1
81,9,1,71,8,1
62,7,2,72,8,2
71,8,1,72,8,2
72,8,2,72,8,2
73,8,3,72,8,2
82,9,2,72,8,2
63,7,3,73,8,3
72,8,2,73,8,3
73,8,3,73,8,3
74,8,4,73,8,3
83,9,3,73,8,3
64,7,4,74,8,4
73,8,3,74,8,4
74,8,4,74,8,4
75,8,5,74,8,4
84,9,4,74,8,4
65,7,5,75,8,5
74,8,4,75,8,5
75,8,5,75,8,5
76,8,6,75,8,5
85,9,5,75,8,5
66,7,6,76,8,6
75,8,5,76,8,6
76,8,6,76,8,6
77,8,7,76,8,6
86,9,6,76,8,6
67,7,7,77,8,7
76,8,6,77,8,7
77,8,7,77,8,7
78,8,8,77,8,7
87,9,7,77,8,7
68,7,8,78,8,8
77,8,7,78,8,8
78,8,8,78,8,8
79,8,9,78,8,8
88,9,8,78,8,8
69,7,9,79,8,9
78,8,8,79,8,9
79,8,9,79,8,9
80,8,10,79,8,9
89,9,9,79,8,9
70,7,10,80,8,10
79,8,9,80,8,10
80,8,10,80,8,10
90,9,10,80,8,10
71,8,1,81,9,1
81,9,1,81,9,1
82,9,2,81,9,1
91,10,1,81,9,1
72,8,2,82,9,2
81,9,1,82,9,2
82,9,2,82,9,2
83,9,3,82,9,2
92,10,2,82,9,2
73,8,3,83,9,3
82,9,2,83,9,3
83,9,3,83,9,3
84,9,4,83,9,3
93,10,3,83,9,3
74,8,4,84,9,4
83,9,3,84,9,4
84,9,4,84,9,4
85,9,5,84,9,4
94,10,4,84,9,4
75,8,5,85,9,5
84,9,4,85,9,5
85,9,5,85,9,5
86,9,6,85,9,5
95,10,5,85,9,5
76,8,6,86,9,6
85,9,5,86,9,6
86,9,6,86,9,6
87,9,7,86,9,6
96,10,6,86,9,6
77,8,7,87,9,7
86,9,6,87,9,7
87,9,7,87,9,7
88,9,8,87,9,7
97,10,7,87,9,7
78,8,8,88,9,8
87,9,7,88,9,8
88,9,8,88,9,8
89,9,9,88,9,8
98,10,8,88,9,8
79,8,9,89,9,9
88,9,8,89,9,9
89,9,9,89,9,9
90,9,10,89,9,9
99,10,9,89,9,9
80,8,10,90,9,10
89,9,9,90,9,10
90,9,10,90,9,10
100,10,10,90,9,10
81,9,1,91,10,1
91,10,1,91,10,1
92,10,2,91,10,1
82,9,2,92,10,2
91,10,1,92,10,2
92,10,2,92,10,2
93,10,3,92,10,2
83,9,3,93,10,3
92,10,2,93,10,3
93,10,3,93,10,3
94,10,4,93,10,3
84,9,4,94,10,4
93,10,3,94,10,4
94,10,4,94,10,4
95,10,5,94,10,4
85,9,5,95,10,5
94,10,4,95,10,5
95,10,5,95,10,5
96,10,6,95,10,5
86,9,6,96,10,6
95,10,5,96,10,6
96,10,6,96,10,6
97,10,7,96,10,6
87,9,7,97,10,7
96,10,6,97,10,7
97,10,7,97,10,7
98,10,8,97,10,7
88,9,8,98,10,8
97,10,7,98,10,8
98,10,8,98,10,8
99,10,9,98,10,8
89,9,9,99,10,9
98,10,8,99,10,9
99,10,9,99,10,9
100,10,10,99,10,9
90,9,10,100,10,10
99,10,9,100,10,10
100,10,10,100,10,10
