piece_id,top_edge,right_edge,bottom_edge,left_edge
0,9,15,20,9
1,19,16,0,28
2,11,18,26,8
3,10,20,17,0
4,9,20,3,9
5,21,13,14,0
6,17,0,14,15
7,9,13,15,19
8,17,0,10,29
9,15,29,12,15
10,6,0,24,20
11,18,21,0,4
12,22,0,2,15
13,3,5,20,30
14,26,13,11,19
15,19,20,19,20
16,5,20,1,3
17,1,8,15,15
18,20,15,30,29
19,0,21,20,22
20,19,15,13,11
21,10,0,0,25
22,12,13,8,9
23,25,0,10,26
24,11,5,3,30
25,29,13,3,13
26,15,24,0,22
27,7,18,11,11
28,29,13,26,5
29,1,8,26,30
30,14,13,14,0
31,20,15,19,13
32,24,0,28,7
33,18,15,1,20
34,5,19,7,29
35,30,5,20,18
36,7,9,3,29
37,30,20,20,15
38,28,3,6,0
39,1,8,30,12
40,6,5,27,0
41,0,6,10,0
42,13,1,18,5
43,13,23,0,22
44,13,5,13,8
45,5,13,5,7
46,29,8,29,3
47,18,10,0,14
48,20,30,1,13
49,9,20,7,7
50,26,12,30,15
51,23,19,28,0
52,3,19,5,11
53,24,1,10,0
54,19,29,30,30
55,13,30,8,30
56,17,0,27,8
57,0,0,17,28
58,28,0,17,29
59,7,5,29,7
60,5,7,15,7
61,7,26,30,7
62,7,4,0,17
63,26,18,9,19
64,12,19,8,11
65,18,5,12,15
66,7,18,7,3
67,7,11,20,13
68,20,5,26,11
69,0,14,1,2
70,17,0,4,5
71,9,11,15,12
72,7,3,20,8
73,5,1,9,15
74,11,3,19,12
75,0,17,14,0
76,0,17,15,17
77,26,15,15,18
78,4,0,16,8
79,17,9,14,0
80,10,18,21,0
