product_id,period,production_cost,setup_cost,holding_cost,backlog_cost
1,1,4.0,3000.0,1.0,1.0
1,2,9.0,4000.0,5.0,6.0
1,3,7.0,2000.0,4.0,6.0
1,4,4.0,500.0,3.0,1.0
1,5,7.0,4500.0,2.0,1.0
1,6,6.0,500.0,3.0,6.0
1,7,4.0,500.0,3.0,1.0
1,8,3.0,3500.0,2.0,6.0
1,9,7.0,4000.0,2.0,6.0
1,10,9.0,3000.0,3.0,6.0
1,11,4.0,1000.0,4.0,1.0
1,12,4.0,500.0,4.0,1.0
1,13,2.0,1000.0,1.0,1.0
1,14,8.0,5000.0,3.0,6.0
1,15,1.0,2500.0,4.0,1.0
1,16,4.0,3000.0,3.0,6.0
1,17,10.0,2000.0,5.0,1.0
1,18,4.0,3000.0,4.0,1.0
1,19,8.0,4500.0,5.0,1.0
1,20,7.0,2000.0,5.0,6.0
1,21,8.0,2000.0,1.0,1.0
1,22,6.0,1500.0,2.0,6.0
1,23,6.0,5000.0,4.0,6.0
1,24,1.0,1500.0,2.0,6.0
1,25,10.0,4500.0,4.0,1.0
1,26,8.0,1500.0,3.0,6.0
1,27,10.0,1500.0,2.0,6.0
1,28,3.0,2000.0,5.0,6.0
1,29,4.0,1500.0,2.0,1.0
1,30,5.0,2500.0,2.0,6.0
1,31,7.0,5000.0,1.0,6.0
1,32,2.0,4000.0,5.0,1.0
1,33,6.0,2500.0,1.0,1.0
1,34,4.0,1500.0,4.0,1.0
1,35,4.0,1000.0,1.0,6.0
1,36,8.0,1500.0,1.0,6.0
1,37,5.0,2500.0,2.0,1.0
1,38,5.0,5000.0,3.0,6.0
1,39,5.0,2500.0,4.0,6.0
1,40,4.0,2000.0,5.0,1.0
1,41,5.0,1500.0,5.0,1.0
1,42,8.0,3000.0,4.0,1.0
1,43,8.0,1000.0,2.0,1.0
1,44,1.0,500.0,5.0,6.0
1,45,4.0,2500.0,1.0,1.0
1,46,7.0,1000.0,3.0,1.0
1,47,7.0,4500.0,4.0,6.0
1,48,10.0,1000.0,2.0,1.0
1,49,5.0,2500.0,2.0,6.0
1,50,4.0,4000.0,0.0,0.0
2,1,6.0,1000.0,3.0,6.0
2,2,7.0,500.0,5.0,1.0
2,3,9.0,2500.0,5.0,1.0
2,4,7.0,1000.0,4.0,1.0
2,5,8.0,1500.0,3.0,6.0
2,6,3.0,1000.0,3.0,6.0
2,7,3.0,2000.0,1.0,6.0
2,8,1.0,3500.0,4.0,6.0
2,9,7.0,3500.0,4.0,1.0
2,10,1.0,1500.0,1.0,6.0
2,11,4.0,2000.0,1.0,6.0
2,12,5.0,1500.0,3.0,1.0
2,13,6.0,500.0,3.0,1.0
2,14,7.0,2500.0,1.0,6.0
2,15,1.0,1500.0,2.0,1.0
2,16,4.0,3000.0,5.0,1.0
2,17,4.0,1000.0,3.0,1.0
2,18,9.0,2000.0,4.0,1.0
2,19,7.0,2500.0,5.0,6.0
2,20,7.0,2000.0,5.0,1.0
2,21,7.0,500.0,4.0,1.0
2,22,6.0,5000.0,3.0,6.0
2,23,5.0,4000.0,1.0,1.0
2,24,8.0,1500.0,2.0,6.0
2,25,4.0,4000.0,5.0,1.0
2,26,5.0,4500.0,1.0,6.0
2,27,1.0,4500.0,2.0,6.0
2,28,2.0,4500.0,2.0,6.0
2,29,1.0,4000.0,2.0,1.0
2,30,3.0,1000.0,1.0,6.0
2,31,10.0,3000.0,2.0,6.0
2,32,7.0,2500.0,3.0,6.0
2,33,7.0,2500.0,5.0,1.0
2,34,10.0,2500.0,1.0,6.0
2,35,2.0,3500.0,5.0,1.0
2,36,1.0,4000.0,3.0,1.0
2,37,9.0,4000.0,3.0,6.0
2,38,9.0,1500.0,5.0,1.0
2,39,5.0,4000.0,2.0,6.0
2,40,5.0,4000.0,2.0,6.0
2,41,6.0,4500.0,5.0,6.0
2,42,6.0,4000.0,1.0,6.0
2,43,10.0,4500.0,4.0,1.0
2,44,6.0,5000.0,1.0,1.0
2,45,6.0,5000.0,1.0,1.0
2,46,1.0,3500.0,5.0,1.0
