product_id,period,demand
1,1,16.0
1,2,17.0
1,3,7.0
1,4,18.0
1,5,5.0
1,6,22.0
1,7,6.0
1,8,29.0
1,9,29.0
1,10,17.0
1,11,5.0
1,12,16.0
1,13,20.0
1,14,6.0
1,15,26.0
1,16,12.0
1,17,4.0
1,18,2.0
1,19,1.0
1,20,19.0
1,21,19.0
1,22,12.0
1,23,17.0
1,24,3.0
1,25,13.0
1,26,11.0
1,27,25.0
1,28,14.0
1,29,8.0
1,30,5.0
1,31,22.0
1,32,23.0
1,33,14.0
1,34,29.0
1,35,2.0
1,36,18.0
1,37,20.0
1,38,30.0
1,39,8.0
1,40,10.0
1,41,16.0
1,42,4.0
1,43,25.0
1,44,27.0
1,45,9.0
1,46,13.0
1,47,30.0
1,48,5.0
1,49,14.0
1,50,30.0
2,1,23.0
2,2,3.0
2,3,3.0
2,4,2.0
2,5,27.0
2,6,15.0
2,7,12.0
2,8,13.0
2,9,21.0
2,10,19.0
2,11,18.0
2,12,12.0
2,13,4.0
2,14,23.0
2,15,10.0
2,16,5.0
2,17,2.0
2,18,21.0
2,19,4.0
2,20,9.0
2,21,30.0
2,22,11.0
2,23,4.0
2,24,17.0
2,25,30.0
2,26,4.0
2,27,29.0
2,28,29.0
2,29,8.0
2,30,12.0
2,31,21.0
2,32,1.0
2,33,6.0
2,34,23.0
2,35,2.0
2,36,2.0
2,37,30.0
2,38,13.0
2,39,15.0
2,40,20.0
2,41,23.0
2,42,24.0
2,43,23.0
2,44,26.0
2,45,16.0
2,46,25.0
2,47,23.0
2,48,9.0
2,49,15.0
2,50,26.0
3,1,9.0
3,2,7.0
3,3,29.0
3,4,12.0
3,5,23.0
3,6,28.0
3,7,15.0
3,8,21.0
3,9,26.0
3,10,23.0
3,11,24.0
3,12,16.0
3,13,15.0
3,14,22.0
3,15,1.0
3,16,16.0
3,17,15.0
3,18,22.0
3,19,20.0
3,20,29.0
3,21,11.0
3,22,4.0
3,23,14.0
3,24,25.0
3,25,30.0
3,26,21.0
3,27,19.0
3,28,22.0
3,29,29.0
3,30,26.0
3,31,9.0
3,32,7.0
3,33,2.0
3,34,7.0
3,35,18.0
3,36,16.0
3,37,26.0
3,38,3.0
3,39,28.0
3,40,22.0
3,41,17.0
3,42,21.0
3,43,29.0
3,44,1.0
3,45,4.0
3,46,21.0
3,47,8.0
3,48,19.0
3,49,12.0
3,50,19.0
4,1,9.0
4,2,14.0
4,3,22.0
4,4,23.0
4,5,9.0
4,6,21.0
4,7,5.0
4,8,19.0
4,9,4.0
4,10,4.0
4,11,14.0
4,12,13.0
4,13,2.0
4,14,7.0
4,15,11.0
4,16,20.0
4,17,22.0
4,18,7.0
4,19,14.0
4,20,19.0
4,21,20.0
4,22,22.0
4,23,2.0
4,24,10.0
4,25,22.0
4,26,27.0
4,27,1.0
4,28,21.0
4,29,15.0
4,30,12.0
4,31,9.0
4,32,24.0
4,33,26.0
4,34,30.0
4,35,8.0
4,36,4.0
4,37,13.0
4,38,12.0
4,39,22.0
4,40,8.0
4,41,7.0
4,42,28.0
4,43,12.0
4,44,9.0
4,45,4.0
4,46,23.0
4,47,20.0
4,48,18.0
4,49,21.0
4,50,3.0
5,1,28.0
5,2,10.0
5,3,24.0
5,4,21.0
5,5,19.0
5,6,7.0
5,7,18.0
5,8,11.0
5,9,27.0
5,10,2.0
5,11,23.0
5,12,5.0
5,13,17.0
5,14,18.0
5,15,26.0
5,16,16.0
5,17,13.0
5,18,30.0
5,19,28.0
5,20,4.0
5,21,8.0
5,22,4.0
5,23,23.0
5,24,11.0
5,25,4.0
5,26,27.0
5,27,3.0
5,28,23.0
5,29,6.0
5,30,15.0
5,31,25.0
5,32,3.0
5,33,16.0
5,34,10.0
5,35,24.0
5,36,27.0
5,37,16.0
5,38,11.0
5,39,7.0
5,40,4.0
5,41,4.0
5,42,29.0
5,43,8.0
5,44,21.0
5,45,16.0
5,46,26.0
5,47,6.0
5,48,20.0
5,49,17.0
5,50,25.0
