Product ID,cost
0,75
1,37
2,57
3,40
4,59
5,61
6,6
7,31
8,87
9,9
10,67
11,65
12,72
13,30
14,72
15,79
16,24
17,69
18,80
19,86
20,36
21,19
22,-8
23,35
24,51
25,59
26,35
27,23
28,32
29,74
30,51
31,77
32,50
33,21
34,47
35,80
36,3
37,6
38,84
39,27
40,60
41,62
42,9
43,53
44,46
45,46
46,74
47,5
48,57
49,58
50,68
51,30
52,69
53,70
54,56
55,87
56,45
57,68
58,80
59,27
60,58
61,51
62,71
63,2
64,47
65,6
66,18
67,25
68,86
69,52
70,10
71,59
72,18
73,65
74,-19
75,40
76,75
77,30
78,50
79,31
80,-20
81,30
82,38
83,80
84,72
85,73
86,79
87,15
88,49
89,65
90,73
91,88
92,72
93,74
94,69
95,-3
96,64
97,-3
98,22
99,49
100,37
101,63
102,60
103,71
104,58
105,-3
106,9
107,-2
108,68
109,10
110,24
111,87
112,86
113,23
114,89
115,72
116,81
117,43
118,78
119,12
120,93
121,52
122,78
123,55
124,59
125,80
126,-4
127,86
128,30
129,26
130,75
131,75
132,64
133,89
134,69
135,12
136,55
137,36
138,7
139,14
140,67
141,48
142,51
143,76
144,66
145,25
146,67
147,77
148,-2
149,73
150,61
151,31
152,24
153,37
154,51
155,90
156,52
157,78
158,76
159,81
160,2
161,27
162,57
163,21
164,47
165,-3
166,33
167,93
168,92
169,41
170,27
171,15
172,60
173,12
174,11
175,46
176,50
177,-5
178,69
179,73
180,-6
181,24
182,49
183,78
184,21
185,41
186,5
187,55
188,42
189,68
190,43
191,17
192,14
193,55
194,10
195,68
196,61
197,-24
198,85
199,89
200,60
201,72
202,-4
203,17
204,74
205,61
206,48
207,21
208,36
209,-3
210,46
211,7
212,81
213,36
214,56
215,69
216,57
217,82
218,60
219,72
220,78
221,56
222,0
223,80
224,60
225,41
226,51
227,57
228,87
229,51
230,79
231,77
232,86
233,29
234,81
235,4
236,52
237,10
238,26
239,82
240,46
241,78
242,10
243,36
244,82
245,-3
246,26
