Material ID,cost
0,7
1,73
2,63
3,60
4,63
5,46
6,37
7,46
8,-4
9,61
10,21
11,65
12,57
13,77
14,93
15,-8
16,59
17,4
18,45
19,90
20,64
21,31
22,57
23,38
24,21
25,53
26,-1
27,39
28,85
29,-8
30,82
31,83
32,11
33,60
34,63
35,81
36,86
37,18
38,83
39,-8
40,56
41,67
42,18
43,25
44,25
45,72
46,66
47,4
48,80
49,48
50,30
51,54
52,76
53,71
54,25
55,81
56,38
57,17
58,38
59,6
60,53
61,58
62,72
63,77
64,59
65,61
66,80
67,57
68,6
69,57
70,59
71,6
72,98
73,51
74,46
75,8
76,87
77,64
78,80
79,32
80,45
81,18
82,78
83,-3
84,61
85,40
86,72
87,19
88,86
89,60
90,49
91,66
92,88
93,81
94,38
95,19
96,69
97,62
98,67
99,70
100,22
101,15
102,84
103,62
104,24
105,39
106,88
107,74
108,53
109,16
110,50
111,95
112,80
113,61
114,84
115,74
116,61
117,43
118,59
119,23
120,31
121,69
122,-5
123,-5
124,-5
125,83
126,52
127,74
128,68
129,29
130,95
131,82
132,38
133,4
134,70
135,88
136,28
137,45
138,67
139,59
140,13
141,71
142,45
143,88
144,63
145,42
146,88
147,42
148,22
149,75
150,56
151,37
152,54
153,34
154,67
155,76
156,27
157,31
158,79
159,7
160,91
161,49
162,68
163,43
164,90
165,53
166,82
167,47
168,83
169,-2
170,49
171,80
172,81
173,82
174,10
175,46
176,78
177,70
178,51
179,64
180,83
181,73
182,77
183,81
184,29
185,62
186,13
187,45
188,58
189,64
190,36
191,55
192,65
193,28
194,83
195,80
196,76
197,70
198,42
199,38
200,59
201,-10
202,9
203,77
204,92
205,59
206,49
207,-3
208,95
209,30
210,38
211,90
212,63
213,70
214,41
215,16
216,42
217,84
218,32
219,73
220,73
221,-8
222,42
223,72
224,85
225,87
226,32
227,69
228,84
229,60
230,76
231,89
232,79
233,10
234,29
235,60
236,90
237,71
238,87
239,86
240,2
241,52
242,67
243,97
244,0
245,34
246,91
247,-11
248,-3
249,31
250,18
251,4
252,26
253,49
254,68
255,51
256,82
257,56
258,66
259,62
260,84
261,55
262,9
263,70
264,42
265,74
266,79
267,85
268,27
269,40
270,40
271,24
272,46
273,48
274,61
275,51
276,50
277,50
278,89
279,2
280,11
281,69
282,-10
283,82
284,70
285,56
286,18
287,91
288,83
289,62
290,41
291,58
292,79
293,86
294,28
295,-5
296,65
297,64
298,59
299,79
300,5
301,21
302,-15
303,89
304,17
305,52
306,73
307,78
308,9
309,83
310,90
311,26
312,22
313,41
314,78
315,-16
316,84
317,64
318,8
319,31
320,5
321,87
322,78
323,69
324,89
325,27
326,92
