Task_ID,Threshold
0,1804.0
1,1430.0
2,1512.0
3,1624.0
4,1435.0
5,1731.0
6,388.0
7,1967.0
8,1147.0
9,1327.0
10,855.0
11,841.0
12,1030.0
13,945.0
14,1130.0
15,1141.0
16,1323.0
17,1502.0
18,1895.0
19,667.0
20,1523.0
21,1513.0
22,1236.0
23,-112.0
24,655.0
25,1507.0
26,1130.0
27,1043.0
28,948.0
29,1623.0
30,544.0
31,644.0
32,1233.0
33,1812.0
34,360.0
35,844.0
36,2105.0
37,1803.0
38,832.0
39,1709.0
40,1319.0
41,966.0
42,498.0
43,1042.0
44,348.0
45,1226.0
46,1648.0
47,1044.0
48,456.0
49,1057.0
50,563.0
51,1268.0
52,1803.0
53,1341.0
54,557.0
55,1340.0
56,1706.0
57,1334.0
58,568.0
59,1607.0
60,1048.0
61,744.0
62,1330.0
63,1416.0
64,939.0
65,742.0
66,1510.0
67,1340.0
68,1112.0
69,758.0
70,540.0
71,1419.0
72,744.0
73,377.0
74,1144.0
75,1773.0
76,751.0
77,744.0
78,1258.0
79,867.0
