id,source,target,fixed_cost,var_cost
1,1,2,63.0,8.0
2,1,21,77.0,2.0
3,2,1,62.0,4.0
4,21,1,67.0,5.0
5,2,3,75.0,1.0
6,2,22,83.0,7.0
7,3,2,66.0,7.0
8,22,2,61.0,3.0
9,3,4,81.0,4.0
10,3,23,86.0,2.0
11,4,3,94.0,3.0
12,23,3,67.0,3.0
13,4,5,61.0,8.0
14,4,24,88.0,3.0
15,5,4,67.0,4.0
16,24,4,53.0,1.0
17,5,6,53.0,4.0
18,5,25,53.0,5.0
19,6,5,72.0,5.0
20,25,5,95.0,9.0
21,6,7,51.0,5.0
22,6,26,59.0,5.0
23,7,6,79.0,9.0
24,26,6,90.0,5.0
25,7,8,64.0,7.0
26,7,27,75.0,8.0
27,8,7,93.0,4.0
28,27,7,86.0,2.0
29,8,9,71.0,8.0
30,8,28,61.0,7.0
31,9,8,79.0,3.0
32,28,8,93.0,8.0
33,9,10,88.0,1.0
34,9,29,71.0,1.0
35,10,9,82.0,4.0
36,29,9,53.0,6.0
37,10,11,51.0,2.0
38,10,30,84.0,3.0
39,11,10,98.0,8.0
40,30,10,99.0,8.0
41,11,12,66.0,6.0
42,11,31,60.0,9.0
43,12,11,76.0,9.0
44,31,11,82.0,2.0
45,12,13,52.0,6.0
46,12,32,80.0,6.0
47,13,12,85.0,6.0
48,32,12,65.0,3.0
49,13,14,76.0,5.0
50,13,33,97.0,2.0
51,14,13,73.0,3.0
52,33,13,56.0,3.0
53,14,15,63.0,4.0
54,14,34,67.0,9.0
55,15,14,76.0,5.0
56,34,14,66.0,3.0
57,15,16,78.0,5.0
58,15,35,87.0,8.0
59,16,15,52.0,5.0
60,35,15,83.0,6.0
61,16,17,78.0,9.0
62,16,36,59.0,9.0
63,17,16,75.0,6.0
64,36,16,85.0,4.0
65,17,18,63.0,5.0
66,17,37,76.0,6.0
67,18,17,53.0,5.0
68,37,17,79.0,2.0
69,18,19,57.0,1.0
70,18,38,57.0,3.0
71,19,18,81.0,5.0
72,38,18,74.0,2.0
73,19,20,97.0,4.0
74,19,39,65.0,8.0
75,20,19,92.0,8.0
76,39,19,63.0,1.0
77,20,40,82.0,8.0
78,40,20,74.0,3.0
79,21,22,89.0,3.0
80,21,41,89.0,4.0
81,22,21,64.0,9.0
82,41,21,85.0,1.0
83,22,23,50.0,4.0
84,22,42,68.0,9.0
