id,demand
1,-0.0
2,-15.0
3,-24.0
4,-0.0
5,-19.0
6,-16.0
7,188.0
8,-16.0
9,-0.0
10,154.0
11,-0.0
12,90.0
13,-18.0
14,-0.0
15,-13.0
16,-15.0
17,-2.0
18,-0.0
19,-0.0
20,-17.0
21,-0.0
22,-17.0
23,-0.0
24,-18.0
25,-3.0
26,-9.0
27,-9.0
28,-0.0
29,-17.0
30,-13.0
31,-37.0
32,-0.0
33,-17.0
34,-5.0
35,-0.0
36,-20.0
37,-35.0
38,-3.0
39,-0.0
40,-0.0
41,-9.0
42,-0.0
43,-22.0
44,-7.0
45,-1.0
46,-23.0
47,-26.0
48,-12.0
49,-0.0
50,-24.0
51,-14.0
52,-28.0
53,-0.0
54,-21.0
55,-14.0
56,-12.0
57,-0.0
58,-0.0
59,-20.0
60,-2.0
61,-17.0
62,189.0
63,-0.0
64,-0.0
65,-19.0
66,-0.0
67,-27.0
68,-0.0
69,-5.0
70,-25.0
71,-8.0
72,-14.0
73,-27.0
74,-0.0
75,-17.0
76,-0.0
77,-13.0
78,-16.0
79,-0.0
80,-0.0
81,-0.0
82,-0.0
83,-35.0
84,-36.0
85,-33.0
86,25.0
87,-24.0
88,29.0
89,-5.0
90,-0.0
91,-0.0
92,-22.0
93,-0.0
94,-1.0
95,-20.0
96,-7.0
97,-2.0
98,-6.0
99,-15.0
100,-0.0
101,-6.0
102,166.0
103,-36.0
104,-0.0
105,-0.0
106,-0.0
107,-2.0
108,-10.0
109,-0.0
110,-0.0
111,-0.0
112,-16.0
113,-0.0
114,-0.0
115,-0.0
116,-0.0
117,-7.0
118,-11.0
119,-0.0
120,-16.0
121,-0.0
122,-0.0
123,142.0
124,204.0
125,-0.0
126,-0.0
127,-0.0
128,-13.0
129,-0.0
130,-0.0
131,-22.0
132,-9.0
133,-12.0
134,-10.0
135,-0.0
136,-0.0
137,-0.0
138,-2.0
139,-2.0
140,-22.0
141,-0.0
142,-17.0
143,-10.0
144,-13.0
145,-14.0
146,-3.0
147,-0.0
148,-0.0
149,-0.0
150,-0.0
151,-0.0
152,-0.0
153,-0.0
154,-12.0
155,-15.0
156,-0.0
157,-0.0
158,-10.0
159,-0.0
160,-0.0
161,-0.0
162,-0.0
163,-15.0
164,-5.0
165,-0.0
166,-0.0
167,-25.0
168,-13.0
169,-10.0
170,313.0
171,-19.0
172,-0.0
173,-0.0
174,-0.0
175,-0.0
176,-0.0
177,-16.0
178,-0.0
179,-0.0
180,-0.0
181,-0.0
182,-0.0
183,-0.0
184,-0.0
185,-0.0
186,-0.0
187,-0.0
188,-0.0
189,-18.0
190,-0.0
191,-14.0
192,-18.0
193,-25.0
194,-0.0
195,-11.0
196,-0.0
197,-0.0
198,-9.0
199,-17.0
200,-8.0
