item_id,constraint_id,value
1,1,-0.77979218
2,1,-1.39697492
3,1,0.427548714
4,1,0.1967786348
5,1,1.5303150925
6,1,0.2703896839
7,1,-3.05592371
8,1,0.5320137255
9,1,0.0908429011
10,1,1.6959921182
11,1,1.4179320991
12,1,-2.87232339
13,1,-1.72209475
14,1,-2.02038609
15,1,-7.92120342
16,1,-0.34334149
17,1,-1.80127975
18,1,0.2212079468
19,1,-4.31815756
20,1,1.5847015139
21,1,-0.43469994
22,1,-0.37265484
23,1,-1.06586094
24,1,-2.81686071
25,1,1.4000618017
26,1,-3.13214621
27,1,1.588828369
28,1,-4.3440296
1,2,12.559203769
2,2,11.629092936
3,2,13.818551327
4,2,13.746840456
5,2,15.230174313
6,2,13.021538834
7,2,10.482419563
8,2,13.041508509
9,2,13.547035659
10,2,14.639941767
11,2,14.864448927
12,2,10.114482776
13,2,11.650029709
14,2,11.337787986
15,2,5.7013180515
16,2,12.903872067
17,2,11.334836413
18,2,13.16535439
19,2,8.6510918211
20,2,14.645172304
21,2,13.576803911
22,2,12.746225991
23,2,11.638108352
24,2,10.240169402
25,2,14.899555816
26,2,10.978078157
27,2,14.554046892
28,2,9.7440584329
1,3,12.135846128
2,3,11.502673248
3,3,13.243668371
4,3,13.147181465
5,3,14.704938239
6,3,12.980109559
7,3,10.481589756
8,3,12.999081864
9,3,12.797611189
10,3,14.10115956
11,3,14.502763286
12,3,9.8255731349
13,3,11.790553083
14,3,11.441247926
15,3,4.8629925073
16,3,12.928204738
17,3,11.238110735
18,3,13.447778473
19,3,8.2097974967
20,3,14.503479453
21,3,13.180577875
22,3,12.880007445
23,3,11.019238571
24,3,10.019078811
25,3,14.141179169
26,3,9.277802566
27,3,13.947042274
28,3,9.4607437816
1,4,-1.66917053
2,4,-3.10403298
3,4,-0.47793171
4,4,-0.89901375
5,4,0.1310248064
6,4,-1.19391537
7,4,-4.46113205
8,4,-1.35233107
9,4,-1.58688335
10,4,0.6376624107
11,4,-0.3106741
12,4,-3.49589599
13,4,-2.9647271
14,4,-2.60784721
15,4,-8.0063845
16,4,-0.66123315
17,4,-2.19133606
18,4,-1.44793871
19,4,-6.15381598
20,4,0.1442886836
21,4,-1.13292712
22,4,-1.92524782
23,4,-2.49471634
24,4,-3.69514644
25,4,-0.053616805
26,4,-4.63249372
27,4,-0.1105272
28,4,-5.72182617
1,5,-1.22445534
2,5,-3.31857413
3,5,-0.18323238
4,5,-0.84581205
5,5,0.4408062612
6,5,-0.79838596
7,5,-4.13665515
8,5,-1.42283048
9,5,-1.32770987
10,5,0.171567846
11,5,0.7965722428
12,5,-4.18179913
13,5,-2.94378769
14,5,-2.66939809
15,5,-8.70919873
16,5,-1.66917303
17,5,-2.33479247
18,5,-1.03047103
19,5,-5.69925406
20,5,0.0976911797
21,5,-1.63258189
22,5,-1.26495109
23,5,-3.24253771
24,5,-4.23927433
25,5,-0.091113898
26,5,-4.47338847
27,5,-0.26565574
28,5,-5.29384312
1,6,-1.4657985
2,6,-2.18217874
3,6,-0.50462111
4,6,-0.96031521
5,6,0.4178516197
6,6,-1.32652642
7,6,-4.38476502
8,6,-1.29089245
9,6,-0.54611144
10,6,0.8255586077
11,6,0.6450332976
12,6,-4.02688886
13,6,-1.79636374
14,6,-2.24894525
15,6,-8.3463738
16,6,-1.1999056
17,6,-2.6612934
18,6,-1.35322085
19,6,-6.25688462
20,6,0.462107166
21,6,-0.81007956
22,6,-0.71916267
23,6,-2.58607104
24,6,-3.64228637
25,6,0.288543475
26,6,-4.44964478
27,6,0.0904654327
28,6,-5.00906337
1,7,-1.66845965
2,7,-2.33245277
3,7,-0.22336053
4,7,-0.35948998
5,7,0.1895980459
6,7,-0.81812229
7,7,-3.83509963
8,7,-1.21261534
9,7,-0.98898842
10,7,1.1000974421
11,7,0.3838540599
12,7,-4.32208081
13,7,-2.14983578
14,7,-2.40653623
15,7,-8.72199024
16,7,-0.77526198
17,7,-1.95229595
18,7,-1.17419899
19,7,-5.43692745
20,7,0.4045119719
21,7,-0.52382363
22,7,-0.54724408
23,7,-1.96703408
24,7,-3.82365341
25,7,-0.15470885
26,7,-4.98289417
27,7,0.5653098956
28,7,-5.35022487
1,8,-0.87676996
2,8,-2.80938616
3,8,-0.80744593
4,8,-0.73403254
5,8,0.3438238003
6,8,-1.57787733
7,8,-4.0308519
8,8,-0.71284691
9,8,-0.40930009
10,8,-0.20088169
11,8,0.1566885123
12,8,-4.26772154
13,8,-2.91383412
14,8,-3.17332784
15,8,-8.18065478
16,8,-1.4011972
17,8,-2.96901336
18,8,-1.38914402
19,8,-5.91878817
20,8,0.0861015657
21,8,-1.64809227
22,8,-1.27886114
23,8,-2.13907897
24,8,-4.04957117
25,8,0.9200635385
26,8,-4.11576534
27,8,-0.023079688
28,8,-5.00844901
1,9,-0.70148595
2,9,-1.88133458
3,9,0.2129653193
4,9,0.7328194601
5,9,1.3644970199
6,9,-0.56988079
7,9,-3.53557181
8,9,-0.71002155
9,9,-0.64741999
10,9,1.0575059269
11,9,0.6961338826
12,9,-3.37660714
13,9,-1.90568975
14,9,-1.71182091
15,9,-7.69920445
16,9,-0.54696359
17,9,-2.08039599
18,9,-0.62946042
19,9,-5.34615388
20,9,0.9229203418
21,9,-0.17561218
22,9,-0.34015859
23,9,-2.01335456
24,9,-3.27441387
25,9,1.2083231454
26,9,-3.17702981
27,9,0.1388292527
28,9,-5.01482401
1,10,0.1353563164
2,10,-0.95243798
3,10,0.7956741919
4,10,1.1283414418
5,10,2.4952013742
6,10,0.610241139
7,10,-1.82949358
8,10,1.3706589414
9,10,1.1315063872
10,10,2.891014772
11,10,2.3595866788
12,10,-2.07202506
13,10,-0.24468238
14,10,-0.67506269
15,10,-6.29049662
16,10,1.2677522107
17,10,-0.14351636
18,10,1.4996835667
19,10,-3.42088617
20,10,2.3422806095
21,10,0.6173501599
22,10,0.4517211235
23,10,-0.30907639
24,10,-2.42298905
25,10,2.4174358781
26,10,-2.31821861
27,10,2.0002708874
28,10,-2.99554196
1,11,-1.31734947
2,11,-2.08403504
3,11,-0.083027602
4,11,0.69820258
5,11,1.505610145
6,11,0.410525854
7,11,-3.32516964
8,11,-0.046107257
9,11,-0.12052808
10,11,0.9351166729
11,11,0.929572829
12,11,-2.68965719
13,11,-1.56105343
14,11,-1.91724236
15,11,-7.49093688
16,11,-0.18234176
17,11,-2.35140665
18,11,-0.39085976
19,11,-5.31356696
20,11,0.9154186136
21,11,-0.4238755
22,11,-1.1653255
23,11,-2.1841364
24,11,-3.08244765
25,11,1.6171940892
26,11,-2.93520448
27,11,1.0417804485
28,11,-3.84071687
1,12,-0.16684034
2,12,-1.37542476
3,12,0.4902277983
4,12,0.1924043048
5,12,1.4724870319
6,12,0.2919075379
7,12,-2.49882033
8,12,0.754579542
9,12,-0.039148731
10,12,1.1918094282
11,12,2.1265304318
12,12,-2.75821847
13,12,-1.01354388
14,12,-1.14105136
15,12,-7.44699517
16,12,0.7203016539
17,12,-1.45429274
18,12,0.0077255636
19,12,-4.5035682
20,12,1.6321328725
21,12,-0.07826014
22,12,0.6264630657
23,12,-1.35866272
24,12,-3.40867761
25,12,1.7860821008
26,12,-3.0254843
27,12,0.8592783732
28,12,-3.49351067
1,13,3.0003845962
2,13,3.4164169618
3,13,4.3072099508
4,13,4.9174985994
5,13,5.944540312
6,13,4.8675978105
7,13,0.9449014116
8,13,4.0627300098
9,13,4.1891993521
10,13,5.609752148
11,13,6.097322519
12,13,1.144823709
