material_id,radiation_id,attenuation
1,1,4.37359431
2,1,1.37191943
3,1,0.35417549
4,1,0.92861936
5,1,-0.1927720437
6,1,2.36777497
7,1,-0.7670152847
8,1,-0.9534727878
9,1,3.20973675
10,1,1.24774471
11,1,0.65655592
12,1,3.56106481
13,1,1.13040955
14,1,0.91171936
15,1,0.53371514
16,1,0.56974803
17,1,0.13574169
18,1,0.37637753
19,1,-1.2227247394
20,1,0.97179967
21,1,0.25474753
22,1,0.025510969
23,1,0.41050126
24,1,-0.4273018649
25,1,-0.0436651141
26,1,-0.2987398759
27,1,-1.030368751
28,1,0.69135503
29,1,-1.7969565265
31,1,-1.3623772848
32,1,1.00377052
33,1,2.23305105
34,1,0.55732015
35,1,-0.2860629866
1,2,2.40885314
2,2,0.38328268
3,2,0.92445381
4,2,0.95992592
5,2,-0.6384863354
6,2,0.6352645
7,2,-1.7383917765
8,2,-0.5824680645
9,2,3.19172386
10,2,3.57851706
11,2,1.12360713
12,2,1.88174037
13,2,0.67635217
14,2,-2.2136001534
15,2,-0.8591467366
16,2,1.98384489
17,2,1.2084799
18,2,-1.0919042274
19,2,1.26422534
20,2,1.77118337
21,2,-2.5651116541
22,2,1.00918626
23,2,1.26617203
24,2,-0.6803546218
25,2,-1.405129595
26,2,3.25718106
27,2,0.13637852
28,2,0.56525102
29,2,-1.3294829543
31,2,-0.2622058769
32,2,-0.1279685915
33,2,3.22333524
34,2,1.47687689
35,2,0.83487197
1,3,1.62158092
2,3,2.23504774
3,3,0.025892124
4,3,0.44038269
5,3,0.26096391
6,3,-0.365783463
7,3,3.0928219
8,3,-1.1148828169
9,3,0.62602346
10,3,1.27543868
11,3,0.40847448
12,3,1.33496164
13,3,0.3200251
14,3,-0.4127962657
15,3,-0.6905089803
16,3,0.85495734
17,3,-0.9194429786
18,3,1.80834784
19,3,-0.355259827
20,3,-0.8603769297
21,3,0.30167307
22,3,2.26400062
23,3,-1.8597284028
24,3,-1.6524418934
25,3,0.45661063
26,3,1.74765547
27,3,-1.300908759
28,3,-2.3095293102
29,3,0.85535956
30,3,0.77968312
31,3,-2.1049572833
32,3,-1.6074841382
33,3,2.27873724
34,3,1.14255196
35,3,-0.479839674
1,4,1.6647323
2,4,-0.0718562859
3,4,-1.7528565224
4,4,1.49386012
5,4,0.33568968
6,4,1.58763413
7,4,0.2822976
8,4,0.037390954
9,4,1.81259592
10,4,2.23722785
11,4,1.79655384
12,4,2.96988995
13,4,1.97895567
14,4,0.50920929
15,4,3.21336525
16,4,-0.0881146168
17,4,0.54666413
18,4,-0.3410721089
19,4,0.73404447
20,4,1.49877802
21,4,-0.5490162168
22,4,-0.436181494
23,4,0.53371576
24,4,1.62115791
25,4,2.36683715
26,4,2.13164837
27,4,2.09045546
28,4,0.46014593
29,4,-0.7915459831
30,4,1.20282798
31,4,-0.3767994064
32,4,0.5500752
33,4,3.09415731
34,4,-0.3255020323
35,4,-0.9557594001
1,5,0.55552819
2,5,0.96660508
3,5,-0.8173139412
4,5,-0.2130443895
5,5,-0.2261712564
6,5,2.30854147
7,5,0.802698
8,5,1.18125454
9,5,1.01938134
10,5,1.79650147
11,5,0.49653036
12,5,2.3498167
13,5,1.40840529
14,5,0.83004805
15,5,0.84009544
16,5,0.045582371
17,5,2.80261812
18,5,-0.0283458437
19,5,0.6847357
20,5,2.57576992
21,5,1.80037339
22,5,1.45843091
23,5,1.99752929
24,5,2.64222818
25,5,-0.6713786005
26,5,2.682908
27,5,-0.949394595
28,5,-1.0252391542
29,5,-0.1403262352
31,5,-1.0531254713
32,5,0.17390271
33,5,1.46545352
34,5,-0.2773542721
35,5,2.95813065
1,6,-0.5789354182
2,6,-0.224042568
3,6,0.60739534
4,6,1.33537035
5,6,0.36268033
6,6,1.99622838
7,6,-1.8766840462
