id,name,cost
1,Alpha Shielding,67.283832988
2,Beta Shielding,26.968888377
3,Gamma Shielding,11.237261625
4,Delta Shielding,18.523166922
5,Epsilon Shielding,2.8944155996
6,Zeta Shielding,47.931542825
7,Eta Shielding,17.722212614
8,Theta Shielding,-2.45357514
9,Iota Shielding,55.119054334
10,Kappa Shielding,67.828293769
11,Lambda Shielding,50.29430376
12,Mu Shielding,71.616115404
13,Nu Shielding,7.0119848078
14,Xi Shielding,11.262552713
15,Omicron Shielding,22.041784855
16,Pi Shielding,27.735000358
17,Rho Shielding,18.216915135
18,Sigma Shielding,14.646391689
19,Tau Shielding,20.867584106
20,Upsilon Shielding,30.326376684
21,Phi Shielding,17.06632593
22,Chi Shielding,38.951650063
23,Psi Shielding,19.613648897
24,Omega Shielding,24.711174751
25,Alpha-Neo Shielding,15.936342067
26,Beta-Neo Shielding,57.117435732
27,Gamma-Neo Shielding,8.9308020336
28,Delta-Neo Shielding,9.4248450562
29,Epsilon-Neo Shielding,8.7741867841
30,Zeta-Neo Shielding,17.324475051
31,Eta-Neo Shielding,26.797344496
32,Theta-Neo Shielding,9.3958244439
33,Iota-Neo Shielding,57.406994917
34,Kappa-Neo Shielding,28.920318037
35,Lambda-Neo Shielding,31.812600805
