id,name,threshold
1,Alpha Radiation,79.6933538
2,Beta Radiation,98.6532092
3,Gamma Radiation,31.1422541
4,Delta Radiation,82.8957434
5,Epsilon Radiation,65.7239961
6,Zeta Radiation,49.7475496
7,Eta Radiation,87.9672358
8,Theta Radiation,60.5406451
9,Iota Radiation,80.984155
10,Kappa Radiation,61.5254502
11,Lambda Radiation,65.1350639
12,Mu Radiation,66.4342183
13,Nu Radiation,79.9217476
14,Xi Radiation,85.8853572
15,Omicron Radiation,57.1654126
16,Pi Radiation,82.6687664
17,Rho Radiation,67.1943294
18,Sigma Radiation,77.237484
19,Tau Radiation,93.7803056
20,Upsilon Radiation,40.7590641
21,Phi Radiation,62.5356447
22,Chi Radiation,88.188726
23,Psi Radiation,72.3547182
24,Omega Radiation,63.6916603
25,Alpha-Neo Radiation,73.2313845
26,Beta-Neo Radiation,109.942299
27,Gamma-Neo Radiation,120.503716
28,Delta-Neo Radiation,92.505249
