id,threshold
1,162.33251779
2,182.3162338
3,106.94154387
4,195.51171254
5,162.76062162
6,109.22703824
7,194.61461566
8,147.00853388
9,168.87391824
10,181.93312568
11,184.63235936
12,147.42773744
13,177.77336541
14,184.51099661
15,191.27144284
16,194.50644095
17,207.03899561
18,186.73681041
19,194.43202382
20,171.01508704
21,207.10165276
22,131.1905981
23,185.63389267
24,193.61751178
25,188.15908598
26,178.52753019
27,176.32426337
28,177.00443499
29,185.84284637
30,196.10914905
31,156.49778069
32,195.66726315
33,204.14496889
34,166.85926415
35,121.91875791
36,179.27667108
37,178.05356947
38,188.54828321
39,182.0867813
40,191.32332795
41,100.66176657
42,118.95115307
43,119.61411787
44,187.81714116
45,188.67136307
46,184.96876498
