id1,id2
0,1
0,2
0,3
0,5
0,14
0,16
0,18
0,26
0,30
0,39
1,17
1,20
1,23
1,25
1,31
1,34
2,3
2,6
2,10
2,20
2,33
3,10
3,12
3,17
3,37
4,10
4,19
4,20
4,22
4,23
4,25
5,10
5,20
5,24
5,28
5,31
5,34
6,19
6,23
6,27
6,28
6,32
7,11
7,20
7,29
7,31
7,33
7,39
8,11
8,15
8,17
8,23
8,28
8,39
9,10
9,16
9,19
9,27
9,29
9,30
9,33
9,35
9,39
10,15
10,23
10,24
10,25
10,29
10,30
11,12
11,15
11,16
11,27
11,32
11,33
11,36
12,14
12,15
12,18
12,23
12,28
12,35
12,38
13,15
13,16
13,19
13,24
13,26
13,31
14,23
14,25
14,27
14,28
14,32
15,29
15,34
15,39
16,17
16,19
16,20
16,29
16,33
17,20
17,31
18,20
18,24
18,37
18,39
19,23
19,25
19,27
19,32
19,35
19,36
20,26
20,34
21,25
21,32
21,37
22,25
22,32
22,33
23,34
23,39
24,33
24,36
25,26
25,29
25,31
26,32
26,39
27,28
27,35
28,36
29,32
29,34
29,36
29,37
30,31
30,34
30,35
31,34
31,35
32,33
32,37
32,39
33,35
34,38
35,36
37,39
38,39
