edge_id,axis,rhs_for_v_minus_u,rhs_for_u_minus_v,min_axis_distance_if_axis_chosen,distance_ub
0,col,-0.5,0.5,9.5,31.5
0,row,0.0,0.0,5.0,31.0
1,col,1.0,-1.0,8.0,32.0
1,row,-1.0,1.0,6.0,32.0
2,col,0.0,0.0,9.0,31.0
2,row,0.0,0.0,5.0,31.0
3,col,0.5,-0.5,8.5,31.5
3,row,0.5,-0.5,4.5,31.5
4,col,-2.5,2.5,11.5,33.5
4,row,-2.0,2.0,7.0,33.0
5,col,-1.5,1.5,10.5,32.5
5,row,-2.0,2.0,7.0,33.0
6,col,-1.0,1.0,10.0,32.0
6,row,0.0,0.0,5.0,31.0
7,col,2.5,-2.5,11.5,33.5
7,row,2.0,-2.0,7.0,33.0
8,col,3.0,-3.0,11.0,34.0
8,row,2.5,-2.5,6.5,33.5
9,col,1.5,-1.5,12.5,32.5
9,row,2.0,-2.0,7.0,33.0
10,col,1.0,-1.0,11.0,32.0
10,row,2.0,-2.0,7.0,33.0
