pair_id,i_id,j_id,row_gap_i_before_j,row_gap_j_before_i,col_gap_i_before_j,col_gap_j_before_i
0,0,1,5.0,7.0,10.0,7.0
1,0,2,5.0,5.0,10.0,9.0
2,0,3,5.0,5.0,10.0,9.0
3,0,4,5.0,4.0,10.0,8.0
4,0,5,5.0,9.0,10.0,14.0
5,0,6,5.0,9.0,10.0,12.0
6,0,7,5.0,5.0,10.0,11.0
7,1,2,7.0,5.0,7.0,9.0
8,1,3,7.0,5.0,7.0,9.0
9,1,4,7.0,4.0,7.0,8.0
10,1,5,7.0,9.0,7.0,14.0
11,1,6,7.0,9.0,7.0,12.0
12,1,7,7.0,5.0,7.0,11.0
13,2,3,5.0,5.0,9.0,9.0
14,2,4,5.0,4.0,9.0,8.0
15,2,5,5.0,9.0,9.0,14.0
16,2,6,5.0,9.0,9.0,12.0
17,2,7,5.0,5.0,9.0,11.0
18,3,4,5.0,4.0,9.0,8.0
19,3,5,5.0,9.0,9.0,14.0
20,3,6,5.0,9.0,9.0,12.0
21,3,7,5.0,5.0,9.0,11.0
22,4,5,4.0,9.0,8.0,14.0
23,4,6,4.0,9.0,8.0,12.0
24,4,7,4.0,5.0,8.0,11.0
25,5,6,9.0,9.0,14.0,12.0
26,5,7,9.0,5.0,14.0,11.0
27,6,7,9.0,5.0,12.0,11.0
