edge_id,axis,rhs_for_v_minus_u,rhs_for_u_minus_v,min_axis_distance_if_axis_chosen,distance_ub
0,row,0.0,0.0,4.0,60.0
0,col,0.0,0.0,6.0,60.0
1,row,0.0,0.0,4.0,60.0
1,col,0.5,-0.5,6.5,60.5
2,row,0.0,0.0,4.0,60.0
2,col,0.0,0.0,7.0,60.0
3,row,0.0,0.0,4.0,60.0
3,col,0.5,-0.5,6.5,60.5
4,row,0.0,0.0,4.0,60.0
4,col,0.5,-0.5,6.5,60.5
5,row,0.0,0.0,4.0,60.0
5,col,0.5,-0.5,6.5,60.5
6,row,0.0,0.0,4.0,60.0
6,col,0.5,-0.5,6.5,60.5
7,row,0.0,0.0,4.0,60.0
7,col,0.5,-0.5,6.5,60.5
8,row,0.0,0.0,4.0,60.0
8,col,0.0,0.0,7.0,60.0
9,row,0.0,0.0,4.0,60.0
9,col,0.0,0.0,7.0,60.0
10,row,0.0,0.0,4.0,60.0
10,col,0.0,0.0,7.0,60.0
11,row,0.0,0.0,4.0,60.0
11,col,0.0,0.0,7.0,60.0
12,row,0.0,0.0,4.0,60.0
12,col,0.0,0.0,7.0,60.0
13,row,0.0,0.0,4.0,60.0
13,col,0.0,0.0,7.0,60.0
14,row,0.0,0.0,4.0,60.0
14,col,0.5,-0.5,6.5,60.5
15,row,0.0,0.0,4.0,60.0
15,col,0.0,0.0,7.0,60.0
16,row,0.0,0.0,4.0,60.0
16,col,0.0,0.0,7.0,60.0
17,row,0.0,0.0,4.0,60.0
17,col,0.0,0.0,7.0,60.0
18,row,0.0,0.0,4.0,60.0
18,col,0.0,0.0,7.0,60.0
19,row,0.0,0.0,4.0,60.0
19,col,0.0,0.0,7.0,60.0
20,row,0.0,0.0,4.0,60.0
20,col,0.0,0.0,7.0,60.0
21,row,0.0,0.0,4.0,60.0
21,col,0.0,0.0,6.0,60.0
22,row,0.0,0.0,4.0,60.0
22,col,0.0,0.0,7.0,60.0
23,row,0.0,0.0,4.0,60.0
23,col,0.0,0.0,7.0,60.0
24,row,0.0,0.0,4.0,60.0
24,col,0.0,0.0,7.0,60.0
25,row,0.0,0.0,4.0,60.0
25,col,0.0,0.0,7.0,60.0
26,row,0.0,0.0,4.0,60.0
26,col,0.0,0.0,7.0,60.0
27,row,0.0,0.0,4.0,60.0
27,col,0.0,0.0,7.0,60.0
28,row,0.0,0.0,4.0,60.0
28,col,0.0,0.0,7.0,60.0
29,row,0.0,0.0,4.0,60.0
29,col,0.0,0.0,7.0,60.0
30,row,0.0,0.0,4.0,60.0
30,col,0.0,0.0,7.0,60.0
31,row,0.0,0.0,4.0,60.0
31,col,0.0,0.0,7.0,60.0
32,row,0.0,0.0,4.0,60.0
32,col,0.0,0.0,7.0,60.0
33,row,0.0,0.0,4.0,60.0
33,col,0.0,0.0,7.0,60.0
34,row,0.0,0.0,4.0,60.0
34,col,0.0,0.0,6.0,60.0
35,row,0.0,0.0,4.0,60.0
35,col,0.0,0.0,7.0,60.0
36,row,0.0,0.0,4.0,60.0
36,col,0.0,0.0,7.0,60.0
37,row,0.0,0.0,4.0,60.0
37,col,0.0,0.0,7.0,60.0
38,row,0.0,0.0,4.0,60.0
38,col,0.0,0.0,7.0,60.0
39,row,0.0,0.0,4.0,60.0
39,col,0.0,0.0,7.0,60.0
40,row,0.0,0.0,4.0,60.0
40,col,0.0,0.0,7.0,60.0
41,row,0.0,0.0,4.0,60.0
41,col,0.0,0.0,7.0,60.0
42,row,0.0,0.0,4.0,60.0
42,col,0.0,0.0,7.0,60.0
43,row,0.0,0.0,4.0,60.0
43,col,0.0,0.0,7.0,60.0
44,row,0.0,0.0,4.0,60.0
44,col,0.0,0.0,7.0,60.0
45,row,0.0,0.0,4.0,60.0
45,col,0.0,0.0,6.0,60.0
46,row,0.0,0.0,4.0,60.0
46,col,0.0,0.0,7.0,60.0
47,row,0.0,0.0,4.0,60.0
47,col,0.0,0.0,7.0,60.0
48,row,0.0,0.0,4.0,60.0
48,col,0.5,-0.5,6.5,60.5
49,row,0.0,0.0,4.0,60.0
49,col,0.0,0.0,7.0,60.0
50,row,0.0,0.0,4.0,60.0
50,col,0.0,0.0,7.0,60.0
51,row,0.0,0.0,4.0,60.0
51,col,0.0,0.0,7.0,60.0
52,row,0.0,0.0,4.0,60.0
52,col,0.0,0.0,7.0,60.0
53,row,0.0,0.0,4.0,60.0
53,col,0.5,-0.5,6.5,60.5
54,row,0.0,0.0,4.0,60.0
54,col,0.0,0.0,7.0,60.0
55,row,0.0,0.0,4.0,60.0
55,col,0.0,0.0,7.0,60.0
56,row,0.0,0.0,4.0,60.0
56,col,0.0,0.0,7.0,60.0
57,row,0.0,0.0,4.0,60.0
57,col,0.0,0.0,7.0,60.0
58,row,0.0,0.0,4.0,60.0
58,col,0.0,0.0,7.0,60.0
59,row,0.0,0.0,4.0,60.0
59,col,0.5,-0.5,6.5,60.5
60,row,0.0,0.0,4.0,60.0
60,col,0.0,0.0,7.0,60.0
61,row,0.0,0.0,4.0,60.0
61,col,0.5,-0.5,6.5,60.5
62,row,0.0,0.0,4.0,60.0
62,col,0.0,0.0,7.0,60.0
63,row,0.0,0.0,4.0,60.0
63,col,0.5,-0.5,6.5,60.5
64,row,0.0,0.0,4.0,60.0
64,col,0.0,0.0,7.0,60.0
65,row,0.0,0.0,4.0,60.0
65,col,0.0,0.0,7.0,60.0
66,row,0.0,0.0,4.0,60.0
66,col,0.0,0.0,7.0,60.0
67,row,0.0,0.0,4.0,60.0
67,col,0.0,0.0,7.0,60.0
68,row,0.0,0.0,4.0,60.0
68,col,0.0,0.0,7.0,60.0
69,row,0.0,0.0,4.0,60.0
69,col,0.0,0.0,7.0,60.0
70,row,0.0,0.0,4.0,60.0
70,col,0.0,0.0,6.0,60.0
71,row,0.0,0.0,4.0,60.0
71,col,0.0,0.0,6.0,60.0
72,row,0.0,0.0,4.0,60.0
72,col,0.0,0.0,6.0,60.0
