edge_id,u_id,v_id,weight,manhattan_lb
0,1,0,122,4.0
1,3,34,122,4.0
2,4,3,122,4.0
3,5,0,122,4.0
4,5,12,122,4.0
5,5,34,122,4.0
6,6,34,122,4.0
7,7,34,122,4.0
8,9,8,122,4.0
9,13,11,122,4.0
10,14,9,122,4.0
11,15,5,122,4.0
12,16,5,122,4.0
13,18,17,122,4.0
14,18,34,122,4.0
15,20,2,122,4.0
16,20,11,122,4.0
17,20,19,122,4.0
18,21,8,122,4.0
19,22,5,122,4.0
20,22,9,122,4.0
21,23,12,122,4.0
22,24,5,122,4.0
23,25,2,122,4.0
24,25,5,122,4.0
25,25,10,122,4.0
26,26,25,122,4.0
27,27,2,122,4.0
28,27,21,122,4.0
29,28,5,122,4.0
30,29,5,122,4.0
31,31,29,122,4.0
32,32,10,122,4.0
33,33,19,122,4.0
34,34,23,122,4.0
35,35,21,122,4.0
36,36,5,122,4.0
37,37,25,122,4.0
38,38,37,122,4.0
39,39,6,122,4.0
40,40,5,122,4.0
41,41,25,122,4.0
42,42,41,122,4.0
43,43,20,122,4.0
44,44,18,122,4.0
45,45,34,122,4.0
46,46,5,122,4.0
47,48,47,122,4.0
48,49,23,122,4.0
49,50,2,122,4.0
50,51,50,122,4.0
51,52,2,122,4.0
52,53,2,122,4.0
53,54,0,122,4.0
54,54,5,122,4.0
55,54,9,122,4.0
56,54,18,122,4.0
57,54,21,122,4.0
58,54,25,122,4.0
59,54,34,122,4.0
60,54,41,122,4.0
61,54,65,122,4.0
62,55,28,122,4.0
63,57,34,122,4.0
64,58,21,122,4.0
65,59,2,122,4.0
66,60,5,122,4.0
67,61,30,122,4.0
68,62,2,122,4.0
69,63,7,122,4.0
70,64,56,122,4.0
71,66,34,122,4.0
72,66,65,122,4.0
